,Participant,Session,Choice,RT,ChosenValue,UnchosenValue,DiffValue,AbsDiffValue,TotalValue,ChosenFam,UnchosenFam,DiffFam,AbsDiffFam,TotalFam,Confidence,zRT,zChosenValue,zUnchosenValue,zDiffValue,zAbsDiffValue,zTotalValue,zChosenFam,zUnchosenFam,zDiffFam,zAbsDiffFam,zTotalFam,zConfidence,RVal,LVal,RFam,LFam,zRVal,zLVal,zRFam,zLFam,ConfSplit
0,1,1,1,1077,1.008,0.0,-1.008,1.008,1.008,6,6,0,0,12,426.29,0.57326,-0.11045999999999999,-0.99316,-1.1126,1.1126,-0.65704,0.32043,0.28367,0.035005,0.035005,0.4132,-0.84025,1.008,0.0,6,6,0.30291894009191667,-1.26512355142542,0.3240706723198579,0.3240706723198579,0.0
1,1,1,0,1126,1.5,0.456,1.044,1.044,1.956,6,6,0,0,12,420.07,0.8355899999999999,0.81712,0.029769999999999998,1.2247,1.2247,0.58543,0.32043,0.28367,0.035005,0.035005,0.4132,-1.0461,0.456,1.5,6,6,-0.5544195005591139,1.0689514153908837,0.3240706723198579,0.3240706723198579,0.0
2,1,1,1,1304,1.008,0.456,-0.552,0.552,1.464,4,6,2,2,10,444.95,1.7885,-0.11045999999999999,0.029769999999999998,-0.5932,0.5932,-0.059395,-3.0841,0.28367,3.0104,3.0104,-2.5136,-0.22178,1.008,0.456,4,6,0.30291894009191667,-0.5555647615132636,-3.756819275411678,0.3240706723198579,0.0
3,1,1,0,1136,1.5,0.48,1.02,1.02,1.98,6,6,0,0,12,500.0,0.88912,0.81712,0.083608,1.1973,1.1973,0.6168899999999999,0.32043,0.28367,0.035005,0.035005,0.4132,1.6028,0.48,1.5,6,6,-0.5171439161829822,1.0689514153908837,0.3240706723198579,0.3240706723198579,1.0
4,1,1,0,984,1.5,1.7519999999999998,-0.252,0.252,3.252,6,6,0,0,12,465.38,0.07539,0.81712,2.9371,-0.2515,0.2515,2.2840000000000003,0.32043,0.28367,0.035005,0.035005,0.4132,0.45546000000000003,1.7519999999999998,1.5,6,6,1.458462055752001,1.0689514153908837,0.3240706723198579,0.3240706723198579,1.0
5,1,1,0,957,1.008,0.0,1.008,1.008,1.008,6,6,0,0,12,469.23,-0.069155,-0.11045999999999999,-0.99316,1.1837,1.1837,-0.65704,0.32043,0.28367,0.035005,0.035005,0.4132,0.58291,0.0,1.008,6,6,-1.2626556037056174,0.30337482627513607,0.3240706723198579,0.3240706723198579,1.0
6,1,1,1,1404,0.516,0.0,-0.516,0.516,0.516,6,6,0,0,12,408.85,2.3239,-1.038,-0.99316,-0.5522,0.5522,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,-1.4180000000000001,0.516,0.0,6,6,-0.46123053961878446,-1.26512355142542,0.3240706723198579,0.3240706723198579,0.0
7,1,1,0,1160,1.008,0.996,0.012,0.012,2.004,4,6,-2,2,10,488.08,1.0176,-0.11045999999999999,1.2411,0.049206,0.049206,0.6483399999999999,-3.0841,0.28367,-2.9404,2.9404,-2.5136,1.2077,0.996,1.008,6,4,0.2842811479038508,0.30337482627513607,0.3240706723198579,-3.756819275411678,1.0
8,1,1,1,1003,1.5,0.996,-0.504,0.504,2.496,6,6,0,0,12,471.33,0.17711,0.81712,1.2411,-0.5385300000000001,0.5385300000000001,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,0.65264,1.5,0.996,6,6,1.067068419802618,0.2847022265406056,0.3240706723198579,0.3240706723198579,1.0
9,1,1,1,941,1.5119999999999998,0.0,-1.5119999999999998,1.5119999999999998,1.5119999999999998,6,6,0,0,12,482.56,-0.15481,0.83975,-0.99316,-1.6867,1.6867,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,1.0247,1.5119999999999998,0.0,6,6,1.0857062119906833,-1.26512355142542,0.3240706723198579,0.3240706723198579,1.0
10,1,1,1,902,0.456,0.0,-0.456,0.456,0.456,6,6,0,0,12,466.88,-0.3636,-1.1512,-0.99316,-0.48385,0.48385,-1.3805,0.32043,0.28367,0.035005,0.035005,0.4132,0.50526,0.456,0.0,6,6,-0.5544195005591139,-1.26512355142542,0.3240706723198579,0.3240706723198579,1.0
11,1,1,1,1067,1.5,0.504,-0.996,0.996,2.004,6,6,0,0,12,458.09,0.51973,0.81712,0.13745,-1.0989,1.0989,0.6483399999999999,0.32043,0.28367,0.035005,0.035005,0.4132,0.2138,1.5,0.504,6,6,1.067068419802618,-0.48087436257514193,0.3240706723198579,0.3240706723198579,1.0
12,1,1,1,1039,1.008,0.996,-0.012,0.012,2.004,4,6,2,2,10,460.35,0.36983,-0.11045999999999999,1.2411,0.021869,0.021869,0.6483399999999999,-3.0841,0.28367,3.0104,3.0104,-2.5136,0.28868,1.008,0.996,4,6,0.30291894009191667,0.2847022265406056,-3.756819275411678,0.3240706723198579,1.0
13,1,1,0,1539,0.996,1.5,-0.504,0.504,2.496,6,6,0,0,12,420.21,3.0466,-0.13308,2.3718,-0.5385300000000001,0.5385300000000001,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,-1.0417,1.5,0.996,6,6,1.067068419802618,0.2847022265406056,0.3240706723198579,0.3240706723198579,0.0
14,1,1,1,731,0.996,0.0,-0.996,0.996,0.996,6,6,0,0,12,470.0,-1.2790000000000001,-0.13308,-0.99316,-1.0989,1.0989,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,0.60846,0.996,0.0,6,6,0.2842811479038508,-1.26512355142542,0.3240706723198579,0.3240706723198579,1.0
15,1,1,0,828,2.004,0.0,2.004,2.004,2.004,6,6,0,0,12,444.92,-0.75975,1.7673,-0.99316,2.3181,2.3181,0.6483399999999999,0.32043,0.28367,0.035005,0.035005,0.4132,-0.22264,0.0,2.004,6,6,-1.2626556037056174,1.8532006042411615,0.3240706723198579,0.3240706723198579,0.0
16,1,1,1,765,1.5,0.49200000000000005,-1.008,1.008,1.992,6,6,0,0,12,447.14,-1.097,0.81712,0.11052999999999999,-1.1126,1.1126,0.63262,0.32043,0.28367,0.035005,0.035005,0.4132,-0.14898,1.5,0.49200000000000005,6,6,1.067068419802618,-0.4995469623096723,0.3240706723198579,0.3240706723198579,0.0
17,1,1,1,750,1.5119999999999998,0.504,-1.008,1.008,2.016,6,6,0,0,12,475.08,-1.1773,0.83975,0.13745,-1.1126,1.1126,0.6640699999999999,0.32043,0.28367,0.035005,0.035005,0.4132,0.77673,1.5119999999999998,0.504,6,6,1.0857062119906833,-0.48087436257514193,0.3240706723198579,0.3240706723198579,1.0
18,1,1,1,1050,0.456,1.008,0.552,0.552,1.464,6,6,0,0,12,307.33,0.42872,-1.1512,1.2681,0.66428,0.66428,-0.059395,0.32043,0.28367,0.035005,0.035005,0.4132,-4.7826,0.456,1.008,6,6,-0.5544195005591139,0.30337482627513607,0.3240706723198579,0.3240706723198579,0.0
