Subject,Included,Session,Item_ID,Item,Onset,Size,Value,Confidence,Match,Familiarity,Consumption_rate,RT1,RT2,Age,Years_in_UK,Grams,Energy,Fat,of_which_saturates,Carbohydrate,of_which_sugars,Fibre,Protein,Salt,Size1,Size2,Size3,Real_price,Assigned_price
1,0,1,24,24_wonderful_almonds_1.png,9.3,0.3216667,       NaN,4.5,NaN,NaN,NaN,3.695,1.383,NaN,NaN,115,616,52.1,4,10.3,4.9,NA,21.1,0.8,12,17,2,£2.29 ,NaN
1,0,1,57,57_crunch_1.png,13.4,0.1133333,       NaN,4.2,NaN,NaN,NaN,2.1494,3.5996,NaN,NaN,120,514,25.9,16.4,62,51.5,1.8,6.9,0.33,16.5,7,1,£1.00 ,NaN
1,0,1,43,43_marshmallows_1.png,17.2,0.165,       NaN,4.65,NaN,NaN,NaN,2.8149,1.0165,NaN,NaN,200,328,trace,trace,78.5,62.3,trace,3.4,0.05,17,22,3,£1.00 ,NaN
1,0,1,66,66_frys_turkish_delight_1.png,21,0.1083333,       NaN,4,NaN,NaN,NaN,2.6993,1.6663,NaN,NaN,51,363,6.7,3.8,74,64,1.2,1.2,0.36,10,4.5,1.5,£0.33 ,NaN
1,0,1,44,44_caramel_rice_crisps_1.png,24.9,0.05,       NaN,4.5,NaN,NaN,NaN,1.0828,1.133,NaN,NaN,25,405,3,0.9,88,30,0.8,6,0.5,15,12,2,£0.41 ,NaN
1,0,1,69,69_nestle_lion_1.png,28.7,0.095,       NaN,4.3,NaN,NaN,NaN,1.2161,1.4664,NaN,NaN,42,483,22.2,11.9,64.6,44.8,1.5,5.4,0.45,15,3.5,2,£0.25 ,NaN
1,0,1,35,35_gb_butterscotch_1.png,32.9,0.08666667,       NaN,NaN,4.5,NaN,NaN,4.3492,2.2665,NaN,NaN,100,555,34.5,20.5,50.5,47.5,2.7,8.8,0.25,7,15,1,£2.00 ,NaN
1,0,1,68,68_cadbury_fudge_1.png,36.9,0.03833333,       NaN,NaN,4.4,NaN,NaN,2.7661,1.883,NaN,NaN,25.5,445,15,8.2,74.5,64.5,0.5,2.5,0.35,13,2,1,£0.21 ,NaN
1,0,1,15,15_hovis_crackers_1.png,41,0.1083333,       NaN,NaN,4.5,NaN,NaN,4.4493,2.0663,NaN,NaN,150,447,17.9,8.1,58.4,6.1,6.1,10.2,2.5,12,8,7,£1.49 ,NaN
1,0,1,22,22_kellogs_strawberry_bars_1.png,44.7,0.075,       NaN,NaN,4.5,NaN,NaN,3.5828,2.333,NaN,NaN,21.5,392,7.9,4.7,70,30,8.8,6.3,0.63,15,4,2,£0.30 ,NaN
1,0,1,34,34_milkyway_1.png,48.7,0.06833333,       NaN,4.05,NaN,NaN,NaN,3.466,2.9996,NaN,NaN,21.5,447,15.8,7.8,71.9,65.1,NA,3.9,0.52,10,3,1.5,£0.21 ,NaN
1,0,1,18,18_jacobs_mini_cheddars_1.png,52.8,0.17,       NaN,4.65,NaN,NaN,NaN,4.3826,2.183,NaN,NaN,25,512,29.2,11.6,50.1,5.1,2.5,10.6,2.5,11,11,2,£0.26 ,NaN
1,0,1,10,10_doritos_chilli_1.png,56.8,0.08666667,       NaN,4.4,NaN,NaN,NaN,4.4826,1.6497,NaN,NaN,30,495,25.3,2,57.3,5.8,6.7,6.3,1.35,17,13,3,£0.25 ,NaN
1,0,1,33,33_milkybar_1.png,60.9,0.11,       NaN,4.55,NaN,NaN,NaN,3.916,1.683,NaN,NaN,120,546,31.6,18.8,57.7,57.3,0,7.5,0.4,12,17,5,£1.50 ,NaN
1,0,1,39,39_mentos_mint_1.png,65.1,0.04,       NaN,NaN,4.45,NaN,NaN,1.4661,2.533,NaN,NaN,38,390,1.9,1.9,93,69,NA,0,0.1,14,1.5,1.5,£0.30 ,NaN
1,0,1,26,26_mms_peanut_1.png,69.2,0.2233333,       NaN,NaN,4.5,NaN,NaN,4.8826,2.083,NaN,NaN,165,480,19.3,12,70.2,67.7,NA,5.1,0.13,13,17,5,£1.00 ,NaN
1,0,1,50,50_nestle_toffeecrisp_bar_1.png,73.3,0.03333333,       NaN,NaN,4.1,NaN,NaN,4.8159,1.7997,NaN,NaN,38,513,26.8,16.9,63.5,49.7,1.3,3.6,0.35,14,4,2,£0.38 ,NaN
1,0,1,8,8_skittles_wildberry_1.png,77.4,0.2083333,       NaN,4.25,NaN,NaN,NaN,4.9826,1.3664,NaN,NaN,174,404,4.2,2.3,91,90.2,NA,0,0.02,12,17,3,£0.97 ,NaN
1,0,1,64,64_walkers_cheese_and_onion_1.png,81.2,0.1433333,       NaN,NaN,4.65,NaN,NaN,2.5327,1.483,NaN,NaN,25,520,30.6,2.5,52.6,2.6,4.4,6.3,1.22,13,16,2.5,£0.25 ,NaN
1,0,1,65,65_walkers_ready_salted_1.png,85,0.17,       NaN,NaN,4,NaN,NaN,4.0482,1.6663,NaN,NaN,25,526,31.9,2.6,51.5,0.4,4.3,6.1,1.4,13,16,2.5,£0.25 ,NaN
1,0,1,58,58_picnic_1.png,88.9,0.1283333,       NaN,NaN,4.2,NaN,NaN,4.8493,1.1997,NaN,NaN,48.4,471,22,9.8,60,44,2.2,7.7,0.55,17,4,2,£0.25 ,NaN
1,0,1,16,16_raisins_1.png,93,0.22,       NaN,NaN,4.55,NaN,NaN,3.0494,1.533,NaN,NaN,42.5,293,0.4,0.1,69.3,69.3,2,2.1,0.2,5.5,7,2,£1.00 ,NaN
1,0,1,14,14_bounty_1.png,96.9,0.06833333,       NaN,4.05,NaN,NaN,NaN,2.7827,2.033,NaN,NaN,28.5,487,25.7,21.2,58.9,48.2,NA,3.7,0.25,15,3,2,£0.21 ,NaN
1,0,1,25,25_mars_1.png,100.7,0.1533333,       NaN,NaN,4.45,NaN,NaN,4.1487,3.7329,NaN,NaN,39.4,448,16.7,8.1,69.3,59.9,NA,4.4,0.42,13,3,2,£0.38 ,NaN
1,0,1,11,11_walkers_baked_crisps_1.png,104.5,0.315,       NaN,NaN,4.15,NaN,NaN,3.8326,2.133,NaN,NaN,25,417,8.3,0.9,76.2,5,4.8,6.2,1.14,13,15,2.5,£0.17 ,NaN
1,0,1,59,59_sour_patch_kids_1.png,108.7,0.14,       NaN,4.2,NaN,NaN,NaN,4.9659,1.9997,NaN,NaN,160,326,0.1,<_0.1,77,63,NA,2.8,0.03,14,19,2,£1.00 ,NaN
1,0,1,55,55_tyrell_veg_crisps_1.png,112.7,0.1683333,       NaN,4.25,NaN,NaN,NaN,4.6492,1.633,NaN,NaN,150,506,35.7,4.1,38.6,22.5,NA,4.7,1.4,18,31,7,£2.99 ,NaN
1,0,1,63,63_mcvities_hobnob_1.png,116.6,0.2066667,       NaN,4.35,NaN,NaN,NaN,2.765,1.383,NaN,NaN,300,470,20.3,8.9,61.4,25.5,6.1,7.3,0.83,18,6.5,6.5,£1.04 ,NaN
1,0,1,61,61_cadbury_fingers_1.png,120.4,0.1183333,       NaN,4.35,NaN,NaN,NaN,1.0494,3.4496,NaN,NaN,138,479,26.1,14.3,54.4,28.9,1.5,6.8,0.5,22,10,2.5,£1.55 ,NaN
1,0,1,19,19_peanuts_1.png,124.2,0.135,       NaN,4.55,NaN,NaN,NaN,4.4659,1.7663,NaN,NaN,90,614,51,8.1,5.6,5.1,8.5,30,1.3,11,16,2,£1.00 ,NaN
1,0,1,23,23_twix_1.png,128,0.1833333,       NaN,4.75,NaN,NaN,NaN,4.7826,1.3164,NaN,NaN,40,493,23.7,13.7,64.9,49.1,NA,4.4,0.41,12,5,1.5,£0.38 ,NaN
1,0,1,70,70_food_doctor_apple_walnut_bar_1.png,131.9,0.07333333,       NaN,4.45,NaN,NaN,NaN,0.91613,1.6997,NaN,NaN,35,367,14,0.9,37.3,20.7,29.1,8.4,0.01,14,3.5,1.5,£0.80 ,NaN
1,0,1,32,32_bakewell_slices_1.png,135.7,0.1383333,       NaN,NaN,3.95,NaN,NaN,3.366,1.183,NaN,NaN,210,413,17.6,7.9,59.2,36.1,1,4.1,0.45,23,10,3,£1.11 ,NaN
1,0,1,27,27_snickers_1.png,139.5,0.06,       NaN,4.15,NaN,NaN,NaN,4.3826,2.0497,NaN,NaN,41.7,510,27.9,9.7,54.5,45.2,NA,9.4,0.44,13,3,2,£0.38 ,NaN
1,0,1,47,47_rocky_road_1.png,143.3,0.185,       NaN,4.5,NaN,NaN,NaN,2.316,1.7831,NaN,NaN,165,470,20.3,12.1,65.2,49.7,2.1,5.6,0.3,17,14.5,6.5,£1.60 ,NaN
1,0,1,1,1_galaxy_bar_1.png,147.1,0.12,       NaN,2.65,NaN,NaN,NaN,4.2326,3.9662,NaN,NaN,42,546,32.4,19.6,56,55.4,NA,6.7,0.25,15,4,1,£0.38 ,NaN
1,0,1,45,45_kitkat_1.png,150.9,0.1333333,       NaN,NaN,4.1,NaN,NaN,4.8159,1.6997,NaN,NaN,41.5,511,24.8,13.8,65.1,52.7,2,5.8,0.2,6,11.5,1,£0.31 ,NaN
1,0,1,53,53_pombear_cheese_and_onion_1.png,155,0.3266667,       NaN,NaN,4.3,NaN,NaN,4.9826,2.4998,NaN,NaN,15,521,28,2.6,63,1.9,2.4,3.9,1.7,12,16,3,£0.24 ,NaN
1,0,1,20,20_sour_cream_and_chive_rice_crisps_1.png,159.2,0.105,       NaN,4.75,NaN,NaN,NaN,3.9826,2.7663,NaN,NaN,22,416,7.6,0.9,78.4,6.5,1.3,7.8,2.75,12,15,3,£0.41 ,NaN
1,0,1,37,37_dairy_milk_fruit_and_nut_1.png,163.3,0.285,       NaN,5.1,NaN,NaN,NaN,4.8326,1.433,NaN,NaN,110,495,26,14.5,55.5,54.5,1.3,8.3,0.2,19,8,1,£1.50 ,NaN
1,0,1,31,31_nuts_raisins_1.png,167.4,0.31,       NaN,NaN,4.3,NaN,NaN,4.9827,2.9325,NaN,NaN,200,540,33.9,21,49.3,46.9,2.1,8.3,0.25,7,18,5,£3.80 ,NaN
1,0,1,56,56_lindt_cremebrulee_1.png,171.3,0.2533333,       NaN,NaN,4.25,NaN,NaN,4.2659,2.4497,NaN,NaN,150,585,40,25,50,46,,5.4,0.21,9,19,1,£2.50 ,NaN
1,0,1,51,51_maynards_winegums_1.png,175.5,0.1466667,       NaN,4.8,NaN,NaN,NaN,4.7827,1.133,NaN,NaN,190,329,0.2,0.2,76,57,NA,4.8,0.03,14,18,3,£1.48 ,NaN
1,0,1,6,6_nestle_aero_mint_1.png,179.3,0.06166667,       NaN,NaN,4.9,NaN,NaN,1.5994,3.083,NaN,NaN,27,539,30.1,17.9,60.8,60,1.1,5.4,0.28,16,3,2,£0.38 ,NaN
1,0,1,21,21_pistachios_1.png,183.3,0.3383333,       NaN,4.95,NaN,NaN,NaN,4.5659,2.3497,NaN,NaN,100,577,46,5.9,10,7.2,11.6,25,1.3,14,16,3,£2.40 ,NaN
1,0,1,7,7_haribo_tangfastics_1.png,187.2,0.155,       NaN,NaN,4.4,NaN,NaN,0.86606,2.4163,NaN,NaN,160,346,<0.5,0.1,80,50,NA,6.6,0.03,14.5,18,2,£1.15 ,NaN
1,0,1,42,42_bassetts_licorice_allsorts_1.png,191.2,0.09833333,       NaN,NaN,4.3,NaN,NaN,1.9994,2.0663,NaN,NaN,190,380,4.2,3.5,79,62,NA,5.6,0.1,13,18,3,£1.00 ,NaN
1,0,1,5,5_cadbury_wispa_1.png,195,0.06166667,       NaN,NaN,4.55,NaN,NaN,3.0493,1.2164,NaN,NaN,30,550,34,21,52.5,52.5,1,7.3,0.23,13,3.5,2,£0.25 ,NaN
1,0,1,41,41_eat_natural_almond_apricot_1.png,199.3,0.1133333,       NaN,4.3,NaN,NaN,NaN,2.466,1.633,NaN,NaN,50,226,12.6,8.8,24.8,7.7,2.2,2.9,0.01,16,4,2,£0.66 ,NaN
1,0,1,28,28_hobnob_flapjack_1.png,203.4,0.08333333,       NaN,NaN,4.45,NaN,NaN,3.365,1.8497,NaN,NaN,34,443,17.8,8.9,61.9,34.7,4.9,6.2,0.52,12,3,1.5,£0.13 ,NaN
1,0,1,30,30_cookies_1.png,207.3,0.08166667,       NaN,5.4,NaN,NaN,NaN,4.1493,2.2996,NaN,NaN,150,442,15,8.5,63,38,5.1,6.2,0.5,8.5,16,7,£2.29 ,NaN
1,0,1,12,12_sunbites_popcorn_1.png,211.1,0.2516667,       NaN,NaN,4.15,NaN,NaN,3.5827,1.7324,NaN,NaN,14,424,10.4,0.9,67.5,24.7,12.8,6.3,1.49,17,14,3,£0.20 ,NaN
1,0,1,48,48_bg_dark_1.png,214.9,0.09,       NaN,NaN,4.9,NaN,NaN,4.9826,1.4664,NaN,NaN,100,630,53.5,32,22.5,13.5,11.5,9.4,0.13,7,15,1,£2.00 ,NaN
