Participant,Session,Choice,RT,ChosenValue,UnchosenValue,DiffValue,AbsDiffValue,TotalValue,ChosenFam,UnchosenFam,DiffFam,AbsDiffFam,TotalFam,Confidence,zRT,zChosenValue,zUnchosenValue,zDiffValue,zAbsDiffValue,zTotalValue,zChosenFam,zUnchosenFam,zDiffFam,zAbsDiffFam,zTotalFam,zConfidence
1,1,1,1077,1.008,0,-1.008,1.008,1.008,6,6,0,0,12,426.29,0.57326,-0.11046,-0.99316,-1.1126,1.1126,-0.65704,0.32043,0.28367,0.035005,0.035005,0.4132,-0.84025
1,1,0,1126,1.5,0.456,1.044,1.044,1.956,6,6,0,0,12,420.07,0.83559,0.81712,0.02977,1.2247,1.2247,0.58543,0.32043,0.28367,0.035005,0.035005,0.4132,-1.0461
1,1,1,1304,1.008,0.456,-0.552,0.552,1.464,4,6,2,2,10,444.95,1.7885,-0.11046,0.02977,-0.5932,0.5932,-0.059395,-3.0841,0.28367,3.0104,3.0104,-2.5136,-0.22178
1,1,0,1136,1.5,0.48,1.02,1.02,1.98,6,6,0,0,12,500,0.88912,0.81712,0.083608,1.1973,1.1973,0.61689,0.32043,0.28367,0.035005,0.035005,0.4132,1.6028
1,1,0,984,1.5,1.752,-0.252,0.252,3.252,6,6,0,0,12,465.38,0.07539,0.81712,2.9371,-0.2515,0.2515,2.284,0.32043,0.28367,0.035005,0.035005,0.4132,0.45546
1,1,0,957,1.008,0,1.008,1.008,1.008,6,6,0,0,12,469.23,-0.069155,-0.11046,-0.99316,1.1837,1.1837,-0.65704,0.32043,0.28367,0.035005,0.035005,0.4132,0.58291
1,1,1,1404,0.516,0,-0.516,0.516,0.516,6,6,0,0,12,408.85,2.3239,-1.038,-0.99316,-0.5522,0.5522,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,-1.418
1,1,0,1160,1.008,0.996,0.012,0.012,2.004,4,6,-2,2,10,488.08,1.0176,-0.11046,1.2411,0.049206,0.049206,0.64834,-3.0841,0.28367,-2.9404,2.9404,-2.5136,1.2077
1,1,1,1003,1.5,0.996,-0.504,0.504,2.496,6,6,0,0,12,471.33,0.17711,0.81712,1.2411,-0.53853,0.53853,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,0.65264
1,1,1,941,1.512,0,-1.512,1.512,1.512,6,6,0,0,12,482.56,-0.15481,0.83975,-0.99316,-1.6867,1.6867,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,1.0247
1,1,1,902,0.456,0,-0.456,0.456,0.456,6,6,0,0,12,466.88,-0.3636,-1.1512,-0.99316,-0.48385,0.48385,-1.3805,0.32043,0.28367,0.035005,0.035005,0.4132,0.50526
1,1,1,1067,1.5,0.504,-0.996,0.996,2.004,6,6,0,0,12,458.09,0.51973,0.81712,0.13745,-1.0989,1.0989,0.64834,0.32043,0.28367,0.035005,0.035005,0.4132,0.2138
1,1,1,1039,1.008,0.996,-0.012,0.012,2.004,4,6,2,2,10,460.35,0.36983,-0.11046,1.2411,0.021869,0.021869,0.64834,-3.0841,0.28367,3.0104,3.0104,-2.5136,0.28868
1,1,0,1539,0.996,1.5,-0.504,0.504,2.496,6,6,0,0,12,420.21,3.0466,-0.13308,2.3718,-0.53853,0.53853,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,-1.0417
1,1,1,731,0.996,0,-0.996,0.996,0.996,6,6,0,0,12,470,-1.279,-0.13308,-0.99316,-1.0989,1.0989,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,0.60846
1,1,0,828,2.004,0,2.004,2.004,2.004,6,6,0,0,12,444.92,-0.75975,1.7673,-0.99316,2.3181,2.3181,0.64834,0.32043,0.28367,0.035005,0.035005,0.4132,-0.22264
1,1,1,765,1.5,0.492,-1.008,1.008,1.992,6,6,0,0,12,447.14,-1.097,0.81712,0.11053,-1.1126,1.1126,0.63262,0.32043,0.28367,0.035005,0.035005,0.4132,-0.14898
1,1,1,750,1.512,0.504,-1.008,1.008,2.016,6,6,0,0,12,475.08,-1.1773,0.83975,0.13745,-1.1126,1.1126,0.66407,0.32043,0.28367,0.035005,0.035005,0.4132,0.77673
1,1,1,1050,0.456,1.008,0.552,0.552,1.464,6,6,0,0,12,307.33,0.42872,-1.1512,1.2681,0.66428,0.66428,-0.059395,0.32043,0.28367,0.035005,0.035005,0.4132,-4.7826
1,1,0,1105,0.24,0.492,-0.252,0.252,0.732,6,6,0,0,12,414.66,0.72316,-1.5584,0.11053,-0.2515,0.2515,-1.0188,0.32043,0.28367,0.035005,0.035005,0.4132,-1.2255
1,1,1,1545,0,0,0,0,0,6,5,-1,1,11,404.59,3.0787,-2.0109,-0.99316,0.035537,0.035537,-1.9782,0.32043,-2.7303,-1.4527,1.4527,-1.0502,-1.5592
1,1,0,1049,0.456,0.492,-0.036,0.036,0.948,6,6,0,0,12,423.1,0.42337,-1.1512,0.11053,-0.0054673,0.0054673,-0.73568,0.32043,0.28367,0.035005,0.035005,0.4132,-0.94586
1,1,1,938,1.512,0.456,-1.056,1.056,1.968,6,6,0,0,12,417.45,-0.17087,0.83975,0.02977,-1.1673,1.1673,0.60116,0.32043,0.28367,0.035005,0.035005,0.4132,-1.1331
1,1,1,905,1.008,0,-1.008,1.008,1.008,4,5,1,1,9,439.71,-0.34754,-0.11046,-0.99316,-1.1126,1.1126,-0.65704,-3.0841,-2.7303,1.5227,1.5227,-3.977,-0.39525
1,1,0,936,1.008,0.504,0.504,0.504,1.512,6,6,0,0,12,440.62,-0.18158,-0.11046,0.13745,0.6096,0.6096,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,-0.36515
1,1,1,921,1.5,0.24,-1.26,1.26,1.74,6,6,0,0,12,426.14,-0.26188,0.81712,-0.45478,-1.3996,1.3996,0.30234,0.32043,0.28367,0.035005,0.035005,0.4132,-0.84504
1,1,0,904,0.516,0,0.516,0.516,0.516,6,6,0,0,12,413.33,-0.35289,-1.038,-0.99316,0.62327,0.62327,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,-1.2695
1,1,0,579,1.5,0,1.5,1.5,1.5,6,6,0,0,12,446.27,-2.0928,0.81712,-0.99316,1.7441,1.7441,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,-0.1779
1,1,1,950,2.004,0.48,-1.524,1.524,2.484,6,6,0,0,12,500,-0.10663,1.7673,0.083608,-1.7003,1.7003,1.2774,0.32043,0.28367,0.035005,0.035005,0.4132,1.6028
1,1,0,927,0.996,0.504,0.492,0.492,1.5,6,6,0,0,12,443.99,-0.22976,-0.13308,0.13745,0.59593,0.59593,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,-0.2534
1,1,1,894,0.456,0.504,0.048,0.048,0.96,6,6,0,0,12,465.72,-0.40642,-1.1512,0.13745,0.09021,0.09021,-0.71995,0.32043,0.28367,0.035005,0.035005,0.4132,0.4667
1,1,1,919,1.5,0.996,-0.504,0.504,2.496,6,6,0,0,12,456.9,-0.27259,0.81712,1.2411,-0.53853,0.53853,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,0.17439
1,1,0,1167,0.516,0.48,0.036,0.036,0.996,6,6,0,0,12,500,1.0551,-1.038,0.083608,0.076542,0.076542,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,1.6028
1,1,1,851,1.752,0,-1.752,1.752,1.752,6,5,-1,1,11,497.48,-0.63662,1.2922,-0.99316,-1.96,1.96,0.31807,0.32043,-2.7303,-1.4527,1.4527,-1.0502,1.5191
1,1,0,824,0.456,0,0.456,0.456,0.456,6,6,0,0,12,455.83,-0.78117,-1.1512,-0.99316,0.55493,0.55493,-1.3805,0.32043,0.28367,0.035005,0.035005,0.4132,0.13897
1,1,0,961,1.5,1.008,0.492,0.492,2.508,6,4,2,2,10,389.51,-0.047741,0.81712,1.2681,0.59593,0.59593,1.3089,0.32043,-5.7443,3.0104,3.0104,-2.5136,-2.0591
1,1,1,763,1.008,0,-1.008,1.008,1.008,4,6,2,2,10,500,-1.1077,-0.11046,-0.99316,-1.1126,1.1126,-0.65704,-3.0841,0.28367,3.0104,3.0104,-2.5136,1.6028
1,1,0,737,1.512,0.516,0.996,0.996,2.028,6,6,0,0,12,495.83,-1.2469,0.83975,0.16437,1.17,1.17,0.6798,0.32043,0.28367,0.035005,0.035005,0.4132,1.4646
1,1,1,1523,0.24,0.48,0.24,0.24,0.72,6,6,0,0,12,480.59,2.9609,-1.5584,0.083608,0.3089,0.3089,-1.0345,0.32043,0.28367,0.035005,0.035005,0.4132,0.95945
1,1,1,851,2.004,1.008,-0.996,0.996,3.012,6,6,0,0,12,476.05,-0.63662,1.7673,1.2681,-1.0989,1.0989,1.9695,0.32043,0.28367,0.035005,0.035005,0.4132,0.80891
1,1,0,1316,0,0.48,-0.48,0.48,0.48,6,6,0,0,12,405.5,1.8527,-2.0109,0.083608,-0.51119,0.51119,-1.3491,0.32043,0.28367,0.035005,0.035005,0.4132,-1.529
1,1,1,1029,0.456,0.492,0.036,0.036,0.948,6,6,0,0,12,420.38,0.3163,-1.1512,0.11053,0.076542,0.076542,-0.73568,0.32043,0.28367,0.035005,0.035005,0.4132,-1.036
1,1,0,861,1.5,0,1.5,1.5,1.5,6,6,0,0,12,468.62,-0.58309,0.81712,-0.99316,1.7441,1.7441,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,0.56274
1,1,0,764,0.516,0,0.516,0.516,0.516,6,6,0,0,12,486.8,-1.1024,-1.038,-0.99316,0.62327,0.62327,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,1.1653
1,1,1,900,0.996,0,-0.996,0.996,0.996,6,6,0,0,12,455.21,-0.3743,-0.13308,-0.99316,-1.0989,1.0989,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,0.1182
1,1,1,1124,1.5,0.516,-0.984,0.984,2.016,6,6,0,0,12,464.73,0.82488,0.81712,0.16437,-1.0853,1.0853,0.66407,0.32043,0.28367,0.035005,0.035005,0.4132,0.43399
1,1,1,891,0.504,0,-0.504,0.504,0.504,6,5,-1,1,11,459.91,-0.42248,-1.0607,-0.99316,-0.53853,0.53853,-1.3176,0.32043,-2.7303,-1.4527,1.4527,-1.0502,0.27416
1,1,0,741,1.5,0.492,1.008,1.008,1.992,6,6,0,0,12,427.25,-1.2255,0.81712,0.11053,1.1837,1.1837,0.63262,0.32043,0.28367,0.035005,0.035005,0.4132,-0.80844
1,1,0,825,1.008,0.516,0.492,0.492,1.524,4,6,-2,2,10,470.71,-0.77582,-0.11046,0.16437,0.59593,0.59593,0.019243,-3.0841,0.28367,-2.9404,2.9404,-2.5136,0.632
1,1,1,949,0,0.492,0.492,0.492,0.492,6,6,0,0,12,455.44,-0.11198,-2.0109,0.11053,0.59593,0.59593,-1.3333,0.32043,0.28367,0.035005,0.035005,0.4132,0.12611
1,1,0,839,0.516,1.008,-0.492,0.492,1.524,6,6,0,0,12,447.09,-0.70087,-1.038,1.2681,-0.52486,0.52486,0.019243,0.32043,0.28367,0.035005,0.035005,0.4132,-0.1507
1,1,1,1181,1.5,0,-1.5,1.5,1.5,6,6,0,0,12,435.44,1.13,0.81712,-0.99316,-1.673,1.673,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,-0.537
1,1,0,742,1.512,0,1.512,1.512,1.512,6,6,0,0,12,463.09,-1.2202,0.83975,-0.99316,1.7577,1.7577,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,0.37952
1,1,0,1113,0.996,0.516,0.48,0.48,1.512,6,6,0,0,12,434.58,0.76599,-0.13308,0.16437,0.58227,0.58227,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,-0.56522
1,1,0,898,2.004,0.24,1.764,1.764,2.244,6,6,0,0,12,466.43,-0.38501,1.7673,-0.45478,2.0448,2.0448,0.96289,0.32043,0.28367,0.035005,0.035005,0.4132,0.49007
1,1,1,1145,1.5,0,-1.5,1.5,1.5,6,6,0,0,12,423.05,0.9373,0.81712,-0.99316,-1.673,1.673,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,-0.94741
1,1,0,918,1.5,0.996,0.504,0.504,2.496,6,6,0,0,12,411.6,-0.27794,0.81712,1.2411,0.6096,0.6096,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,-1.3271
1,1,0,968,0.492,0,0.492,0.492,0.492,6,5,1,1,11,500,-0.010266,-1.0833,-0.99316,0.59593,0.59593,-1.3333,0.32043,-2.7303,1.5227,1.5227,-1.0502,1.6028
1,1,0,935,0.516,0,0.516,0.516,0.516,6,6,0,0,12,467.19,-0.18693,-1.038,-0.99316,0.62327,0.62327,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,0.51527
1,1,1,984,0.456,0.48,0.024,0.024,0.936,6,6,0,0,12,425.81,0.07539,-1.1512,0.083608,0.062874,0.062874,-0.75141,0.32043,0.28367,0.035005,0.035005,0.4132,-0.85615
1,1,0,939,1.008,1.752,-0.744,0.744,2.76,4,6,-2,2,10,442.41,-0.16552,-0.11046,2.9371,-0.81189,0.81189,1.6392,-3.0841,0.28367,-2.9404,2.9404,-2.5136,-0.30591
1,1,0,664,1.512,0.48,1.032,1.032,1.992,6,6,0,0,12,472.57,-1.6377,0.83975,0.083608,1.211,1.211,0.63262,0.32043,0.28367,0.035005,0.035005,0.4132,0.69385
1,1,0,865,1.752,0.456,1.296,1.296,2.208,6,6,0,0,12,471.4,-0.56168,1.2922,0.02977,1.5117,1.5117,0.91571,0.32043,0.28367,0.035005,0.035005,0.4132,0.65483
1,1,1,721,1.512,0.996,-0.516,0.516,2.508,6,6,0,0,12,450.54,-1.3326,0.83975,1.2411,-0.5522,0.5522,1.3089,0.32043,0.28367,0.035005,0.035005,0.4132,-0.036468
