parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
0,0,3327,1,0.95,2,0,3.327,0
0,1,3424,1,2.3,1.7,0,3.424,1
0,2,3691,1,1.7,1.25,0,3.691,1
0,3,8144,-1,1.55,2.3,0,8.144,1
0,4,6559,-1,2,2,0,6.559,1
0,5,5595,-1,0.65,1.25,0,5.595,1
0,6,2470,1,1.55,1.1,0,2.47,1
0,7,6091,1,0.95,0.65,0,6.091,1
0,8,4669,1,1.55,1.7,0,4.669,0
0,9,4001,1,2,1.1,0,4.001,1
0,10,3301,-1,1.1,1.1,0,3.301,1
0,11,2867,-1,1.4,2,0,2.867,1
0,12,3117,1,1.85,1.1,0,3.117,1
0,13,10424,1,1.7,2,0,10.424,0
0,14,2754,-1,1.25,1.55,0,2.754,1
0,15,5836,1,2,1.7,0,5.836,1
0,16,3931,1,1.85,1.7,0,3.931,1
0,17,3602,1,1.55,0.8,0,3.602,1
0,18,5674,-1,1.7,1.4,0,5.674,0
0,19,2567,1,1.7,1.1,0,2.567,1
0,20,2097,-1,1.1,1.55,0,2.097,1
0,21,3641,-1,0.95,0.8,0,3.641,0
0,22,4550,1,1.7,1.55,0,4.55,1
0,23,2973,1,1.7,1.4,0,2.973,1
0,24,2824,-1,1.25,1.7,0,2.824,1
0,25,3643,-1,2,2.3,0,3.643,1
0,26,2188,1,1.85,0.65,0,2.188,1
0,27,3321,1,1.85,1.1,0,3.321,1
0,28,6784,-1,1.85,2,0,6.784,1
0,29,2314,-1,1.1,2.3,0,2.314,1
0,30,2952,-1,1.1,2,0,2.952,1
0,31,8388,-1,1.25,1.4,0,8.388,1
0,32,5341,1,1.25,1.85,0,5.341,0
0,33,2183,1,1.1,0.95,0,2.183,1
0,34,3207,-1,0.95,1.85,0,3.207,1
0,35,3224,1,1.1,1.55,0,3.224,0
0,36,3476,1,1.7,1.85,0,3.476,0
0,37,2295,-1,0.65,1.7,0,2.295,1
0,38,3513,-1,1.55,2.3,0,3.513,1
0,39,4458,1,1.1,0.95,0,4.458,1
0,40,2348,1,1.55,1.1,0,2.348,1
0,41,2809,-1,1.4,1.7,0,2.809,1
0,42,1992,-1,1.1,1.7,0,1.992,1
0,43,1534,1,1.85,0.95,0,1.534,1
0,44,3023,-1,0.95,2.3,0,3.023,1
0,45,3452,-1,2,2,0,3.452,1
0,46,3961,1,2,1.55,0,3.961,1
0,47,2636,1,2,1.1,0,2.636,1
0,48,1898,1,2,1.1,0,1.898,1
0,49,1725,1,2.3,1.1,0,1.725,1
0,50,4336,1,2.3,2,0,4.336,1
0,51,2037,-1,0.95,1.1,0,2.037,1
0,52,2479,-1,0.35,1.85,0,2.479,1
0,53,3389,1,2.3,1.55,0,3.389,1
0,54,2339,-1,1.7,2,0,2.339,1
0,55,3609,-1,1.85,1.85,0,3.609,1
0,56,7371,1,2.3,1.55,0,7.371,1
0,57,2520,-1,1.55,2,0,2.52,1
0,58,1761,1,2,1.4,0,1.761,1
0,59,2593,1,1.85,1.7,0,2.593,1
0,60,5772,1,1.55,1.1,0,5.772,1
0,61,1945,-1,1.1,1.85,0,1.945,1
0,62,1621,1,1.1,0.35,0,1.621,1
0,63,2952,1,1.55,1.4,0,2.952,1
0,64,2725,-1,1.25,2,0,2.725,1
0,65,2591,-1,1.1,1.55,0,2.591,1
0,66,3523,1,1.4,1.1,0,3.523,1
0,67,7082,-1,1.25,1.1,0,7.082,0
0,68,4066,1,1.55,1.25,0,4.066,1
0,69,2602,-1,1.25,2,0,2.602,1
0,70,3239,1,1.4,1.25,0,3.239,1
0,71,1943,-1,1.55,1.55,0,1.943,1
0,72,3627,-1,1.85,2,0,3.627,1
0,73,6245,-1,1.7,1.55,0,6.245,0
0,74,4574,1,1.85,1.55,0,4.574,1
0,75,4327,1,1.7,0.65,0,4.327,1
0,76,6247,-1,1.1,2,0,6.247,1
0,77,2353,-1,1.1,1.25,0,2.353,1
0,78,4758,-1,0.95,1.55,0,4.758,1
0,79,2715,-1,1.1,1.85,0,2.715,1
0,80,1573,-1,0.35,1.1,0,1.573,1
0,81,1712,1,1.85,1.85,0,1.712,1
0,82,2040,-1,1.55,1.7,0,2.04,1
0,83,2372,1,2,1.85,0,2.372,1
0,84,4185,-1,2,1.7,0,4.185,0
0,85,3429,1,1.1,1.25,0,3.429,0
0,86,2044,-1,1.4,1.55,0,2.044,1
0,87,2542,1,2,0.95,0,2.542,1
0,88,1576,1,2,1.25,0,1.576,1
0,89,2497,-1,1.1,1.1,0,2.497,1
0,90,2511,1,1.85,1.1,0,2.511,1
0,91,1564,1,1.55,1.55,0,1.564,1
0,92,1616,1,1.55,0.95,0,1.616,1
0,93,2987,1,2,1.7,0,2.987,1
0,94,3625,-1,1.7,2,0,3.625,1
0,95,2226,-1,1.1,2,0,2.226,1
