,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,0,2009,0,0.0,0.0,0.5683962264150944,0.4316037735849057
1,0,1,3371,0,5.0,4.0,0.7623318385650224,0.2376681614349776
2,0,2,1700,1,0.0,5.0,0.44680851063829785,0.5531914893617021
3,0,3,7466,1,1.0,2.0,0.5323521244098861,0.4676478755901138
4,0,4,1889,1,5.0,5.0,0.5297363580625383,0.4702636419374617
5,0,5,2227,1,4.0,4.0,0.37052856380138816,0.6294714361986119
6,0,6,4259,0,4.0,0.0,0.4822536609580541,0.5177463390419459
7,0,7,3505,0,3.0,0.0,0.6707391569945022,0.32926084300549785
8,0,8,2548,0,3.0,0.0,0.5284974093264249,0.4715025906735752
9,0,9,3226,1,0.0,5.0,0.5815789473684211,0.41842105263157897
10,0,10,4604,0,4.0,0.0,0.5377553362405325,0.4622446637594675
11,0,11,6333,0,0.0,5.0,0.6398555482600131,0.3601444517399869
12,0,12,5716,0,0.0,0.0,0.5846656976744186,0.4153343023255814
13,0,13,3562,0,5.0,0.0,0.7165259348612787,0.28347406513872137
14,0,14,2447,0,4.0,0.0,0.5860215053763441,0.4139784946236559
15,0,15,2120,1,1.0,4.0,0.3560486001056524,0.6439513998943476
16,0,16,6932,1,5.0,5.0,0.5853131749460043,0.4146868250539957
17,0,17,4274,1,1.0,4.0,0.4338055691255496,0.5661944308744504
18,0,18,6854,0,4.0,2.0,0.5914919294011163,0.4085080705988837
19,0,19,6698,0,0.0,0.0,0.6680061823802164,0.33199381761978364
20,0,20,2913,0,0.0,0.0,0.5531355613969208,0.4468644386030792
21,0,21,4513,0,4.0,3.0,0.6544186046511627,0.3455813953488372
22,0,22,2110,1,4.0,5.0,0.3732744340143567,0.6267255659856433
23,0,23,3385,0,4.0,2.0,0.5535257581293387,0.4464742418706613
24,0,24,2456,1,2.0,5.0,0.34350797266514804,0.6564920273348519
25,0,25,2136,0,4.0,4.0,0.5540326831839747,0.4459673168160253
26,0,26,7010,1,0.0,3.0,0.4728877679697352,0.5271122320302648
27,0,27,4784,0,0.0,0.0,0.4202386212991604,0.5797613787008395
28,0,28,2697,1,0.0,3.0,0.3670320747056435,0.6329679252943565
29,0,29,4654,1,1.0,3.0,0.3220720720720721,0.6779279279279279
30,0,30,1916,1,3.0,5.0,0.40725075528700905,0.592749244712991
