parcode,trial,rt,choice,item_left,item_right,valid
0,0,3327,1,15,0,
0,1,3424,1,-10,-15,
0,2,3691,1,-15,15,
0,3,8144,-1,5,10,
0,4,6559,-1,-10,10,
0,5,5595,-1,10,5,
0,6,2470,1,0,-10,
0,7,6091,1,5,-5,
0,8,4669,1,-10,15,
0,9,4001,1,-5,5,
0,10,3301,-1,-5,15,
0,11,2867,-1,0,-5,
0,12,3117,1,10,-5,
0,13,10424,1,-5,0,
0,14,2754,-1,10,10,
0,15,5836,1,15,5,
0,16,3931,1,-15,5,
0,17,3602,1,0,15,
0,18,5674,-1,15,-10,
0,19,2567,1,10,0,
0,20,2097,-1,-15,10,
0,21,3641,-1,-15,15,
0,22,4550,1,10,-10,
0,23,2973,1,5,-10,
0,24,2824,-1,-10,5,
0,25,3643,-1,10,10,
0,26,2188,1,10,-15,
0,27,3321,1,0,-5,
0,28,6784,-1,-15,5,
0,29,2314,-1,10,-5,
0,30,2952,-1,0,15,
0,31,8388,-1,15,-15,
0,32,5341,1,5,10,
0,33,2183,1,-15,10,
0,34,3207,-1,15,-15,
0,35,3224,1,15,5,
0,36,3476,1,15,-5,
0,37,2295,-1,0,0,
0,38,3513,-1,-10,15,
0,39,4458,1,5,15,
