parcode,trial,rt,choice,item_left,item_right
0,0,3327,1,0.95,2.0
0,1,3424,1,2.3,1.7
0,2,3691,1,1.7,1.25
0,3,8144,-1,1.55,2.3
0,4,6559,-1,2.0,2.0
0,5,5595,-1,0.65,1.25
0,6,2470,1,1.55,1.1
0,7,6091,1,0.95,0.65
0,8,4669,1,1.55,1.7
0,9,4001,1,2.0,1.1
0,10,3301,-1,1.1,1.1
0,11,2867,-1,1.4,2.0
0,12,3117,1,1.85,1.1
0,13,10424,1,1.7,2.0
0,14,2754,-1,1.25,1.55
0,15,5836,1,2.0,1.7
0,16,3931,1,1.85,1.7
0,17,3602,1,1.55,0.8
0,18,5674,-1,1.7,1.4
0,19,2567,1,1.7,1.1
0,20,2097,-1,1.1,1.55
0,21,3641,-1,0.95,0.8
0,22,4550,1,1.7,1.55
0,23,2973,1,1.7,1.4
0,24,2824,-1,1.25,1.7
0,25,3643,-1,2.0,2.3
0,26,2188,1,1.85,0.65
0,27,3321,1,1.85,1.1
0,28,6784,-1,1.85,2.0
0,29,2314,-1,1.1,2.3
0,30,2952,-1,1.1,2.0
0,31,8388,-1,1.25,1.4
0,32,5341,1,1.25,1.85
0,33,2183,1,1.1,0.95
0,34,3207,-1,0.95,1.85
0,35,3224,1,1.1,1.55
0,36,3476,1,1.7,1.85
0,37,2295,-1,0.65,1.7
0,38,3513,-1,1.55,2.3
0,39,4458,1,1.1,0.95
0,40,2348,1,1.55,1.1
0,41,2809,-1,1.4,1.7
0,42,1992,-1,1.1,1.7
0,43,1534,1,1.85,0.95
0,44,3023,-1,0.95,2.3
0,45,3452,-1,2.0,2.0
0,46,3961,1,2.0,1.55
0,47,2636,1,2.0,1.1
0,48,1898,1,2.0,1.1
0,49,1725,1,2.3,1.1
0,50,4336,1,2.3,2.0
0,51,2037,-1,0.95,1.1
0,52,2479,-1,0.35,1.85
0,53,3389,1,2.3,1.55
0,54,2339,-1,1.7,2.0
0,55,3609,-1,1.85,1.85
0,56,7371,1,2.3,1.55
0,57,2520,-1,1.55,2.0
0,58,1761,1,2.0,1.4
0,59,2593,1,1.85,1.7
0,60,5772,1,1.55,1.1
0,61,1945,-1,1.1,1.85
0,62,1621,1,1.1,0.35
0,63,2952,1,1.55,1.4
0,64,2725,-1,1.25,2.0
0,65,2591,-1,1.1,1.55
0,66,3523,1,1.4,1.1
0,67,7082,-1,1.25,1.1
0,68,4066,1,1.55,1.25
0,69,2602,-1,1.25,2.0
0,70,3239,1,1.4,1.25
0,71,1943,-1,1.55,1.55
0,72,3627,-1,1.85,2.0
0,73,6245,-1,1.7,1.55
0,74,4574,1,1.85,1.55
