parcode,trial,rt,choice,item_left,item_right
0,40,2009,-1,1.1,0.95
0,41,3371,-1,2.0,1.7
0,42,1700,1,1.1,2.3
0,43,7466,1,1.25,1.4
0,44,1889,1,2.0,2.3
0,45,2227,1,1.7,1.85
0,46,4259,-1,1.85,0.65
0,47,3505,-1,1.55,0.8
0,48,2548,-1,1.55,1.1
0,49,3226,1,1.1,2.0
0,50,4604,-1,1.85,1.1
0,51,6333,-1,0.95,2.0
0,52,5716,-1,0.95,0.8
0,53,3562,-1,2.0,1.1
0,54,2447,-1,1.85,1.1
0,55,2120,1,1.25,1.85
0,56,6932,1,2.0,2.0
0,57,4274,1,1.25,1.7
0,58,6854,-1,1.7,1.4
0,59,6698,-1,1.1,1.1
0,60,2913,-1,1.1,0.95
0,61,4513,-1,1.7,1.55
0,62,2110,1,1.85,2.0
0,63,3385,-1,1.7,1.4
0,64,2456,1,1.4,2.0
0,65,2136,-1,1.85,1.7
0,66,7010,1,1.1,1.55
0,67,4784,-1,0.95,0.65
0,68,2697,1,1.1,1.55
0,69,4654,1,1.25,1.55
0,70,1916,1,1.55,2.3
0,71,2033,-1,1.7,1.25
0,72,1441,1,0.95,1.85
0,73,3579,1,0.65,1.25
0,74,7377,1,1.7,2.0
0,75,2921,-1,2.3,1.7
0,76,6398,-1,1.55,2.3
0,77,2919,1,0.65,1.7
0,78,4737,-1,1.55,1.7
0,79,3459,-1,1.7,1.1
0,120,3454,1,1.85,1.85
0,121,2478,1,1.7,1.55
0,122,1728,1,1.1,1.85
0,123,2014,-1,1.85,1.7
0,124,519,1,0.95,1.1
0,125,5492,1,1.1,1.25
0,126,3216,1,1.1,1.7
0,127,2185,-1,1.4,1.1
0,128,1467,-1,2.3,2.0
0,129,1707,-1,1.7,0.65
0,130,1472,1,1.1,1.55
0,131,2425,-1,2.0,1.1
0,132,5621,1,2.3,1.55
0,133,3216,1,0.95,1.55
0,134,3167,1,0.95,2.3
0,135,1939,-1,1.1,0.35
0,136,2066,-1,1.55,1.4
0,137,1561,1,1.25,2.0
0,138,2037,-1,1.85,1.55
0,139,3620,1,1.85,2.0
0,140,1235,1,0.35,1.85
0,141,3726,1,1.4,1.7
0,142,1764,1,1.25,1.1
0,143,4016,-1,2.0,1.4
0,144,2365,1,1.1,2.0
0,145,1583,1,1.55,1.55
0,146,5406,-1,1.55,1.25
0,147,2418,1,1.25,2.0
0,148,5198,-1,1.4,1.25
0,149,4101,1,1.1,1.85
0,150,3167,1,1.55,2.0
0,151,1675,-1,1.85,0.95
0,152,1655,1,1.7,2.0
0,153,1870,-1,1.55,1.1
0,154,2637,-1,1.55,1.1
0,155,3613,1,2.0,2.0
0,156,1854,-1,2.3,1.55
0,157,1999,-1,2.0,1.55
0,158,1979,-1,2.0,1.1
0,159,1987,-1,2.3,1.1
0,200,2166,-1,1.85,1.1
0,201,2263,-1,2.0,1.55
0,202,1491,1,0.8,1.55
0,203,1697,-1,1.1,1.25
0,204,2250,1,1.55,1.7
0,205,2017,-1,1.7,1.25
0,206,2098,1,1.7,1.85
0,207,1744,-1,2.0,1.25
0,208,2002,-1,1.85,1.85
0,209,2099,-1,2.0,1.1
0,210,4340,-1,1.4,1.7
0,211,2085,1,1.55,1.85
0,212,2755,1,1.55,2.0
0,213,2265,-1,2.0,1.85
0,214,1866,1,1.25,1.7
0,215,2166,-1,1.85,0.35
0,216,4828,1,1.25,1.1
0,217,2376,-1,2.0,0.95
0,218,2106,-1,2.0,1.85
0,219,2328,-1,1.85,1.25
0,220,4574,-1,2.0,1.7
0,221,1708,1,1.1,1.4
0,222,1739,1,1.1,1.85
0,223,1466,1,0.35,1.1
0,224,4432,-1,1.7,2.3
0,225,1759,1,1.1,2.0
0,226,1533,1,1.1,2.0
0,227,1556,-1,1.25,0.65
0,228,1545,-1,1.55,1.55
0,229,1291,1,1.7,2.0
0,230,1544,1,1.4,1.55
0,231,4190,1,0.65,0.95
0,232,1712,1,0.65,1.85
0,233,2958,1,1.55,0.95
0,234,1618,-1,2.3,0.95
0,235,1474,-1,2.0,1.7
0,236,1715,-1,2.0,1.25
0,237,1819,1,1.1,1.1
0,238,1454,1,0.95,1.1
0,239,3480,-1,0.8,0.95
1,40,3113,1,0.5,0.8
1,41,4273,1,0.05,0.5
1,42,2400,-1,0.5,0.2
1,43,2710,1,0.35,0.5
1,44,3446,-1,0.5,0.2
1,45,3993,-1,0.65,0.5
1,46,2389,-1,0.65,0.05
1,47,1404,-1,0.2,0.0
1,48,3249,1,0.05,0.2
1,49,1822,-1,0.35,0.0
1,50,1994,-1,0.2,0.0
1,51,2700,-1,0.65,0.2
1,52,1886,-1,0.5,0.0
1,53,3326,1,0.65,0.65
