parcode,trial,fix_item,fix_time
0,0,3,313
0,0,1,552
0,0,2,732
0,0,1,412
0,1,3,249
0,1,1,576
0,1,2,742
0,1,1,1804
0,2,3,290
0,2,1,630
0,2,2,780
0,3,3,264
0,3,1,630
0,3,2,1086
0,3,1,1178
0,3,2,1058
0,3,1,2026
0,3,2,1224
0,4,3,258
0,4,1,864
0,4,2,767
0,5,3,230
0,5,0,124
0,5,1,694
0,5,2,1179
0,6,3,230
0,6,1,682
0,6,2,2086
0,6,1,1261
0,7,3,231
0,7,1,1598
0,7,2,1078
0,7,1,598
0,8,3,232
0,8,1,778
0,8,2,1092
0,8,1,446
0,9,3,186
0,9,1,1140
0,9,2,784
0,9,1,628
0,9,2,488
0,10,3,247
0,10,1,582
0,10,2,1100
0,10,1,1098
0,10,2,914
0,10,1,663
0,11,3,241
0,11,1,998
0,11,2,1592
0,11,1,2140
0,11,2,602
0,11,1,760
0,12,3,212
0,12,1,704
0,12,2,736
0,12,1,1346
0,12,2,1550
0,12,1,1168
0,13,3,246
0,13,1,1194
0,13,2,940
0,13,1,1182
0,14,3,215
0,14,1,866
0,14,2,924
0,14,1,442
0,15,3,227
0,15,1,674
0,15,2,1219
0,16,3,268
0,16,1,684
0,16,2,1284
0,16,1,600
0,16,2,164
0,16,1,170
0,16,2,512
0,16,1,1628
0,16,0,182
0,16,1,712
0,16,2,728
0,17,3,180
0,17,1,632
0,17,2,1422
0,17,1,1144
0,17,2,896
0,18,3,225
0,18,1,970
0,18,2,1070
0,18,1,1330
0,18,2,1638
0,18,1,1621
0,19,3,228
0,19,1,732
0,19,2,1796
0,19,1,1812
0,19,2,352
0,19,1,1778
0,20,3,250
0,20,1,752
0,20,2,1190
0,20,1,721
0,21,3,213
0,21,1,1036
0,21,2,884
0,21,1,1328
0,21,2,602
0,21,1,450
0,22,3,299
0,22,1,676
0,22,2,1135
0,23,3,274
0,23,1,558
0,23,0,374
0,23,2,1222
0,23,1,957
0,24,3,261
0,24,1,754
0,24,2,1441
0,25,3,239
0,25,1,656
0,25,2,846
0,25,1,395
0,26,3,238
0,26,1,634
0,26,2,874
0,26,1,852
0,26,2,1538
0,26,1,1514
0,26,0,428
0,26,2,932
0,27,3,258
0,27,1,684
0,27,2,2624
0,27,1,1218
0,28,3,234
0,28,1,904
0,28,2,1559
0,29,3,214
0,29,1,768
0,29,2,938
0,29,1,662
0,29,2,2072
0,30,3,261
0,30,1,674
0,30,2,981
0,31,3,283
0,31,1,698
0,31,2,662
0,31,1,390
0,32,3,237
0,32,1,556
0,32,2,648
0,33,3,225
0,33,1,734
0,33,2,642
0,33,1,364
0,33,2,162
0,33,1,914
0,33,2,538
0,34,3,229
0,34,1,1066
0,34,2,1254
0,34,1,952
0,34,2,1488
0,34,1,1550
0,34,0,264
0,34,1,574
0,35,3,246
0,35,1,852
0,35,2,1242
0,35,1,581
0,36,3,241
0,36,1,786
0,36,2,2014
0,36,1,2386
0,36,2,484
0,36,1,487
0,37,3,222
0,37,1,798
0,37,2,1899
0,38,0,254
0,38,1,766
0,38,2,592
0,38,1,1164
0,38,2,1428
0,38,1,533
0,39,3,213
0,39,1,998
0,39,2,1586
0,39,1,662
0,40,3,983
0,40,1,350
0,40,2,828
0,40,1,668
