Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,0,0,437,1,438,,,0.95,1.08,10,8,1,6,1.0,5.0,2452,306.5,3327
0,1,1,338,2,111,2.3,4.83,1.7,3.58,9,7,1,4,1.0,4.0,2975,425.0,3424
0,2,1,116,2,212,1.7,5.0,1.25,2.83,13,11,2,7,2.0,6.0,3363,305.72727272727275,3691
0,3,1,178,1,225,1.55,5.0,1.55,5.0,23,21,1,12,1.0,11.0,7741,368.6190476190476,8144
0,4,1,202,1,79,2.0,4.33,2.0,4.33,23,21,1,14,1.0,13.0,6278,298.95238095238096,6559
0,5,1,166,1,441,0.65,0.0,0.65,0.0,14,12,1,10,1.0,9.0,4988,415.6666666666667,5595
0,6,1,246,2,344,1.55,5.0,1.1,4.83,8,6,2,4,1.0,3.0,1880,313.3333333333333,2470
0,7,1,192,2,192,0.95,1.08,0.65,0.33,20,18,2,10,2.0,9.0,5707,317.05555555555554,6091
0,8,0,176,2,1030,,,1.7,3.83,13,11,1,6,1.0,6.0,3463,314.8181818181818,4669
0,9,1,404,2,287,2.0,4.33,1.1,4.33,8,6,2,5,2.0,4.0,3310,551.6666666666666,4001
0,10,1,144,1,131,1.1,4.33,1.1,4.33,14,12,1,9,1.0,8.0,3026,252.16666666666666,3301
0,11,1,168,1,372,1.4,3.83,1.4,3.83,9,7,1,5,1.0,4.0,2327,332.42857142857144,2867
0,12,1,192,2,148,1.85,4.58,1.1,4.08,11,9,1,5,1.0,5.0,2777,308.55555555555554,3117
0,13,1,170,2,75,1.7,5.0,2.0,5.0,32,30,1,15,1.0,15.0,10179,339.3,10424
0,14,1,214,1,166,1.25,2.83,1.25,2.83,10,8,1,6,1.0,5.0,2374,296.75,2754
0,15,1,186,2,139,2.0,4.75,1.7,5.0,22,20,1,11,1.0,11.0,5511,275.55,5836
0,16,1,310,2,120,1.85,5.0,1.7,4.33,13,11,2,8,2.0,7.0,3501,318.27272727272725,3931
0,17,1,158,2,424,1.55,4.33,0.8,4.33,11,9,2,6,2.0,5.0,3020,335.55555555555554,3602
0,18,1,130,1,220,1.7,4.58,1.7,4.58,18,16,2,9,2.0,9.0,5324,332.75,5674
0,19,1,336,2,104,1.7,3.58,1.1,0.33,9,7,2,6,2.0,5.0,2127,303.85714285714283,2567
0,20,1,154,1,135,1.1,4.83,1.1,4.83,8,6,1,5,1.0,4.0,1808,301.3333333333333,2097
0,21,1,184,1,404,0.95,3.83,0.95,3.83,13,11,1,7,1.0,6.0,3053,277.54545454545456,3641
0,22,0,146,2,486,,,1.55,1.08,14,12,1,6,1.0,6.0,3918,326.5,4550
