,Part,TrialN,PairID,L_Item,L_Value,R_Item,R_Value,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,L_IA_DT,R_IA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,FamLeft,FamRight,Tot_Fam,Tot_Val,FamChosen,FamUnChosen,ValChosen,ValUnChosen,Correct,ZtotFam,ZtotVal,ZValCh,ZValUnCh,ZFamCh,ZFamUnCh,ztGSF,ztDDT,absDDT,ConfSplit,GSFMedSplit,DDTMedSplit
0,1,1,14,116_boots_caramels.png,0.95,31_beef_jerky.png,2.0,1,3327,72,2427,2.0,-688,1874,1186,3,1,1.05,1.6944302139657446,1.05,1.5175525332012054,-0.016205609317923964,0.0981117203948704,1.08,4.83,5.91,2.95,4.83,1.08,2.0,0.95,0,-0.7869748379299175,-0.07128726847827055,1.159250349998111,-1.2310993619815531,0.729319321890607,-1.8701110151809766,0.335643363282691,-0.9768927902697048,0.9768927902697048,1,1,0
1,1,2,44,102_propercorn_worcester.png,2.3,26_yorkie.png,1.7,1,3424,68,2443,2.0,564,1206,1770,3,2,-0.5999999999999999,-0.9682458365518538,0.5999999999999999,0.2645275057873652,-0.3153860890334407,0.15917416794981182,4.83,3.58,8.41,4.0,3.58,4.83,1.7,2.3,1,0.388316138667923,1.5920823293478805,0.4722871796288583,1.7838378510344866,-0.16727452545268723,0.7361540456946504,0.335643363282691,0.7939611287713239,0.7939611287713239,0,1,1
2,1,3,51,59_crunchie.png,1.7,5_caramello.png,1.25,1,3691,68,3753,2.0,1071,1020,2091,1,2,-0.45,-0.7261843774138904,0.45,-0.15314750335058114,-0.3153860890334407,0.3272532761680527,5.0,2.83,7.83,2.95,2.83,5.0,1.25,1.7,1,0.11564863209722397,-0.07128726847827055,-0.5581575759250207,0.44386575636069125,-0.7052308338586638,0.8543047284543455,-1.1561049179737128,1.5110721007791523,1.5110721007791523,0,0,1
3,1,4,12,64_nestle_aero_mint.png,1.55,102_propercorn_worcester.png,2.3,0,8144,68,2981,2.0,-1493,4153,2660,4,1,0.7499999999999998,1.210307295689817,0.7499999999999998,0.6822025149253115,-0.3153860890334407,3.13046027577789,5.0,4.83,9.83,3.85,5.0,4.83,1.55,2.3,1,1.0558814133754963,1.3544581010870018,0.12880559444423215,1.7838378510344866,0.851256085129295,0.7361540456946504,1.0815175039108929,-2.1155009410908137,2.1155009410908137,0,1,0
4,1,5,4,44_walkers_french_fries.png,2.0,111_propercorn_sweetnsalty.png,2.0,0,6559,88,2748,2.0,-2039,4063,2024,4,1,0.0,1.0451085762029443e-17,0.0,-1.4061725307644208,1.1805163095441429,2.132687292534775,4.33,5.0,9.33,4.0,4.33,5.0,2.0,2.0,1,0.8208232180559283,1.5920823293478805,1.159250349998111,1.113851803697589,0.37068178295328935,0.8543047284543455,1.0815175039108929,-2.887774295560783,2.887774295560783,1,1,0
5,1,6,39,50_nakd_rhubarb_and_custard.png,0.65,39_milkyway.png,1.25,0,5595,86,4134,2.0,-2305,3511,1206,3,1,0.6,0.968245836551854,0.6,0.26452750578736545,1.030926069686385,1.5258398755970064,0.0,4.08,4.08,1.9,0.0,4.08,0.65,1.25,1,-1.6472878327995368,-1.7346568663044222,-1.932083916663526,-0.5611133146446553,-2.735119304243882,0.214901033519525,0.335643363282691,-3.264010032353845,3.264010032353845,1,1,0
6,1,7,59,54_milkyway_magic_stars.png,1.55,30_starburst_original.png,1.1,1,2470,78,2759,2.0,257,1102,1359,1,2,-0.45,-0.7261843774138904,0.45,-0.15314750335058114,0.4325651102553511,-0.4413781513018803,5.0,4.83,9.83,2.6500000000000004,4.83,5.0,1.1,1.55,1,1.0558814133754963,-0.5465357250000278,-0.9016391611096468,0.10887273269224258,0.729319321890607,0.8543047284543455,-1.1561049179737128,0.3597341693898575,0.3597341693898575,1,0,1
7,1,8,16,116_boots_caramels.png,0.95,104_graze_sriracha.png,0.65,1,6091,72,2107,2.0,1331,1858,3189,2,2,-0.29999999999999993,-0.4841229182759269,0.29999999999999993,-0.5708225124885278,-0.016205609317923964,1.8380767208263975,1.08,0.33,1.41,1.6,0.33,1.08,0.65,0.95,1,-2.9024985958060308,-2.2099053228261796,-1.932083916663526,-1.2310993619815531,-2.498418528545252,-1.8701110151809766,-0.4102307773455109,1.8788213171934236,1.8788213171934236,1,0,1
8,1,9,1,62_cadbury_wispa.png,1.55,47_daim.png,1.7,1,4669,68,2732,2.0,686,1604,2290,3,2,0.1499999999999999,0.24206145913796334,0.1499999999999999,-0.9884975216264744,-0.3153860890334407,0.9429138298663284,3.33,3.83,7.16,3.25,3.83,3.33,1.7,1.55,0,-0.19932934963099727,0.4039611880434867,0.4722871796288583,0.10887273269224258,0.012044244015971631,-0.30635197865560043,0.335643363282691,0.9665203764734049,0.9665203764734049,0,1,1
9,1,10,48,44_walkers_french_fries.png,2.0,53_eat_natural_almond_apricot.png,1.1,1,4001,66,2461,2.0,2102,542,2644,1,2,-0.8999999999999999,-1.4523687548277808,0.8999999999999999,1.0998775240632583,-0.4649763288911991,0.5224013044364223,4.33,4.33,8.66,3.1,4.33,4.33,1.1,2.0,1,0.5058452363277071,0.16633695978260807,-0.9016391611096468,1.113851803697589,0.37068178295328935,0.3886520375779001,-1.1561049179737128,2.969339185868051,2.969339185868051,0,0,1
