,Part,TrialN,PairID,L_Item,L_Value,R_Item,R_Value,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,L_IA_DT,R_IA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,FamLeft,FamRight,Tot_Fam,Tot_Val,FamChosen,FamUnChosen,ValChosen,ValUnChosen,Correct,ZtotFam,ZtotVal,ZValCh,ZValUnCh,ZFamCh,ZFamUnCh,ztGSF,ztDDT,absDDT,ConfSplit,GSFMedSplit,DDTMedSplit,absDDTMedSplit,,higher,lower,,higher,lower,,higher,lower
0,1,1,14,116_boots_caramels.png,0.95,31_beef_jerky.png,2,1,3327,72,2427,2,-688,1874,1186,3,1,1.05,1.694430214,1.05,1.517552533,-0.016205609,0.09811172,1.08,4.83,5.91,2.95,4.83,1.08,2,0.95,0,-0.786974838,-0.071287268,1.15925035,-1.231099362,0.729319322,-1.870111015,0.335643363,-0.97689279,0.97689279,0,1,0,0,,0,-0.97689279,,0,-0.016205609,,0.335643363,0
1,1,2,44,102_propercorn_worcester.png,2.3,26_yorkie.png,1.7,1,3424,68,2443,2,564,1206,1770,3,2,-0.6,-0.968245837,0.6,0.264527506,-0.315386089,0.159174168,4.83,3.58,8.41,4,3.58,4.83,1.7,2.3,1,0.388316139,1.592082329,0.47228718,1.783837851,-0.167274525,0.736154046,0.335643363,0.793961129,0.793961129,0,0,1,1,,0.793961129,0,,0,-0.315386089,,0,0.335643363
2,1,3,51,59_crunchie.png,1.7,5_caramello.png,1.25,1,3691,68,3753,2,1071,1020,2091,1,2,-0.45,-0.726184377,0.45,-0.153147503,-0.315386089,0.327253276,5,2.83,7.83,2.95,2.83,5,1.25,1.7,1,0.115648632,-0.071287268,-0.558157576,0.443865756,-0.705230834,0.854304728,-1.156104918,1.511072101,1.511072101,0,0,1,1,,1.511072101,0,,0,-0.315386089,,0,-1.156104918
3,1,4,12,64_nestle_aero_mint.png,1.55,102_propercorn_worcester.png,2.3,0,8144,68,2981,2,-1493,4153,2660,4,1,0.75,1.210307296,0.75,0.682202515,-0.315386089,3.130460276,5,4.83,9.83,3.85,5,4.83,1.55,2.3,1,1.055881413,1.354458101,0.128805594,1.783837851,0.851256085,0.736154046,1.081517504,-2.115500941,2.115500941,0,1,0,1,,0,-2.115500941,,0,-0.315386089,,1.081517504,0
4,1,5,4,44_walkers_french_fries.png,2,111_propercorn_sweetnsalty.png,2,0,6559,88,2748,2,-2039,4063,2024,4,1,0,1.05E-17,0,-1.406172531,1.18051631,2.132687293,4.33,5,9.33,4,4.33,5,2,2,1,0.820823218,1.592082329,1.15925035,1.113851804,0.370681783,0.854304728,1.081517504,-2.887774296,2.887774296,1,0,0,1,,0,-2.887774296,,1.18051631,0,,0,1.081517504
5,1,6,39,50_nakd_rhubarb_and_custard.png,0.65,39_milkyway.png,1.25,0,5595,86,4134,2,-2305,3511,1206,3,1,0.6,0.968245837,0.6,0.264527506,1.03092607,1.525839876,0,4.08,4.08,1.9,0,4.08,0.65,1.25,1,-1.647287833,-1.734656866,-1.932083917,-0.561113315,-2.735119304,0.214901034,0.335643363,-3.264010032,3.264010032,1,0,1,1,,-3.264010032,0,,1.03092607,0,,0,0.335643363
6,1,7,59,54_milkyway_magic_stars.png,1.55,30_starburst_original.png,1.1,1,2470,78,2759,2,257,1102,1359,1,2,-0.45,-0.726184377,0.45,-0.153147503,0.43256511,-0.441378151,5,4.83,9.83,2.65,4.83,5,1.1,1.55,1,1.055881413,-0.546535725,-0.901639161,0.108872733,0.729319322,0.854304728,-1.156104918,0.359734169,0.359734169,1,1,0,1,,0,0.359734169,,0.43256511,0,,-1.156104918,0
7,1,8,16,116_boots_caramels.png,0.95,104_graze_sriracha.png,0.65,1,6091,72,2107,2,1331,1858,3189,2,2,-0.3,-0.484122918,0.3,-0.570822512,-0.016205609,1.838076721,1.08,0.33,1.41,1.6,0.33,1.08,0.65,0.95,1,-2.902498596,-2.209905323,-1.932083917,-1.231099362,-2.498418529,-1.870111015,-0.410230777,1.878821317,1.878821317,0,0,0,1,,0,1.878821317,,0,-0.016205609,,0,-0.410230777
8,1,9,1,62_cadbury_wispa.png,1.55,47_daim.png,1.7,1,4669,68,2732,2,686,1604,2290,3,2,0.15,0.242061459,0.15,-0.988497522,-0.315386089,0.94291383,3.33,3.83,7.16,3.25,3.83,3.33,1.7,1.55,0,-0.19932935,0.403961188,0.47228718,0.108872733,0.012044244,-0.306351979,0.335643363,0.966520376,0.966520376,0,0,0,1,,0,0.966520376,,0,-0.315386089,,0,0.335643363
9,1,10,48,44_walkers_french_fries.png,2,53_eat_natural_almond_apricot.png,1.1,1,4001,66,2461,2,2102,542,2644,1,2,-0.9,-1.452368755,0.9,1.099877524,-0.464976329,0.522401304,4.33,4.33,8.66,3.1,4.33,4.33,1.1,2,1,0.505845236,0.16633696,-0.901639161,1.113851804,0.370681783,0.388652038,-1.156104918,2.969339186,2.969339186,0,1,1,1,,2.969339186,0,,0,-0.464976329,,-1.156104918,0
10,1,11,37,13_fruit_pastilles.png,1.1,115_shapers_blueberry.png,1.1,0,3301,84,3204,2,-521,1595,1074,2,1,0,1.05E-17,0,-1.406172531,0.88133583,0.081744466,4.33,1.33,5.66,2.2,4.33,1.33,1.1,1.1,1,-0.904503936,-1.25940841,-0.901639161,-0.896106338,0.370681783,-1.696360011,-0.410230777,-0.74068464,0.74068464,1,1,0,1,,0,-0.74068464,,0.88133583,0,,-0.410230777,0
11,1,12,6,36_nature_valley_protein_bars.png,1.4,111_propercorn_sweetnsalty.png,2,0,2867,84,1828,2,-409,1385,976,2,1,0.6,0.968245837,0.6,0.264527506,0.88133583,-0.191462773,3.83,5,8.83,3.4,3.83,5,1.4,2,1,0.585765023,0.641585416,-0.214675991,1.113851804,0.012044244,0.854304728,-0.410230777,-0.582269593,0.582269593,1,0,1,1,,-0.582269593,0,,0.88133583,0,,0,-0.410230777
12,1,13,35,41_jelly_babies_berry_mix.png,1.85,40_nestle_rolo.png,1.1,1,3117,72,3481,2,75,1182,1257,3,2,-0.75,-1.210307296,0.75,0.682202515,-0.016205609,-0.034085331,4.58,4.08,8.66,2.95,4.08,4.58,1.1,1.85,1,0.505845236,-0.071287268,-0.901639161,0.77885878,0.191363013,0.562403042,0.335643363,0.102309718,0.102309718,0,1,0,1,,0,0.102309718,,0,-0.016205609,,0.335643363,0
13,1,14,45,51_smarties.png,1.7,43_mccoys_steak_crisps.png,2,1,10424,28,2052,2,-991,5054,4063,7,2,0.3,0.484122918,0.3,-0.570822512,-3.307190886,4.565742548,5,5,10,3.7,5,5,2,1.7,0,1.1358012,1.116833873,1.15925035,0.443865756,0.851256085,0.854304728,3.319139926,-1.405462069,1.405462069,0,0,0,1,,0,-1.405462069,,0,-3.307190886,,0,3.319139926
14,1,15,58,5_caramello.png,1.25,34_hobnob_flapjack.png,1.55,0,2754,70,1479,2,-379,1313,934,2,1,0.3,0.484122918,0.3,-0.570822512,-0.165795849,-0.262597377,2.83,1.08,3.91,2.8,2.83,1.08,1.25,1.55,1,-1.727207619,-0.308911497,-0.558157576,0.108872733,-0.705230834,-1.870111015,-0.410230777,-0.539836991,0.539836991,0,0,1,1,,-0.539836991,0,,0,-0.165795849,,0,-0.410230777
15,1,16,41,11_lindt_orange.png,2,59_crunchie.png,1.7,1,5836,58,2950,2,76,2458,2534,5,2,-0.3,-0.484122918,0.3,-0.570822512,-1.063337288,1.67755173,4.75,5,9.75,3.7,5,4.75,1.7,2,1,1.018272102,1.116833873,0.47228718,1.113851804,0.851256085,0.680553724,1.827391645,0.103724138,0.103724138,0,0,0,1,,0,0.103724138,,0,-1.063337288,,0,1.827391645
