parcode,trial,microfix1,microfix2,microfix1_drop,microfix2_drop,microfix_1_drop_timeavg,microfix_2_drop_timeavg
1,0,6,2,4,1,343.0,262.0
1,1,4,4,2,2,314.0,429.5
1,2,5,7,4,6,248.0,303.3333333333333
1,3,12,9,8,7,345.875,326.85714285714283
1,4,14,6,10,4,265.5,347.0
1,5,10,2,7,0,395.14285714285717,
1,6,3,4,2,3,243.0,346.6666666666667
1,7,8,10,6,8,262.3333333333333,349.5
1,8,6,5,4,3,265.0,562.6666666666666
1,9,2,5,1,4,190.0,414.75
1,10,9,4,7,3,191.85714285714286,280.6666666666667
1,11,5,3,3,2,341.3333333333333,343.0
1,12,5,5,3,3,268.6666666666667,250.66666666666666
1,13,15,15,11,10,406.90909090909093,273.1
1,14,6,3,4,2,231.0,328.0
1,15,11,10,8,7,252.0,238.42857142857142
1,16,4,8,2,6,291.0,270.0
1,17,4,6,3,5,402.0,329.6
1,18,8,9,5,7,287.6,323.14285714285717
1,19,2,6,1,5,234.0,239.6
1,20,5,2,3,1,197.66666666666666,238.0
1,21,7,5,5,4,265.6,297.5
1,22,6,6,4,4,409.5,255.0
1,23,3,7,2,6,268.0,300.0
1,24,5,4,3,3,230.66666666666666,326.0
1,25,8,4,5,2,182.0,190.0
1,26,3,3,2,2,235.0,387.0
1,27,4,6,2,4,215.0,308.5
1,28,11,8,8,6,319.25,355.3333333333333
1,29,4,4,2,3,234.0,239.33333333333334
1,30,7,2,5,1,276.4,428.0
1,31,14,13,11,11,321.6363636363636,285.09090909090907
1,32,8,8,6,6,343.0,237.66666666666666
1,33,4,4,3,2,195.33333333333334,401.5
1,34,6,4,4,3,207.5,435.3333333333333
1,35,4,6,2,4,283.0,334.75
1,36,5,2,3,0,355.3333333333333,
1,37,4,2,2,1,349.0,338.0
1,38,8,4,6,3,245.83333333333334,337.3333333333333
1,39,4,8,2,6,626.0,309.0
1,40,3,3,1,2,294.0,195.0
1,41,8,2,6,1,309.0,378.0
1,42,3,2,2,1,163.0,376.0
1,43,13,9,10,6,278.4,378.0
1,44,4,2,3,1,232.0,191.0
1,45,2,4,1,3,358.0,285.6666666666667
1,46,6,5,4,4,384.25,420.0
1,47,6,3,4,2,323.0,362.0
1,48,4,4,2,3,125.0,244.0
1,49,6,4,4,2,270.0,233.0
1,50,7,7,4,5,282.75,297.2
1,51,13,6,10,4,294.6,360.5
1,52,10,6,7,4,313.42857142857144,363.0
1,53,7,3,5,2,356.8,294.0
1,54,4,2,2,1,359.0,572.0
1,55,3,4,2,3,241.0,280.3333333333333
1,56,14,8,9,4,256.6666666666667,323.0
1,57,6,6,4,4,305.5,320.0
1,58,10,7,7,5,407.2857142857143,365.2
1,59,15,7,12,5,276.6666666666667,282.8
1,60,5,4,3,3,261.0,276.0
1,61,9,5,6,3,294.6666666666667,261.3333333333333
1,62,3,3,2,2,215.0,378.5
1,63,4,5,2,4,509.5,235.0
1,64,3,5,2,4,234.0,246.25
1,65,4,2,2,1,182.0,368.0
1,66,10,9,7,6,303.14285714285717,337.3333333333333
1,67,7,7,5,6,230.0,364.6666666666667
1,68,4,6,3,5,238.66666666666666,238.6
1,69,5,8,3,6,320.0,359.6666666666667
1,70,2,3,1,2,272.0,273.5
1,71,4,2,2,1,191.0,258.0
1,72,1,2,0,1,,302.0
1,73,6,5,3,2,318.0,189.0
1,74,14,9,10,7,270.8,287.7142857142857
1,75,5,3,3,2,261.6666666666667,436.0
1,76,13,8,10,6,282.1,258.6666666666667
1,77,4,5,3,4,244.66666666666666,391.75
1,78,6,5,3,3,458.0,425.3333333333333
1,79,5,5,3,4,259.3333333333333,312.5
1,80,3,4,2,3,334.0,251.0
1,81,7,1,5,0,250.8,
1,82,4,1,2,0,160.0,
1,83,2,3,1,2,400.0,322.5
1,84,6,1,4,0,232.75,
1,85,7,4,4,2,231.0,218.0
1,86,6,7,4,5,240.0,275.4
1,87,4,4,2,2,160.0,271.0
1,88,3,2,2,1,352.0,539.0
1,89,3,3,2,2,178.0,176.5
1,90,6,6,3,3,320.6666666666667,298.6666666666667
1,91,4,2,2,1,166.0,218.0
1,92,5,2,3,1,187.66666666666666,588.0
1,93,5,5,3,3,266.6666666666667,279.3333333333333
1,94,5,3,3,2,168.33333333333334,354.0
1,95,8,3,5,1,255.6,262.0
1,96,12,9,8,5,295.75,314.8
1,97,5,3,3,2,394.3333333333333,225.0
1,98,2,3,1,2,162.0,262.5
1,99,2,4,1,3,168.0,457.0
1,100,11,5,9,3,358.0,356.6666666666667
1,101,4,4,2,3,246.0,190.66666666666666
1,102,2,2,1,1,182.0,428.0
1,103,5,4,3,2,231.33333333333334,275.0
1,104,5,3,3,2,330.3333333333333,218.0
1,105,6,3,4,2,211.75,208.0
1,106,5,5,3,3,245.33333333333334,354.0
1,107,12,8,8,5,283.625,322.4
1,108,5,6,3,4,310.0,325.25
1,109,5,2,3,1,340.6666666666667,260.0
1,110,5,4,3,2,256.6666666666667,315.0
1,111,3,2,1,1,228.0,248.0
1,112,8,3,5,1,226.4,296.0
1,113,8,6,4,3,388.5,413.3333333333333
1,114,7,5,5,3,393.6,219.0
1,115,6,5,4,3,404.5,372.6666666666667
1,116,12,8,9,5,308.1111111111111,276.8
1,117,4,3,2,2,177.0,241.0
1,118,9,4,5,2,249.6,240.0
1,119,5,2,3,1,389.6666666666667,356.0
1,120,4,4,2,2,228.0,352.5
1,121,3,3,1,1,240.0,428.0
1,122,2,4,1,3,106.0,201.0
1,123,4,3,2,2,231.0,193.0
1,124,2,0,1,0,84.0,
1,125,9,7,6,4,237.0,414.5
1,126,5,4,3,2,259.3333333333333,392.0
1,127,3,2,1,1,250.0,428.0
1,128,4,2,2,1,206.0,150.0
1,129,3,2,1,1,126.0,248.0
1,130,2,3,1,1,214.0,246.0
1,131,4,3,2,2,214.5,330.0
1,132,6,8,3,4,362.0,365.0
1,133,6,3,4,1,255.0,260.0
1,134,5,5,3,3,248.0,295.3333333333333
1,135,3,2,1,1,204.0,208.0
1,136,3,2,1,1,342.0,472.0
1,137,2,2,1,1,274.0,168.0
1,138,4,2,2,1,183.5,326.0
1,139,6,6,4,4,271.0,229.25
1,140,2,2,1,1,222.0,90.0
1,141,6,4,4,2,379.0,151.5
1,142,2,3,1,2,110.0,315.0
1,143,6,5,4,3,299.0,461.3333333333333
1,144,3,3,2,1,357.0,74.0
1,145,3,2,2,1,234.0,381.0
1,146,9,5,6,3,416.6666666666667,249.33333333333334
1,147,3,3,2,2,260.0,346.5
1,148,10,5,7,3,343.14285714285717,244.0
1,149,6,4,4,2,297.5,423.0
1,150,5,4,3,2,264.6666666666667,353.0
1,151,3,3,1,1,312.0,190.0
1,152,2,3,1,2,238.0,229.5
1,153,3,2,2,1,386.0,378.0
1,154,4,3,2,1,354.0,324.0
1,155,5,5,3,2,243.33333333333334,257.0
1,156,3,2,1,1,394.0,284.0
1,157,4,2,2,1,254.0,372.0
1,158,3,3,2,2,390.5,411.0
1,159,4,3,2,1,286.0,422.0
1,160,3,1,1,0,370.0,
1,161,2,3,1,2,238.0,242.0
1,162,4,2,2,1,219.0,334.0
1,163,2,5,0,3,,191.33333333333334
1,164,7,7,4,5,275.0,248.0
1,165,3,6,1,4,460.0,263.5
1,166,4,1,2,0,206.0,
1,167,4,3,2,1,212.0,330.0
1,168,2,2,1,1,180.0,364.0
1,169,3,3,1,2,292.0,378.0
1,170,3,4,1,2,122.0,239.5
1,171,2,2,1,1,306.0,245.0
1,172,2,2,1,1,222.0,405.0
1,173,4,4,2,2,300.0,296.5
1,174,4,4,1,2,318.0,414.0
1,175,3,2,1,1,404.0,662.0
1,176,4,2,2,1,211.5,496.0
1,177,3,2,1,1,254.0,242.0
1,178,3,1,2,0,228.0,
1,179,5,2,3,0,250.33333333333334,
1,180,3,4,1,2,212.0,382.0
1,181,4,4,2,3,307.0,204.66666666666666
1,182,4,5,2,3,204.0,292.0
1,183,4,6,2,3,321.0,309.6666666666667
1,184,6,6,4,4,216.5,318.0
1,185,6,7,3,4,167.66666666666666,284.0
1,186,3,4,2,3,283.0,338.0
1,187,4,3,2,2,145.0,271.0
1,188,2,3,1,2,178.0,300.0
1,189,2,2,1,1,232.0,325.0
1,190,6,6,3,4,360.6666666666667,335.0
1,191,4,3,2,1,318.0,92.0
1,192,5,5,3,2,267.3333333333333,273.5
1,193,4,4,2,2,393.0,157.5
1,194,5,6,3,4,553.3333333333334,380.5
1,195,8,10,4,6,371.0,220.0
1,196,7,8,4,5,327.0,305.0
1,197,3,3,1,2,284.0,194.0
1,198,6,5,3,2,284.0,224.5
1,199,5,4,3,2,220.0,273.5
1,200,4,4,2,2,185.5,263.0
1,201,3,3,1,1,322.0,302.0
1,202,2,2,1,1,66.0,406.0
1,203,4,2,2,0,164.0,
1,204,4,3,2,1,177.0,232.0
1,205,4,2,2,1,408.0,260.0
1,206,3,2,1,0,216.0,
1,207,5,1,3,0,192.0,
1,208,3,3,1,1,410.0,438.0
1,209,4,2,2,1,272.5,228.0
1,210,6,5,3,3,391.3333333333333,309.3333333333333
1,211,3,4,2,3,215.0,314.3333333333333
1,212,5,5,3,3,161.33333333333334,198.66666666666666
1,213,4,3,2,2,159.5,311.0
1,214,2,3,1,2,286.0,326.5
1,215,4,2,2,0,333.0,
1,216,8,6,5,3,280.8,369.6666666666667
1,217,4,2,2,1,226.0,568.0
1,218,4,3,2,2,296.0,200.0
1,219,5,2,3,1,137.33333333333334,310.0
1,220,9,6,5,3,211.6,277.3333333333333
1,221,2,3,1,1,390.0,281.0
1,222,2,3,1,2,190.0,307.5
1,223,2,1,1,0,186.0,
1,224,10,4,7,2,249.71428571428572,276.0
1,225,2,2,1,1,328.0,624.0
1,226,2,3,1,1,142.0,378.0
1,227,2,2,0,1,,306.0
1,228,3,2,1,1,186.0,172.0
1,229,1,3,0,1,,238.0
1,230,2,2,1,1,174.0,384.0
1,231,5,5,2,3,226.0,426.6666666666667
1,232,2,3,1,1,260.0,429.0
1,233,6,4,4,2,213.5,265.5
1,234,4,1,2,0,252.5,
1,235,3,2,2,1,326.0,232.0
1,236,3,1,1,0,172.0,
1,237,3,4,2,2,192.0,190.5
1,238,3,2,2,1,272.0,328.0
1,239,6,3,4,2,329.5,381.0
2,0,5,9,4,4,391.25,247.5
2,1,4,13,3,10,421.3333333333333,342.3
2,2,6,10,5,8,356.8,246.25
2,3,6,9,3,6,284.6666666666667,272.6666666666667
2,4,7,5,6,4,275.3333333333333,365.25
2,5,5,11,4,9,285.0,317.3333333333333
2,6,5,5,4,4,300.0,459.0
2,7,7,7,5,6,245.4,359.3333333333333
2,8,6,7,5,6,308.6,367.3333333333333
2,9,4,8,3,7,258.6666666666667,408.2857142857143
2,10,5,4,4,3,306.75,312.0
2,11,4,11,3,10,277.6666666666667,263.8
2,12,7,5,6,4,364.1666666666667,312.5
2,13,8,6,7,5,377.85714285714283,264.8
2,14,4,6,3,4,437.3333333333333,263.5
2,15,9,6,8,4,364.0,284.0
2,16,6,10,5,9,301.6,339.3333333333333
2,17,11,8,10,6,306.6,283.6666666666667
2,18,6,9,5,7,366.8,520.0
2,19,3,5,2,3,206.0,382.6666666666667
2,20,8,5,7,4,294.85714285714283,226.5
2,21,7,9,6,8,344.1666666666667,368.5
2,22,6,12,5,10,334.8,393.9
2,23,9,3,8,2,311.0,400.5
2,24,3,7,2,5,212.0,436.4
2,25,4,5,3,4,336.0,370.75
2,26,11,9,10,8,210.4,351.25
2,27,10,9,9,8,315.3333333333333,368.75
2,28,3,8,2,6,295.0,329.1666666666667
2,29,6,9,5,8,338.2,270.25
2,30,3,6,2,5,389.5,464.4
2,31,9,4,8,3,241.125,208.66666666666666
2,32,4,5,3,3,290.6666666666667,264.6666666666667
2,33,3,11,2,10,221.5,274.4
2,34,5,10,4,9,259.25,287.77777777777777
2,35,5,7,4,6,203.5,278.3333333333333
2,36,4,7,3,5,360.6666666666667,300.6
2,37,9,8,7,6,254.85714285714286,280.3333333333333
2,38,7,3,6,2,284.8333333333333,308.0
2,39,4,4,3,3,213.66666666666666,239.33333333333334
2,40,4,6,3,5,244.0,145.6
2,41,6,4,5,2,277.2,326.0
2,42,8,5,7,4,145.71428571428572,256.5
2,43,5,6,4,5,327.25,160.4
2,44,10,7,9,6,204.0,230.66666666666666
2,45,9,3,8,2,334.25,215.0
2,46,5,4,4,3,331.5,130.0
2,47,2,4,1,3,230.0,218.0
2,48,6,6,5,4,204.8,290.0
2,49,3,7,2,6,113.0,180.33333333333334
2,50,4,6,3,5,225.66666666666666,198.8
2,51,5,6,4,5,305.75,226.8
2,52,5,3,4,2,179.0,244.0
2,53,7,3,6,2,256.3333333333333,643.0
2,54,3,10,2,8,234.0,314.5
2,55,4,7,3,6,227.0,215.0
2,56,6,7,5,6,268.8,211.0
2,57,3,5,2,4,297.0,227.0
2,58,6,1,5,0,302.0,
2,59,4,4,3,3,360.3333333333333,217.33333333333334
2,60,4,8,3,7,213.66666666666666,207.71428571428572
2,61,4,4,3,3,198.0,194.0
2,62,7,6,6,5,254.5,194.8
2,63,5,4,4,3,437.25,254.66666666666666
2,64,2,6,1,4,474.0,255.0
2,65,4,5,3,4,443.3333333333333,170.5
2,66,6,3,5,2,305.8,374.0
2,67,11,8,9,6,220.33333333333334,204.66666666666666
2,68,5,6,4,5,99.25,189.2
2,69,4,6,3,5,203.33333333333334,201.6
2,70,6,5,5,4,262.0,217.0
2,71,3,3,2,2,314.5,281.0
2,72,6,5,5,4,286.2,136.5
2,73,8,3,7,2,270.0,304.0
2,74,3,4,2,2,308.0,175.0
2,75,3,5,2,3,167.0,205.33333333333334
2,76,3,4,2,3,138.0,317.3333333333333
2,77,4,4,3,3,403.0,195.33333333333334
2,78,4,4,3,3,211.33333333333334,282.6666666666667
2,79,3,3,2,2,432.0,134.0
2,80,4,3,2,0,322.0,
2,81,2,3,1,2,736.0,405.0
2,82,4,3,3,2,404.3333333333333,230.0
2,83,3,3,2,2,293.0,247.0
2,84,4,3,3,2,354.3333333333333,230.0
2,85,2,3,1,2,263.0,270.0
2,86,3,4,2,2,288.0,270.0
2,87,2,5,1,3,594.0,214.66666666666666
2,88,3,3,2,2,199.0,358.0
2,89,2,4,1,3,502.0,175.33333333333334
2,90,3,3,2,2,192.0,253.0
2,91,2,3,1,2,257.0,238.0
2,92,2,3,1,2,614.0,254.0
2,93,3,4,2,2,433.0,232.0
2,94,2,3,1,2,307.0,305.0
2,95,2,3,1,2,312.0,230.0
2,96,3,2,2,1,178.0,140.0
2,97,2,2,1,1,449.0,206.0
2,98,4,3,3,2,227.66666666666666,247.0
2,99,2,3,1,2,318.0,313.0
2,100,4,3,3,2,384.0,228.0
2,101,4,4,3,2,288.6666666666667,260.0
2,102,2,3,1,2,237.0,294.0
2,103,4,3,3,2,246.33333333333334,286.0
2,104,3,2,2,1,410.0,490.0
2,105,5,2,4,1,325.0,254.0
2,106,2,3,1,2,349.0,240.0
2,107,2,2,1,1,235.0,434.0
2,108,3,2,2,1,193.0,196.0
2,109,2,3,1,2,80.0,233.0
2,110,3,4,2,2,436.0,246.0
2,111,3,3,2,2,95.5,239.0
2,112,4,2,3,1,193.33333333333334,322.0
2,113,2,3,1,2,196.0,223.0
2,114,3,2,2,1,414.5,332.0
2,115,4,4,3,2,258.0,315.0
2,116,2,4,1,2,292.0,207.0
2,117,4,3,3,2,297.0,152.0
2,118,3,2,2,1,390.5,352.0
2,119,2,2,1,1,329.0,360.0
2,120,3,3,2,2,198.0,436.0
2,121,4,2,3,1,241.33333333333334,172.0
2,122,3,2,2,1,183.5,192.0
2,123,3,3,2,1,415.0,378.0
2,124,2,2,1,1,242.0,374.0
2,125,3,2,2,1,140.0,354.0
2,126,4,2,3,1,256.3333333333333,384.0
2,127,3,2,2,1,204.5,334.0
2,128,3,2,2,1,205.0,250.0
2,129,3,2,2,1,136.0,344.0
2,130,2,2,1,1,279.0,292.0
2,131,3,3,2,2,285.5,225.0
2,132,2,2,1,1,189.0,428.0
2,133,3,2,2,1,291.5,366.0
2,134,2,2,1,1,250.0,296.0
2,135,2,2,1,1,174.0,268.0
2,136,2,2,1,1,276.0,306.0
2,137,2,3,1,2,231.0,176.0
2,138,2,2,1,1,190.0,222.0
2,139,2,2,1,1,303.0,266.0
2,140,3,2,2,1,227.5,278.0
2,141,3,2,2,1,543.0,290.0
2,142,2,2,1,1,316.0,380.0
2,143,2,2,1,1,142.0,290.0
2,144,5,2,4,1,290.25,292.0
2,145,2,2,1,1,182.0,296.0
2,146,2,3,1,2,162.0,143.0
2,147,2,2,1,1,368.0,244.0
2,148,5,2,4,1,271.0,272.0
2,149,3,2,2,1,149.0,256.0
2,150,2,2,1,1,259.0,300.0
2,151,3,2,2,1,122.5,374.0
2,152,2,3,1,2,356.0,167.0
2,153,4,2,3,1,243.66666666666666,280.0
2,154,2,3,1,1,520.0,344.0
2,155,3,2,2,1,226.5,258.0
2,156,2,2,1,1,387.0,336.0
2,157,3,2,2,1,153.0,260.0
2,158,2,2,1,1,311.0,256.0
2,159,1,2,0,1,,240.0
2,160,3,2,2,1,253.0,429.0
2,161,3,2,2,1,357.0,282.0
2,162,4,3,3,2,269.3333333333333,291.5
2,163,3,3,2,2,250.0,180.0
2,164,2,3,1,2,256.0,158.5
2,165,4,2,2,1,313.5,334.0
2,166,2,2,1,1,235.0,418.0
2,167,2,2,1,1,269.0,370.0
2,168,2,2,1,1,264.0,244.0
2,169,2,1,1,0,406.0,
2,170,4,2,2,0,316.0,
2,171,2,2,1,1,258.0,283.0
2,172,2,3,1,2,458.0,210.5
2,173,3,1,2,0,201.0,
2,174,2,2,1,1,266.0,163.0
2,175,1,1,0,0,,
2,176,2,3,1,2,394.0,200.0
2,177,2,2,1,1,137.0,250.0
2,178,3,3,2,2,257.5,177.0
2,179,2,2,0,1,,306.0
2,180,3,1,2,0,207.0,
2,181,2,1,1,0,277.0,
2,182,4,2,3,0,330.6666666666667,
2,183,3,0,2,0,354.0,
2,184,4,2,2,1,143.5,232.0
2,185,2,3,1,2,241.0,184.0
2,186,2,2,1,1,312.0,234.0
2,187,2,2,1,1,123.0,300.0
2,188,2,2,1,1,322.0,268.0
2,189,2,2,1,1,108.0,254.0
2,190,2,1,1,0,234.0,
2,191,1,2,0,1,,236.0
2,192,3,2,2,1,272.0,200.0
2,193,3,2,2,1,177.0,236.0
2,194,2,1,1,0,222.0,
2,195,2,2,1,1,256.0,220.0
2,196,3,2,2,1,110.0,232.0
2,197,2,2,1,1,119.0,224.0
2,198,2,2,1,1,220.0,338.0
2,199,1,2,0,1,,224.0
2,200,3,3,2,2,195.0,223.0
2,201,3,3,2,1,325.0,176.0
2,202,2,1,1,0,208.0,
2,203,3,3,2,2,332.0,196.0
2,204,3,1,2,0,146.0,
2,205,3,1,2,0,161.0,
2,206,2,2,1,1,190.0,188.0
2,207,3,1,2,0,99.0,
2,208,3,3,2,1,249.0,272.0
2,209,2,3,1,2,194.0,181.5
2,210,2,1,1,0,125.0,
2,211,3,2,1,0,376.0,
2,212,2,2,1,1,224.0,252.0
2,213,1,2,0,1,,274.0
2,214,2,2,1,1,164.0,248.0
2,215,2,2,1,1,451.0,222.0
2,216,2,2,1,1,447.0,220.0
2,217,1,2,0,1,,98.0
2,218,3,1,2,0,371.0,
2,219,2,2,1,1,173.0,226.0
2,220,2,2,1,1,448.0,246.0
2,221,2,2,1,1,303.0,236.0
2,222,3,2,2,1,239.0,284.0
2,223,2,2,1,1,45.0,306.0
2,224,2,2,1,1,170.0,248.0
2,225,2,3,1,1,200.0,254.0
