parcode,trial,rt,choice,item_left,item_right
1,40,2009,-1,1.1,0.95
1,41,3371,-1,2.0,1.7
1,42,1700,1,1.1,2.3
1,43,7466,1,1.25,1.4
1,44,1889,1,2.0,2.3
1,45,2227,1,1.7,1.85
1,46,4259,-1,1.85,0.65
1,47,3505,-1,1.55,0.8
1,48,2548,-1,1.55,1.1
1,49,3226,1,1.1,2.0
1,50,4604,-1,1.85,1.1
1,51,6333,-1,0.95,2.0
1,52,5716,-1,0.95,0.8
1,53,3562,-1,2.0,1.1
1,54,2447,-1,1.85,1.1
1,55,2120,1,1.25,1.85
1,56,6932,1,2.0,2.0
1,57,4274,1,1.25,1.7
1,58,6854,-1,1.7,1.4
1,59,6698,-1,1.1,1.1
1,60,2913,-1,1.1,0.95
1,61,4513,-1,1.7,1.55
1,62,2110,1,1.85,2.0
1,63,3385,-1,1.7,1.4
1,64,2456,1,1.4,2.0
1,65,2136,-1,1.85,1.7
1,66,7010,1,1.1,1.55
1,67,4784,-1,0.95,0.65
1,68,2697,1,1.1,1.55
1,69,4654,1,1.25,1.55
1,70,1916,1,1.55,2.3
1,71,2033,-1,1.7,1.25
1,72,1441,1,0.95,1.85
1,73,3579,1,0.65,1.25
1,74,7377,1,1.7,2.0
1,75,2921,-1,2.3,1.7
1,76,6398,-1,1.55,2.3
1,77,2919,1,0.65,1.7
1,78,4737,-1,1.55,1.7
1,79,3459,-1,1.7,1.1
1,120,3454,1,1.85,1.85
1,121,2478,1,1.7,1.55
1,122,1728,1,1.1,1.85
1,123,2014,-1,1.85,1.7
1,124,519,1,0.95,1.1
1,125,5492,1,1.1,1.25
1,126,3216,1,1.1,1.7
1,127,2185,-1,1.4,1.1
1,128,1467,-1,2.3,2.0
1,129,1707,-1,1.7,0.65
1,130,1472,1,1.1,1.55
1,131,2425,-1,2.0,1.1
1,132,5621,1,2.3,1.55
1,133,3216,1,0.95,1.55
1,134,3167,1,0.95,2.3
1,135,1939,-1,1.1,0.35
1,136,2066,-1,1.55,1.4
1,137,1561,1,1.25,2.0
1,138,2037,-1,1.85,1.55
1,139,3620,1,1.85,2.0
1,140,1235,1,0.35,1.85
1,141,3726,1,1.4,1.7
1,142,1764,1,1.25,1.1
1,143,4016,-1,2.0,1.4
1,144,2365,1,1.1,2.0
1,145,1583,1,1.55,1.55
1,146,5406,-1,1.55,1.25
1,147,2418,1,1.25,2.0
1,148,5198,-1,1.4,1.25
1,149,4101,1,1.1,1.85
1,150,3167,1,1.55,2.0
1,151,1675,-1,1.85,0.95
1,152,1655,1,1.7,2.0
1,153,1870,-1,1.55,1.1
1,154,2637,-1,1.55,1.1
1,155,3613,1,2.0,2.0
1,156,1854,-1,2.3,1.55
1,157,1999,-1,2.0,1.55
1,158,1979,-1,2.0,1.1
1,159,1987,-1,2.3,1.1
1,200,2166,-1,1.85,1.1
1,201,2263,-1,2.0,1.55
1,202,1491,1,0.8,1.55
1,203,1697,-1,1.1,1.25
1,204,2250,1,1.55,1.7
1,205,2017,-1,1.7,1.25
1,206,2098,1,1.7,1.85
1,207,1744,-1,2.0,1.25
1,208,2002,-1,1.85,1.85
1,209,2099,-1,2.0,1.1
1,210,4340,-1,1.4,1.7
1,211,2085,1,1.55,1.85
1,212,2755,1,1.55,2.0
1,213,2265,-1,2.0,1.85
1,214,1866,1,1.25,1.7
1,215,2166,-1,1.85,0.35
1,216,4828,1,1.25,1.1
1,217,2376,-1,2.0,0.95
1,218,2106,-1,2.0,1.85
1,219,2328,-1,1.85,1.25
1,220,4574,-1,2.0,1.7
1,221,1708,1,1.1,1.4
1,222,1739,1,1.1,1.85
1,223,1466,1,0.35,1.1
1,224,4432,-1,1.7,2.3
1,225,1759,1,1.1,2.0
1,226,1533,1,1.1,2.0
1,227,1556,-1,1.25,0.65
1,228,1545,-1,1.55,1.55
1,229,1291,1,1.7,2.0
1,230,1544,1,1.4,1.55
1,231,4190,1,0.65,0.95
1,232,1712,1,0.65,1.85
1,233,2958,1,1.55,0.95
1,234,1618,-1,2.3,0.95
1,235,1474,-1,2.0,1.7
1,236,1715,-1,2.0,1.25
1,237,1819,1,1.1,1.1
1,238,1454,1,0.95,1.1
1,239,3480,-1,0.8,0.95
2,40,3113,1,0.5,0.8
2,41,4273,1,0.05,0.5
2,42,2400,-1,0.5,0.2
2,43,2710,1,0.35,0.5
2,44,3446,-1,0.5,0.2
2,45,3993,-1,0.65,0.5
2,46,2389,-1,0.65,0.05
2,47,1404,-1,0.2,0.0
2,48,3249,1,0.05,0.2
2,49,1822,-1,0.35,0.0
2,50,1994,-1,0.2,0.0
2,51,2700,-1,0.65,0.2
2,52,1886,-1,0.5,0.0
2,53,3326,1,0.65,0.65
2,54,3299,1,0.2,0.8
2,55,2521,1,0.0,0.65
2,56,2952,-1,0.05,0.5
2,57,2415,-1,0.35,0.2
2,58,3498,1,0.2,0.2
2,59,2270,1,0.0,0.2
2,60,2513,1,0.35,0.5
2,61,2738,1,0.65,0.35
2,62,3314,-1,0.35,0.5
2,63,3086,1,0.05,0.2
2,64,2393,1,0.5,0.5
2,65,2560,1,0.05,0.2
2,66,3130,-1,0.65,0.35
2,67,4404,-1,0.65,0.5
2,68,1777,-1,0.65,0.2
2,69,2386,-1,0.5,0.35
2,70,2762,-1,0.5,0.35
2,71,1868,-1,0.65,0.2
2,72,2631,-1,0.65,0.65
2,73,3073,-1,0.65,0.5
2,74,2059,1,0.0,0.35
2,75,1611,1,0.2,0.65
2,76,1721,-1,0.5,0.0
2,77,2535,1,0.2,0.0
2,78,2177,1,0.65,0.5
2,79,2577,1,0.0,0.65
2,120,2362,1,0.2,0.65
2,121,1504,1,0.0,0.2
2,122,1769,-1,0.5,0.05
2,123,1998,1,0.35,0.05
2,124,1194,1,0.35,0.5
2,125,1135,1,0.05,0.65
2,126,1716,-1,0.65,0.5
2,127,1320,-1,0.5,0.65
2,128,1241,1,0.2,0.5
2,129,1278,1,0.8,0.5
2,130,1160,-1,0.35,0.2
2,131,1596,-1,0.2,0.35
2,132,1158,-1,0.65,0.2
2,133,1504,1,0.5,0.5
2,134,1069,1,0.0,0.5
2,135,1009,1,0.2,0.65
2,136,1124,1,0.65,0.65
2,137,1174,-1,0.5,0.2
2,138,1020,-1,0.65,0.0
2,139,1150,1,0.0,0.35
2,140,1254,-1,0.65,0.5
2,141,1898,-1,0.5,0.0
2,142,1184,1,0.2,0.35
2,143,1012,-1,0.8,0.0
2,144,2056,-1,0.35,0.65
2,145,1025,-1,0.2,0.0
2,146,1123,1,0.35,0.5
2,147,1224,1,0.0,0.2
2,148,1927,-1,0.5,0.2
2,149,1103,-1,0.8,0.5
2,150,1177,1,0.0,0.5
2,151,1173,1,0.5,0.65
2,152,1127,1,0.35,0.35
2,153,1540,1,0.2,0.05
2,154,1574,1,0.35,0.5
2,155,1212,-1,0.2,0.05
2,156,1247,1,0.2,0.35
2,157,1096,1,0.2,0.65
2,158,1163,-1,0.65,0.2
2,159,1068,-1,0.35,0.0
2,200,1829,1,0.5,0.8
2,201,1958,1,0.05,0.5
2,202,1335,-1,0.5,0.2
2,203,1560,-1,0.35,0.5
2,204,1322,-1,0.5,0.2
2,205,1545,-1,0.65,0.5
2,206,1385,-1,0.65,0.05
2,207,2884,-1,0.2,0.0
2,208,1358,1,0.05,0.2
2,209,1663,-1,0.35,0.0
2,210,1382,-1,0.2,0.0
2,211,3400,-1,0.65,0.2
2,212,1058,-1,0.5,0.0
