parcode,trial,rt,choice,item_left,item_right
1,0,3327,1,0.0,5.0
1,1,3424,1,5.0,4.0
1,2,3691,1,4.0,1.0
1,3,8144,-1,3.0,5.0
1,4,6559,-1,5.0,5.0
1,5,5595,-1,0.0,1.0
1,6,2470,1,3.0,0.0
1,7,6091,1,0.0,0.0
1,8,4669,1,3.0,4.0
1,9,4001,1,5.0,0.0
1,10,3301,-1,0.0,0.0
1,11,2867,-1,2.0,5.0
1,12,3117,1,4.0,0.0
1,13,10424,1,4.0,5.0
1,14,2754,-1,1.0,3.0
1,15,5836,1,5.0,4.0
1,16,3931,1,4.0,4.0
1,17,3602,1,3.0,0.0
1,18,5674,-1,4.0,2.0
1,19,2567,1,4.0,0.0
1,20,2097,-1,0.0,3.0
1,21,3641,-1,0.0,0.0
1,22,4550,1,4.0,3.0
1,23,2973,1,4.0,2.0
1,24,2824,-1,1.0,4.0
1,25,3643,-1,5.0,5.0
1,26,2188,1,4.0,0.0
1,27,3321,1,4.0,0.0
1,28,6784,-1,4.0,5.0
1,29,2314,-1,0.0,5.0
1,30,2952,-1,0.0,5.0
1,31,8388,-1,1.0,2.0
1,32,5341,1,1.0,4.0
1,33,2183,1,0.0,0.0
1,34,3207,-1,0.0,4.0
1,35,3224,1,0.0,3.0
1,36,3476,1,4.0,4.0
1,37,2295,-1,0.0,4.0
1,38,3513,-1,3.0,5.0
1,39,4458,1,0.0,0.0
1,80,2348,1,3.0,0.0
1,81,2809,-1,2.0,4.0
1,82,1992,-1,0.0,4.0
1,83,1534,1,4.0,0.0
1,84,3023,-1,0.0,5.0
1,85,3452,-1,5.0,5.0
1,86,3961,1,5.0,3.0
1,87,2636,1,5.0,0.0
1,88,1898,1,5.0,0.0
1,89,1725,1,5.0,0.0
1,90,4336,1,5.0,5.0
1,91,2037,-1,0.0,0.0
1,92,2479,-1,0.0,4.0
1,93,3389,1,5.0,3.0
1,94,2339,-1,4.0,5.0
1,95,3609,-1,4.0,4.0
1,96,7371,1,5.0,3.0
1,97,2520,-1,3.0,5.0
1,98,1761,1,5.0,2.0
1,99,2593,1,4.0,4.0
1,100,5772,1,3.0,0.0
1,101,1945,-1,0.0,4.0
1,102,1621,1,0.0,0.0
1,103,2952,1,3.0,2.0
1,104,2725,-1,1.0,5.0
1,105,2591,-1,0.0,3.0
1,106,3523,1,2.0,0.0
1,107,7082,-1,1.0,0.0
1,108,4066,1,3.0,1.0
1,109,2602,-1,1.0,5.0
1,110,3239,1,2.0,1.0
1,111,1943,-1,3.0,3.0
1,112,3627,-1,4.0,5.0
1,113,6245,-1,4.0,3.0
1,114,4574,1,4.0,3.0
1,115,4327,1,4.0,0.0
1,116,6247,-1,0.0,5.0
1,117,2353,-1,0.0,1.0
1,118,4758,-1,0.0,3.0
1,119,2715,-1,0.0,4.0
1,160,1573,-1,0.0,0.0
1,161,1712,1,4.0,4.0
1,162,2040,-1,3.0,4.0
1,163,2372,1,5.0,4.0
1,164,4185,-1,5.0,4.0
1,165,3429,1,0.0,1.0
1,166,2044,-1,2.0,3.0
1,167,2542,1,5.0,0.0
1,168,1576,1,5.0,1.0
1,169,2497,-1,0.0,0.0
1,170,2511,1,4.0,0.0
1,171,1564,1,3.0,3.0
1,172,1616,1,3.0,0.0
1,173,2987,1,5.0,4.0
1,174,3625,-1,4.0,5.0
1,175,2226,-1,0.0,5.0
1,176,2179,-1,0.0,3.0
1,177,1847,-1,0.0,4.0
1,178,1569,1,1.0,0.0
1,179,2371,-1,0.0,5.0
1,180,2482,-1,0.0,4.0
1,181,2747,-1,0.0,0.0
1,182,2918,1,5.0,3.0
1,183,3706,1,5.0,4.0
1,184,3625,1,5.0,0.0
1,185,3938,-1,0.0,0.0
1,186,2329,-1,0.0,0.0
1,187,2028,-1,1.0,4.0
1,188,1665,1,4.0,0.0
1,189,1580,1,5.0,0.0
1,190,4189,-1,4.0,5.0
1,191,2626,-1,4.0,4.0
1,192,3783,1,4.0,1.0
1,193,2920,-1,3.0,5.0
1,194,4843,-1,1.0,0.0
1,195,5275,-1,2.0,4.0
1,196,5630,-1,0.0,2.0
1,197,1871,1,5.0,1.0
1,198,4173,1,4.0,1.0
1,199,2828,-1,3.0,4.0
2,0,4960,-1,0.0,5.0
2,1,6438,-1,5.0,5.0
2,2,5125,-1,0.0,5.0
2,3,4268,-1,0.0,5.0
2,4,4726,1,5.0,2.0
2,5,5392,1,5.0,2.0
2,6,3471,1,0.0,0.0
2,7,4299,1,5.0,2.0
2,8,4299,1,5.0,5.0
2,9,4088,-1,5.0,5.0
2,10,3147,-1,0.0,0.0
2,11,3923,-1,0.0,0.0
2,12,3889,-1,2.0,5.0
2,13,4426,-1,0.0,0.0
2,14,3035,1,5.0,0.0
2,15,4915,1,0.0,0.0
2,16,5395,1,5.0,2.0
2,17,5623,1,2.0,5.0
2,18,6208,1,2.0,0.0
2,19,2323,1,0.0,0.0
2,20,3491,-1,2.0,0.0
2,21,5468,1,5.0,0.0
2,22,6446,-1,5.0,5.0
2,23,4541,1,2.0,2.0
2,24,3991,-1,0.0,5.0
2,25,4235,-1,5.0,5.0
2,26,5489,1,5.0,5.0
2,27,6380,-1,5.0,5.0
2,28,3385,1,5.0,0.0
2,29,4479,1,5.0,5.0
2,30,3546,-1,0.0,5.0
2,31,3266,1,5.0,0.0
2,32,2267,1,0.0,0.0
2,33,3808,-1,0.0,2.0
2,34,4033,-1,5.0,2.0
2,35,3093,-1,0.0,5.0
2,36,3486,1,0.0,2.0
2,37,5401,-1,0.0,5.0
2,38,2833,-1,5.0,0.0
2,39,1746,-1,0.0,5.0
2,80,2741,1,5.0,0.0
2,81,2186,-1,0.0,5.0
2,82,2803,-1,0.0,0.0
2,83,1702,-1,0.0,2.0
2,84,2152,-1,0.0,0.0
2,85,1414,1,0.0,5.0
2,86,1979,1,5.0,2.0
2,87,1929,1,5.0,2.0
2,88,1618,-1,0.0,5.0
2,89,1534,-1,0.0,0.0
2,90,1384,-1,2.0,5.0
2,91,1343,1,0.0,0.0
2,92,1683,1,0.0,0.0
2,93,2062,1,5.0,0.0
2,94,1539,1,5.0,5.0
2,95,1601,1,5.0,5.0
2,96,1858,-1,0.0,0.0
2,97,1467,1,5.0,5.0
2,98,1867,-1,5.0,5.0
2,99,1450,-1,0.0,5.0
2,100,2378,-1,5.0,5.0
2,101,2138,1,2.0,5.0
2,102,1414,-1,0.0,0.0
2,103,1971,-1,5.0,2.0
2,104,1983,1,5.0,0.0
2,105,2258,1,5.0,0.0
2,106,1400,1,5.0,0.0
2,107,1192,1,5.0,0.0
2,108,1291,1,5.0,0.0
2,109,1035,1,2.0,0.0
2,110,2068,1,0.0,5.0
2,111,1164,1,5.0,0.0
2,112,1482,-1,5.0,5.0
2,113,1122,1,2.0,0.0
2,114,1763,1,0.0,0.0
2,115,2008,1,5.0,2.0
