parcode,trial,fix_item,fix_time,rt,block
1,0,0,601,3327,2.0
1,0,1,878,3327,2.0
1,0,2,694,3327,2.0
1,0,1,1154,3327,2.0
1,1,3,215,3424,2.0
1,1,1,686,3424,2.0
1,1,2,1488,3424,2.0
1,1,1,632,3424,2.0
1,1,2,403,3424,2.0
1,2,3,339,3691,2.0
1,2,1,1108,3691,2.0
1,2,2,2244,3691,2.0
1,3,3,277,8144,2.0
1,3,1,626,8144,2.0
1,3,2,2328,8144,2.0
1,3,1,948,8144,2.0
1,3,2,782,8144,2.0
1,3,1,1936,8144,2.0
1,3,0,238,8144,2.0
1,3,1,1009,8144,2.0
1,4,3,0,8144,2.0
1,4,1,202,6559,2.0
1,4,0,480,6559,2.0
1,4,1,826,6559,2.0
1,4,2,1582,6559,2.0
1,4,1,2066,6559,2.0
1,4,2,596,6559,2.0
1,4,1,807,6559,2.0
1,5,3,336,5595,2.0
1,5,1,738,5595,2.0
1,5,2,954,5595,2.0
1,5,0,204,5595,2.0
1,5,1,2582,5595,2.0
1,5,2,340,5595,2.0
1,5,1,441,5595,2.0
1,6,3,250,2470,2.0
1,6,1,732,2470,2.0
1,6,2,1488,2470,2.0
1,7,3,281,6091,2.0
1,7,1,818,6091,2.0
1,7,0,226,6091,2.0
1,7,2,2300,6091,2.0
1,7,1,1214,6091,2.0
1,7,2,1252,6091,2.0
1,8,3,273,4669,2.0
1,8,0,176,4669,2.0
1,8,1,576,4669,2.0
1,8,2,1118,4669,2.0
1,8,1,1194,4669,2.0
1,8,2,1332,4669,2.0
1,9,3,506,4001,2.0
1,9,1,594,4001,2.0
1,9,2,2901,4001,2.0
1,10,3,308,3301,2.0
1,10,1,698,3301,2.0
1,10,2,1182,3301,2.0
1,10,1,1113,3301,2.0
1,11,3,277,2867,2.0
1,11,1,820,2867,2.0
1,11,2,1058,2867,2.0
1,11,1,712,2867,2.0
1,12,3,239,3117,2.0
1,12,1,810,3117,2.0
1,12,2,938,3117,2.0
1,12,1,648,3117,2.0
1,12,2,482,3117,2.0
1,13,3,205,10424,2.0
1,13,1,1366,10424,2.0
1,13,2,1388,10424,2.0
1,13,1,876,10424,2.0
1,13,2,818,10424,2.0
1,13,1,1772,10424,2.0
1,13,2,568,10424,2.0
1,13,0,156,10424,2.0
1,13,2,494,10424,2.0
1,13,1,1552,10424,2.0
1,13,2,1229,10424,2.0
1,14,3,260,2754,2.0
1,14,1,972,2754,2.0
1,14,2,1006,2754,2.0
1,14,1,516,2754,2.0
1,15,3,261,5836,2.0
1,15,1,734,5836,2.0
1,15,2,956,5836,2.0
1,15,1,1542,5836,2.0
1,15,2,1354,5836,2.0
1,15,1,468,5836,2.0
1,15,2,521,5836,2.0
1,16,3,373,3931,2.0
1,16,1,892,3931,2.0
1,16,2,1890,3931,2.0
1,16,1,312,3931,2.0
1,16,2,464,3931,2.0
1,17,3,330,3602,2.0
1,17,1,1364,3602,2.0
1,17,2,1908,3602,2.0
1,18,3,268,5674,2.0
1,18,1,702,5674,2.0
1,18,2,1474,5674,2.0
1,18,1,1010,5674,2.0
1,18,2,1712,5674,2.0
1,18,1,508,5674,2.0
1,19,3,371,2567,2.0
1,19,1,570,2567,2.0
1,19,2,1626,2567,2.0
1,20,3,262,2097,2.0
1,20,1,612,2097,2.0
1,20,2,648,2097,2.0
1,20,1,575,2097,2.0
1,21,3,253,3641,2.0
1,21,1,822,3641,2.0
1,21,2,1542,3641,2.0
1,21,1,1024,3641,2.0
1,22,3,248,4550,2.0
1,22,0,146,4550,2.0
1,22,1,806,4550,2.0
1,22,2,1348,4550,2.0
1,22,1,1516,4550,2.0
1,22,2,486,4550,2.0
1,23,3,239,2973,2.0
1,23,1,656,2973,2.0
1,23,2,2078,2973,2.0
1,24,3,278,2824,2.0
1,24,1,826,2824,2.0
1,24,2,1300,2824,2.0
1,24,1,420,2824,2.0
1,25,3,399,3643,2.0
1,25,1,802,3643,2.0
1,25,2,820,3643,2.0
1,25,1,842,3643,2.0
1,25,2,354,3643,2.0
1,25,1,426,3643,2.0
1,26,3,58,2188,2.0
1,26,0,208,2188,2.0
1,26,1,750,2188,2.0
1,26,2,1172,2188,2.0
1,27,3,234,3321,2.0
1,27,1,566,3321,2.0
1,27,2,1680,3321,2.0
1,27,1,362,3321,2.0
1,27,2,479,3321,2.0
1,28,3,278,6784,2.0
1,28,1,780,6784,2.0
1,28,2,1028,6784,2.0
1,28,1,2228,6784,2.0
1,28,2,2028,6784,2.0
1,28,1,442,6784,2.0
1,29,3,271,2314,2.0
1,29,1,676,2314,2.0
1,29,2,1092,2314,2.0
1,29,1,275,2314,2.0
1,30,3,288,2952,2.0
1,30,1,728,2952,2.0
1,30,2,798,2952,2.0
1,30,1,1138,2952,2.0
1,31,3,220,8388,2.0
1,31,1,782,8388,2.0
1,31,2,938,8388,2.0
1,31,1,3064,8388,2.0
1,31,2,2876,8388,2.0
1,31,1,508,8388,2.0
1,32,3,239,5341,2.0
1,32,0,144,5341,2.0
1,32,1,1364,5341,2.0
1,32,2,1090,5341,2.0
1,32,1,1596,5341,2.0
1,32,2,908,5341,2.0
1,33,3,0,5341,2.0
1,33,2,240,2183,2.0
1,33,1,732,2183,2.0
1,33,2,1211,2183,2.0
1,34,3,245,3207,2.0
1,34,1,828,3207,2.0
1,34,2,1672,3207,2.0
1,34,1,462,3207,2.0
1,35,3,213,3224,2.0
1,35,1,680,3224,2.0
1,35,2,1258,3224,2.0
1,35,1,356,3224,2.0
1,35,2,717,3224,2.0
1,36,3,248,3476,2.0
1,36,0,216,3476,2.0
1,36,1,896,3476,2.0
1,36,2,760,3476,2.0
1,36,1,916,3476,2.0
1,36,2,440,3476,2.0
1,37,3,245,2295,2.0
1,37,1,866,2295,2.0
1,37,2,752,2295,2.0
1,37,1,432,2295,2.0
1,38,3,240,3513,2.0
1,38,1,876,3513,2.0
1,38,2,1324,3513,2.0
1,38,1,1073,3513,2.0
1,39,3,258,4458,2.0
1,39,1,670,4458,2.0
1,39,2,642,4458,2.0
1,39,1,1170,4458,2.0
1,39,2,1718,4458,2.0
1,40,3,313,2009,1.0
1,40,1,552,2009,1.0
1,40,2,732,2009,1.0
1,40,1,412,2009,1.0
1,41,3,249,3371,1.0
1,41,1,576,3371,1.0
1,41,2,742,3371,1.0
1,41,1,1804,3371,1.0
1,42,3,290,1700,1.0
1,42,1,630,1700,1.0
1,42,2,780,1700,1.0
1,43,3,264,7466,1.0
1,43,1,630,7466,1.0
1,43,2,1086,7466,1.0
1,43,1,1178,7466,1.0
1,43,2,1058,7466,1.0
1,43,1,2026,7466,1.0
1,43,2,1224,7466,1.0
1,44,3,258,1889,1.0
1,44,1,864,1889,1.0
1,44,2,767,1889,1.0
1,45,3,230,2227,1.0
1,45,0,124,2227,1.0
1,45,1,694,2227,1.0
1,45,2,1179,2227,1.0
1,46,3,230,4259,1.0
1,46,1,682,4259,1.0
1,46,2,2086,4259,1.0
1,46,1,1261,4259,1.0
1,47,3,231,3505,1.0
1,47,1,1598,3505,1.0
1,47,2,1078,3505,1.0
1,47,1,598,3505,1.0
1,48,3,232,2548,1.0
1,48,1,778,2548,1.0
1,48,2,1092,2548,1.0
1,48,1,446,2548,1.0
1,49,3,186,3226,1.0
1,49,1,1140,3226,1.0
1,49,2,784,3226,1.0
1,49,1,628,3226,1.0
1,49,2,488,3226,1.0
1,50,3,247,4604,1.0
1,50,1,582,4604,1.0
1,50,2,1100,4604,1.0
1,50,1,1098,4604,1.0
1,50,2,914,4604,1.0
1,50,1,663,4604,1.0
1,51,3,241,6333,1.0
1,51,1,998,6333,1.0
1,51,2,1592,6333,1.0
1,51,1,2140,6333,1.0
1,51,2,602,6333,1.0
1,51,1,760,6333,1.0
1,52,3,212,5716,1.0
1,52,1,704,5716,1.0
1,52,2,736,5716,1.0
1,52,1,1346,5716,1.0
1,52,2,1550,5716,1.0
1,52,1,1168,5716,1.0
1,53,3,246,3562,1.0
1,53,1,1194,3562,1.0
1,53,2,940,3562,1.0
1,53,1,1182,3562,1.0
1,54,3,215,2447,1.0
1,54,1,866,2447,1.0
1,54,2,924,2447,1.0
1,54,1,442,2447,1.0
1,55,3,227,2120,1.0
1,55,1,674,2120,1.0
1,55,2,1219,2120,1.0
1,56,3,268,6932,1.0
1,56,1,684,6932,1.0
1,56,2,1284,6932,1.0
1,56,1,600,6932,1.0
1,56,2,164,6932,1.0
1,56,1,170,6932,1.0
1,56,2,512,6932,1.0
1,56,1,1628,6932,1.0
1,56,0,182,6932,1.0
1,56,1,712,6932,1.0
1,56,2,728,6932,1.0
1,57,3,180,4274,1.0
1,57,1,632,4274,1.0
1,57,2,1422,4274,1.0
1,57,1,1144,4274,1.0
1,57,2,896,4274,1.0
1,58,3,225,6854,1.0
1,58,1,970,6854,1.0
1,58,2,1070,6854,1.0
1,58,1,1330,6854,1.0
1,58,2,1638,6854,1.0
1,58,1,1621,6854,1.0
1,59,3,228,6698,1.0
1,59,1,732,6698,1.0
1,59,2,1796,6698,1.0
1,59,1,1812,6698,1.0
1,59,2,352,6698,1.0
1,59,1,1778,6698,1.0
1,60,3,250,2913,1.0
1,60,1,752,2913,1.0
1,60,2,1190,2913,1.0
1,60,1,721,2913,1.0
1,61,3,213,4513,1.0
1,61,1,1036,4513,1.0
1,61,2,884,4513,1.0
1,61,1,1328,4513,1.0
1,61,2,602,4513,1.0
1,61,1,450,4513,1.0
1,62,3,299,2110,1.0
1,62,1,676,2110,1.0
1,62,2,1135,2110,1.0
1,63,3,274,3385,1.0
1,63,1,558,3385,1.0
1,63,0,374,3385,1.0
1,63,2,1222,3385,1.0
1,63,1,957,3385,1.0
1,64,3,261,2456,1.0
1,64,1,754,2456,1.0
1,64,2,1441,2456,1.0
1,65,3,239,2136,1.0
1,65,1,656,2136,1.0
1,65,2,846,2136,1.0
1,65,1,395,2136,1.0
1,66,3,238,7010,1.0
1,66,1,634,7010,1.0
1,66,2,874,7010,1.0
1,66,1,852,7010,1.0
1,66,2,1538,7010,1.0
1,66,1,1514,7010,1.0
1,66,0,428,7010,1.0
1,66,2,932,7010,1.0
1,67,3,258,4784,1.0
1,67,1,684,4784,1.0
1,67,2,2624,4784,1.0
1,67,1,1218,4784,1.0
1,68,3,234,2697,1.0
1,68,1,904,2697,1.0
1,68,2,1559,2697,1.0
1,69,3,214,4654,1.0
1,69,1,768,4654,1.0
1,69,2,938,4654,1.0
1,69,1,662,4654,1.0
1,69,2,2072,4654,1.0
1,70,3,261,1916,1.0
1,70,1,674,1916,1.0
1,70,2,981,1916,1.0
1,71,3,283,2033,1.0
1,71,1,698,2033,1.0
1,71,2,662,2033,1.0
1,71,1,390,2033,1.0
1,72,3,237,1441,1.0
1,72,1,556,1441,1.0
1,72,2,648,1441,1.0
1,73,3,225,3579,1.0
1,73,1,734,3579,1.0
1,73,2,642,3579,1.0
1,73,1,364,3579,1.0
1,73,2,162,3579,1.0
1,73,1,914,3579,1.0
1,73,2,538,3579,1.0
1,74,3,229,7377,1.0
1,74,1,1066,7377,1.0
1,74,2,1254,7377,1.0
1,74,1,952,7377,1.0
1,74,2,1488,7377,1.0
1,74,1,1550,7377,1.0
1,74,0,264,7377,1.0
1,74,1,574,7377,1.0
1,75,3,246,2921,1.0
1,75,1,852,2921,1.0
1,75,2,1242,2921,1.0
1,75,1,581,2921,1.0
1,76,3,241,6398,1.0
1,76,1,786,6398,1.0
1,76,2,2014,6398,1.0
1,76,1,2386,6398,1.0
1,76,2,484,6398,1.0
1,76,1,487,6398,1.0
1,77,3,222,2919,1.0
1,77,1,798,2919,1.0
1,77,2,1899,2919,1.0
1,78,3,0,4737,1.0
1,78,0,254,4737,1.0
1,78,1,766,4737,1.0
1,78,2,592,4737,1.0
1,78,1,1164,4737,1.0
1,78,2,1428,4737,1.0
1,78,1,533,4737,1.0
1,79,3,213,3459,1.0
1,79,1,998,3459,1.0
1,79,2,1586,3459,1.0
1,79,1,662,3459,1.0
1,80,3,305,2348,2.0
1,80,1,896,2348,2.0
1,80,2,1147,2348,2.0
1,81,3,261,2809,2.0
1,81,1,1074,2809,2.0
1,81,2,616,2809,2.0
1,81,0,244,2809,2.0
1,81,1,614,2809,2.0
1,82,3,192,1992,2.0
1,82,1,694,1992,2.0
1,82,2,618,1992,2.0
1,82,1,488,1992,2.0
1,83,3,0,1992,2.0
1,83,1,589,1534,2.0
1,83,2,945,1534,2.0
1,84,3,244,3023,2.0
1,84,1,680,3023,2.0
1,84,2,1144,3023,2.0
1,84,1,955,3023,2.0
1,85,3,228,3452,2.0
1,85,1,620,3452,2.0
1,85,2,638,3452,2.0
1,85,1,1006,3452,2.0
1,85,2,526,3452,2.0
1,85,1,434,3452,2.0
1,86,3,236,3961,2.0
1,86,1,912,3961,2.0
1,86,2,1546,3961,2.0
1,86,1,732,3961,2.0
1,86,2,535,3961,2.0
1,87,3,265,2636,2.0
1,87,1,692,2636,2.0
1,87,2,866,2636,2.0
1,87,1,410,2636,2.0
1,87,2,403,2636,2.0
1,88,3,203,1898,2.0
1,88,1,768,1898,2.0
1,88,2,927,1898,2.0
1,89,3,236,1725,2.0
1,89,1,704,1725,2.0
1,89,2,785,1725,2.0
1,90,3,230,4336,2.0
1,90,1,540,4336,2.0
1,90,2,770,4336,2.0
1,90,1,1180,4336,2.0
1,90,2,692,4336,2.0
1,90,1,394,4336,2.0
1,90,2,530,4336,2.0
1,91,3,257,2037,2.0
1,91,1,670,2037,2.0
1,91,2,622,2037,2.0
1,91,1,488,2037,2.0
1,92,3,228,2479,2.0
1,92,1,856,2479,2.0
1,92,2,942,2479,2.0
1,92,1,453,2479,2.0
1,93,3,213,3389,2.0
1,93,1,754,3389,2.0
1,93,2,1202,3389,2.0
1,93,1,694,3389,2.0
1,93,2,526,3389,2.0
1,94,3,238,2339,2.0
1,94,1,690,2339,2.0
1,94,2,980,2339,2.0
1,94,1,431,2339,2.0
1,95,3,247,3609,2.0
1,95,1,704,3609,2.0
1,95,2,638,3609,2.0
1,95,1,950,3609,2.0
1,95,2,372,3609,2.0
1,95,1,698,3609,2.0
1,96,3,303,7371,2.0
1,96,1,534,7371,2.0
1,96,2,700,7371,2.0
1,96,1,798,7371,2.0
1,96,2,718,7371,2.0
1,96,1,1154,7371,2.0
1,96,2,750,7371,2.0
1,96,1,1570,7371,2.0
1,96,2,844,7371,2.0
1,97,3,0,7371,2.0
1,97,1,877,2520,2.0
1,97,2,796,2520,2.0
1,97,1,847,2520,2.0
1,98,3,252,1761,2.0
1,98,1,640,1761,2.0
1,98,2,869,1761,2.0
1,99,3,220,2593,2.0
1,99,1,598,2593,2.0
1,99,2,1775,2593,2.0
1,100,3,248,5772,2.0
1,100,1,578,5772,2.0
1,100,2,1268,5772,2.0
1,100,1,3108,5772,2.0
1,100,2,570,5772,2.0
1,101,3,57,1945,2.0
1,101,1,660,1945,2.0
1,101,2,818,1945,2.0
1,101,1,410,1945,2.0
1,102,3,187,1621,2.0
1,102,1,574,1621,2.0
1,102,2,860,1621,2.0
1,103,3,213,2952,2.0
1,103,1,530,2952,2.0
1,103,2,948,2952,2.0
1,103,1,822,2952,2.0
1,103,2,439,2952,2.0
1,104,3,260,2725,2.0
1,104,1,618,2725,2.0
1,104,2,756,2725,2.0
1,104,1,1091,2725,2.0
1,105,3,242,2591,2.0
1,105,1,710,2591,2.0
1,105,2,792,2591,2.0
1,105,1,847,2591,2.0
1,106,3,232,3523,2.0
1,106,1,640,3523,2.0
1,106,2,1450,3523,2.0
1,106,1,760,3523,2.0
1,106,2,441,3523,2.0
1,107,3,247,7082,2.0
1,107,1,532,7082,2.0
1,107,2,824,7082,2.0
1,107,1,616,7082,2.0
1,107,2,786,7082,2.0
1,107,1,1734,7082,2.0
1,107,2,1560,7082,2.0
1,107,1,783,7082,2.0
1,108,3,241,4066,2.0
1,108,1,1034,4066,2.0
1,108,2,1400,4066,2.0
1,108,0,248,4066,2.0
1,108,1,518,4066,2.0
1,108,2,625,4066,2.0
1,109,3,60,2602,2.0
1,109,0,198,2602,2.0
