parcode,trial,fix_item,fix_time
1,0,0,437
1,0,0,164
1,0,1,302
1,0,1,198
1,0,1,378
1,0,2,432
1,0,2,262
1,0,1,358
1,0,1,358
1,0,1,438
1,1,3,215
1,1,1,338
1,1,1,348
1,1,2,740
1,1,2,748
1,1,1,352
1,1,1,280
1,1,2,292
1,1,2,111
1,2,3,339
1,2,1,116
1,2,1,240
1,2,1,198
1,2,1,328
1,2,1,226
1,2,2,424
1,2,2,182
1,2,2,284
1,2,2,168
1,2,2,610
1,2,2,364
1,2,2,212
1,3,3,277
1,3,1,178
1,3,1,448
1,3,2,406
1,3,2,218
1,3,2,372
1,3,2,508
1,3,2,486
1,3,2,146
1,3,2,192
1,3,1,304
1,3,1,644
1,3,2,416
1,3,2,366
1,3,1,486
1,3,1,262
1,3,1,240
1,3,1,322
1,3,1,202
1,3,1,424
1,3,0,238
1,3,1,784
1,3,1,225
1,4,3,0
1,4,1,202
1,4,0,184
1,4,0,296
1,4,1,332
1,4,1,386
1,4,1,108
1,4,2,456
1,4,2,484
1,4,2,246
1,4,2,396
1,4,1,260
1,4,1,350
1,4,1,600
1,4,1,234
1,4,1,258
1,4,1,262
1,4,1,102
1,4,2,334
1,4,2,262
1,4,1,452
1,4,1,276
1,4,1,79
1,5,3,336
1,5,1,166
1,5,1,308
1,5,1,264
1,5,2,954
1,5,0,204
1,5,1,388
1,5,1,456
1,5,1,378
1,5,1,654
1,5,1,178
1,5,1,528
1,5,2,340
1,5,1,441
1,6,3,250
1,6,1,246
1,6,1,308
1,6,1,178
1,6,2,448
1,6,2,314
1,6,2,382
1,6,2,344
1,7,3,281
1,7,1,192
1,7,1,192
1,7,1,172
1,7,1,262
1,7,0,226
1,7,2,396
1,7,2,172
1,7,2,546
1,7,2,312
1,7,2,194
1,7,2,680
1,7,1,266
1,7,1,302
1,7,1,302
1,7,1,344
1,7,2,360
1,7,2,328
1,7,2,372
1,7,2,192
1,8,3,273
1,8,0,176
1,8,1,326
1,8,1,250
1,8,2,460
1,8,2,434
1,8,2,224
1,8,1,384
1,8,1,324
1,8,1,210
1,8,1,276
1,8,2,302
1,8,2,1030
1,9,3,506
1,9,1,404
1,9,1,190
1,9,2,1242
1,9,2,376
1,9,2,286
1,9,2,710
1,9,2,287
1,10,3,308
1,10,1,144
1,10,1,194
1,10,1,112
1,10,1,248
1,10,2,340
1,10,2,182
1,10,2,242
1,10,2,418
1,10,1,324
1,10,1,236
1,10,1,252
1,10,1,170
1,10,1,131
1,11,3,277
1,11,1,168
1,11,1,194
1,11,1,458
1,11,2,372
1,11,2,254
1,11,2,432
1,11,1,340
1,11,1,372
1,12,3,239
1,12,1,192
1,12,1,202
1,12,1,416
1,12,2,334
1,12,2,234
1,12,2,370
1,12,1,460
1,12,1,188
1,12,2,334
1,12,2,148
1,13,3,205
1,13,1,170
1,13,1,226
1,13,1,200
1,13,1,770
1,13,2,402
1,13,2,264
1,13,2,722
1,13,1,290
1,13,1,402
1,13,1,184
1,13,2,348
1,13,2,286
1,13,2,184
1,13,1,356
1,13,1,662
1,13,1,402
1,13,1,352
1,13,2,328
1,13,2,240
1,13,0,156
1,13,2,324
1,13,2,170
1,13,1,274
1,13,1,354
1,13,1,372
1,13,1,552
1,13,2,364
1,13,2,260
1,13,2,296
1,13,2,234
1,13,2,75
1,14,3,260
1,14,1,214
1,14,1,216
1,14,1,382
1,14,1,160
1,14,2,350
1,14,2,220
1,14,2,436
1,14,1,350
1,14,1,166
1,15,3,261
1,15,1,186
1,15,1,192
1,15,1,356
1,15,2,400
1,15,2,290
1,15,2,266
1,15,1,250
1,15,1,212
1,15,1,288
1,15,1,314
1,15,1,250
1,15,1,228
1,15,2,380
1,15,2,238
1,15,2,234
1,15,2,268
1,15,2,234
1,15,1,292
1,15,1,176
1,15,2,382
1,15,2,139
1,16,3,373
1,16,1,310
1,16,1,230
1,16,1,352
1,16,2,390
1,16,2,258
1,16,2,194
1,16,2,290
1,16,2,570
1,16,2,188
1,16,1,312
1,16,2,344
1,16,2,120
1,17,3,330
1,17,1,158
1,17,1,264
1,17,1,302
1,17,1,640
1,17,2,260
1,17,2,322
1,17,2,256
1,17,2,328
1,17,2,318
1,17,2,424
1,18,3,268
1,18,1,130
1,18,1,278
1,18,1,294
1,18,2,394
1,18,2,188
1,18,2,274
1,18,2,278
1,18,2,340
1,18,1,364
1,18,1,448
1,18,1,198
1,18,2,530
1,18,2,204
1,18,2,670
1,18,2,308
