parcode,trial,fix_item,fix_time
1,0,0,601
1,0,1,878
1,0,2,694
1,0,1,1154
1,1,3,215
1,1,1,686
1,1,2,1488
1,1,1,632
1,1,2,403
1,2,3,339
1,2,1,1108
1,2,2,2244
1,3,3,277
1,3,1,626
1,3,2,2328
1,3,1,948
1,3,2,782
1,3,1,1936
1,3,0,238
1,3,1,1009
1,4,3,0
1,4,1,202
1,4,0,480
1,4,1,826
1,4,2,1582
1,4,1,2066
1,4,2,596
1,4,1,807
1,5,3,336
1,5,1,738
1,5,2,954
1,5,0,204
1,5,1,2582
1,5,2,340
1,5,1,441
1,6,3,250
1,6,1,732
1,6,2,1488
1,7,3,281
1,7,1,818
1,7,0,226
1,7,2,2300
1,7,1,1214
1,7,2,1252
1,8,3,273
1,8,0,176
1,8,1,576
1,8,2,1118
1,8,1,1194
1,8,2,1332
1,9,3,506
1,9,1,594
1,9,2,2901
1,10,3,308
1,10,1,698
1,10,2,1182
1,10,1,1113
1,11,3,277
1,11,1,820
1,11,2,1058
1,11,1,712
1,12,3,239
1,12,1,810
1,12,2,938
1,12,1,648
1,12,2,482
1,13,3,205
1,13,1,1366
1,13,2,1388
1,13,1,876
1,13,2,818
1,13,1,1772
1,13,2,568
1,13,0,156
1,13,2,494
1,13,1,1552
1,13,2,1229
1,14,3,260
1,14,1,972
1,14,2,1006
1,14,1,516
1,15,3,261
1,15,1,734
1,15,2,956
1,15,1,1542
1,15,2,1354
1,15,1,468
1,15,2,521
1,16,3,373
1,16,1,892
1,16,2,1890
1,16,1,312
1,16,2,464
1,17,3,330
1,17,1,1364
1,17,2,1908
1,18,3,268
1,18,1,702
1,18,2,1474
1,18,1,1010
1,18,2,1712
1,18,1,508
1,19,3,371
1,19,1,570
1,19,2,1626
1,20,3,262
1,20,1,612
1,20,2,648
1,20,1,575
1,21,3,253
1,21,1,822
1,21,2,1542
1,21,1,1024
1,22,3,248
1,22,0,146
1,22,1,806
1,22,2,1348
1,22,1,1516
1,22,2,486
1,23,3,239
1,23,1,656
1,23,2,2078
1,24,3,278
1,24,1,826
1,24,2,1300
1,24,1,420
1,25,3,399
1,25,1,802
1,25,2,820
1,25,1,842
1,25,2,354
1,25,1,426
1,26,3,58
1,26,0,208
1,26,1,750
1,26,2,1172
1,27,3,234
1,27,1,566
1,27,2,1680
1,27,1,362
1,27,2,479
1,28,3,278
1,28,1,780
1,28,2,1028
1,28,1,2228
1,28,2,2028
1,28,1,442
1,29,3,271
1,29,1,676
1,29,2,1092
1,29,1,275
1,30,3,288
1,30,1,728
1,30,2,798
1,30,1,1138
1,31,3,220
1,31,1,782
1,31,2,938
1,31,1,3064
1,31,2,2876
1,31,1,508
1,32,3,239
1,32,0,144
1,32,1,1364
1,32,2,1090
1,32,1,1596
1,32,2,908
1,33,3,0
1,33,2,240
1,33,1,732
1,33,2,1211
1,34,3,245
1,34,1,828
1,34,2,1672
1,34,1,462
1,35,3,213
1,35,1,680
1,35,2,1258
1,35,1,356
1,35,2,717
1,36,3,248
1,36,0,216
1,36,1,896
1,36,2,760
1,36,1,916
1,36,2,440
1,37,3,245
1,37,1,866
1,37,2,752
1,37,1,432
1,38,3,240
1,38,1,876
1,38,2,1324
1,38,1,1073
1,39,3,258
1,39,1,670
1,39,2,642
1,39,1,1170
1,39,2,1718
1,80,3,305
1,80,1,896
1,80,2,1147
1,81,3,261
1,81,1,1074
1,81,2,616
1,81,0,244
1,81,1,614
1,82,3,192
1,82,1,694
1,82,2,618
1,82,1,488
1,83,3,0
1,83,1,589
1,83,2,945
1,84,3,244
1,84,1,680
1,84,2,1144
1,84,1,955
1,85,3,228
1,85,1,620
1,85,2,638
1,85,1,1006
1,85,2,526
1,85,1,434
1,86,3,236
1,86,1,912
1,86,2,1546
1,86,1,732
1,86,2,535
1,87,3,265
1,87,1,692
1,87,2,866
1,87,1,410
1,87,2,403
1,88,3,203
1,88,1,768
1,88,2,927
1,89,3,236
1,89,1,704
1,89,2,785
1,90,3,230
1,90,1,540
1,90,2,770
1,90,1,1180
1,90,2,692
1,90,1,394
1,90,2,530
1,91,3,257
1,91,1,670
1,91,2,622
1,91,1,488
1,92,3,228
1,92,1,856
1,92,2,942
1,92,1,453
1,93,3,213
1,93,1,754
1,93,2,1202
1,93,1,694
1,93,2,526
1,94,3,238
1,94,1,690
1,94,2,980
1,94,1,431
1,95,3,247
1,95,1,704
1,95,2,638
1,95,1,950
1,95,2,372
1,95,1,698
1,96,3,303
1,96,1,534
1,96,2,700
1,96,1,798
1,96,2,718
1,96,1,1154
1,96,2,750
1,96,1,1570
1,96,2,844
1,97,3,0
1,97,1,877
1,97,2,796
1,97,1,847
1,98,3,252
1,98,1,640
1,98,2,869
1,99,3,220
1,99,1,598
1,99,2,1775
1,100,3,248
1,100,1,578
1,100,2,1268
1,100,1,3108
1,100,2,570
1,101,3,57
1,101,1,660
1,101,2,818
1,101,1,410
1,102,3,187
1,102,1,574
1,102,2,860
1,103,3,213
1,103,1,530
1,103,2,948
1,103,1,822
1,103,2,439
1,104,3,260
1,104,1,618
1,104,2,756
1,104,1,1091
1,105,3,242
1,105,1,710
1,105,2,792
1,105,1,847
1,106,3,232
1,106,1,640
1,106,2,1450
1,106,1,760
1,106,2,441
1,107,3,247
1,107,1,532
1,107,2,824
1,107,1,616
1,107,2,786
1,107,1,1734
1,107,2,1560
1,107,1,783
1,108,3,241
1,108,1,1034
1,108,2,1400
1,108,0,248
1,108,1,518
1,108,2,625
1,109,3,60
1,109,0,198
1,109,1,722
1,109,2,630
1,109,1,992
1,110,3,249
1,110,1,650
1,110,2,866
1,110,0,390
1,110,1,524
1,110,2,560
1,111,3,256
1,111,1,568
1,111,2,662
1,111,1,457
1,112,3,261
1,112,1,712
1,112,2,646
1,112,1,902
1,112,2,540
1,112,1,566
1,113,3,39
1,113,0,212
1,113,1,562
1,113,2,720
1,113,1,1374
1,113,2,1046
1,113,1,982
1,113,2,828
1,113,1,482
1,114,3,239
1,114,1,1612
1,114,2,1008
1,114,1,1160
1,114,2,555
1,115,3,195
1,115,1,740
1,115,2,938
1,115,1,1522
1,115,2,932
1,116,3,0
1,116,2,472
1,116,1,1314
1,116,2,1158
1,116,1,1170
1,116,2,866
1,116,1,1267
1,117,3,250
1,117,1,546
1,117,2,868
1,117,1,689
1,118,3,231
1,118,1,628
1,118,2,886
1,118,1,1156
1,118,2,596
1,118,1,292
1,118,0,240
1,118,1,729
1,119,3,232
1,119,1,636
1,119,2,736
1,119,1,1111
1,160,3,215
1,160,1,674
1,160,2,372
1,160,1,312
1,161,3,272
1,161,1,614
1,161,2,826
1,162,3,246
1,162,1,614
1,162,2,798
1,162,1,382
1,163,3,202
1,163,1,554
1,163,2,806
1,163,1,356
1,163,2,454
1,164,3,211
1,164,1,594
1,164,2,838
1,164,1,786
1,164,2,1120
1,164,1,636
1,165,3,235
1,165,1,562
1,165,2,1222
1,165,1,874
1,165,2,536
1,166,3,275
1,166,1,602
1,166,2,764
1,166,1,403
1,167,3,28
1,167,0,196
1,167,1,532
1,167,2,706
1,167,1,624
1,167,2,456
1,168,3,214
1,168,1,586
1,168,2,776
1,169,3,237
1,169,1,648
1,169,2,1118
1,169,1,494
1,170,3,218
1,170,1,482
1,170,2,712
1,170,1,374
1,170,2,725
1,171,3,191
1,171,1,560
1,171,2,813
1,172,3,241
1,172,1,564
1,172,2,811
1,173,3,232
1,173,1,540
1,173,2,694
1,173,1,900
1,173,2,621
1,174,3,211
1,174,1,696
1,174,2,730
1,174,1,842
1,174,2,780
1,174,1,366
1,175,3,205
1,175,1,720
1,175,2,1008
1,175,1,293
1,176,3,244
1,176,1,590
1,176,2,906
1,176,1,439
1,177,3,191
1,177,1,680
1,177,2,612
1,177,1,364
1,178,3,44
1,178,0,216
1,178,1,792
1,178,2,517
1,179,3,360
1,179,2,296
1,179,1,930
1,179,2,404
1,179,1,381
1,180,3,0
1,180,2,247
1,180,1,672
1,180,2,1150
1,180,1,413
1,181,3,224
1,181,1,782
1,181,2,998
1,181,1,743
1,182,3,250
1,182,1,584
1,182,2,1092
1,182,1,478
1,182,2,514
1,183,3,0
1,183,2,445
1,183,1,846
1,183,2,678
1,183,1,844
1,183,2,893
1,184,3,233
1,184,1,542
1,184,2,1466
1,184,1,848
1,184,2,536
1,185,3,0
1,185,2,441
1,185,1,702
1,185,2,556
1,185,1,576
1,185,2,1208
1,185,1,455
1,186,3,0
1,186,2,1373
1,186,1,956
1,187,3,232
1,187,1,544
1,187,2,882
1,187,1,370
1,188,3,201
1,188,1,492
1,188,2,972
1,189,3,249
1,189,1,552
1,189,2,779
1,190,3,0
1,190,1,483
1,190,2,988
1,190,1,1104
1,190,2,1132
1,190,1,482
1,191,3,226
1,191,1,618
1,191,2,488
1,191,1,834
1,191,2,460
1,192,3,352
1,192,2,428
1,192,1,834
1,192,2,756
1,192,1,834
