parcode,trial,fix_item,fix_time
1,40,3,313
1,40,1,552
1,40,2,732
1,40,1,412
1,41,3,249
1,41,1,576
1,41,2,742
1,41,1,1804
1,42,3,290
1,42,1,630
1,42,2,780
1,43,3,264
1,43,1,630
1,43,2,1086
1,43,1,1178
1,43,2,1058
1,43,1,2026
1,43,2,1224
1,44,3,258
1,44,1,864
1,44,2,767
1,45,3,230
1,45,0,124
1,45,1,694
1,45,2,1179
1,46,3,230
1,46,1,682
1,46,2,2086
1,46,1,1261
1,47,3,231
1,47,1,1598
1,47,2,1078
1,47,1,598
1,48,3,232
1,48,1,778
1,48,2,1092
1,48,1,446
1,49,3,186
1,49,1,1140
1,49,2,784
1,49,1,628
1,49,2,488
1,50,3,247
1,50,1,582
1,50,2,1100
1,50,1,1098
1,50,2,914
1,50,1,663
1,51,3,241
1,51,1,998
1,51,2,1592
1,51,1,2140
1,51,2,602
1,51,1,760
1,52,3,212
1,52,1,704
1,52,2,736
1,52,1,1346
1,52,2,1550
1,52,1,1168
1,53,3,246
1,53,1,1194
1,53,2,940
1,53,1,1182
1,54,3,215
1,54,1,866
1,54,2,924
1,54,1,442
1,55,3,227
1,55,1,674
1,55,2,1219
1,56,3,268
1,56,1,684
1,56,2,1284
1,56,1,600
1,56,2,164
1,56,1,170
1,56,2,512
1,56,1,1628
1,56,0,182
1,56,1,712
1,56,2,728
1,57,3,180
1,57,1,632
1,57,2,1422
1,57,1,1144
1,57,2,896
1,58,3,225
1,58,1,970
1,58,2,1070
1,58,1,1330
1,58,2,1638
1,58,1,1621
1,59,3,228
1,59,1,732
1,59,2,1796
1,59,1,1812
1,59,2,352
1,59,1,1778
1,60,3,250
1,60,1,752
1,60,2,1190
1,60,1,721
1,61,3,213
1,61,1,1036
1,61,2,884
1,61,1,1328
1,61,2,602
1,61,1,450
1,62,3,299
1,62,1,676
1,62,2,1135
1,63,3,274
1,63,1,558
1,63,0,374
1,63,2,1222
1,63,1,957
1,64,3,261
1,64,1,754
1,64,2,1441
1,65,3,239
1,65,1,656
1,65,2,846
1,65,1,395
1,66,3,238
1,66,1,634
1,66,2,874
1,66,1,852
1,66,2,1538
1,66,1,1514
1,66,0,428
1,66,2,932
1,67,3,258
1,67,1,684
1,67,2,2624
1,67,1,1218
1,68,3,234
1,68,1,904
1,68,2,1559
1,69,3,214
1,69,1,768
1,69,2,938
1,69,1,662
1,69,2,2072
1,70,3,261
1,70,1,674
1,70,2,981
1,71,3,283
1,71,1,698
1,71,2,662
1,71,1,390
1,72,3,237
1,72,1,556
1,72,2,648
1,73,3,225
1,73,1,734
1,73,2,642
1,73,1,364
1,73,2,162
1,73,1,914
1,73,2,538
1,74,3,229
1,74,1,1066
1,74,2,1254
1,74,1,952
1,74,2,1488
1,74,1,1550
1,74,0,264
1,74,1,574
1,75,3,246
1,75,1,852
1,75,2,1242
1,75,1,581
1,76,3,241
1,76,1,786
1,76,2,2014
1,76,1,2386
1,76,2,484
1,76,1,487
1,77,3,222
1,77,1,798
1,77,2,1899
1,78,3,0
1,78,0,254
1,78,1,766
1,78,2,592
1,78,1,1164
1,78,2,1428
1,78,1,533
