parcode,trial,rt,choice,item_left,item_right
0,0,3327,1,0.95,2
0,1,3424,1,2.3,1.7
0,2,3691,1,1.7,1.25
0,3,8144,-1,1.55,2.3
0,4,6559,-1,2,2
0,5,5595,-1,0.65,1.25
0,6,2470,1,1.55,1.1
0,7,6091,1,0.95,0.65
0,8,4669,1,1.55,1.7
0,9,4001,1,2,1.1
0,10,3301,-1,1.1,1.1
0,11,2867,-1,1.4,2
0,12,3117,1,1.85,1.1
0,13,10424,1,1.7,2
0,14,2754,-1,1.25,1.55
0,15,5836,1,2,1.7
0,16,3931,1,1.85,1.7
0,17,3602,1,1.55,0.8
0,18,5674,-1,1.7,1.4
0,19,2567,1,1.7,1.1
0,20,2097,-1,1.1,1.55
0,21,3641,-1,0.95,0.8
0,22,4550,1,1.7,1.55
0,23,2973,1,1.7,1.4
0,24,2824,-1,1.25,1.7
0,25,3643,-1,2,2.3
0,26,2188,1,1.85,0.65
0,27,3321,1,1.85,1.1
0,28,6784,-1,1.85,2
0,29,2314,-1,1.1,2.3
0,30,2952,-1,1.1,2
0,31,8388,-1,1.25,1.4
0,32,5341,1,1.25,1.85
0,33,2183,1,1.1,0.95
0,34,3207,-1,0.95,1.85
0,35,3224,1,1.1,1.55
0,36,3476,1,1.7,1.85
0,37,2295,-1,0.65,1.7
0,38,3513,-1,1.55,2.3
0,39,4458,1,1.1,0.95
0,80,2348,1,1.55,1.1
0,81,2809,-1,1.4,1.7
0,82,1992,-1,1.1,1.7
0,83,1534,1,1.85,0.95
0,84,3023,-1,0.95,2.3
0,85,3452,-1,2,2
0,86,3961,1,2,1.55
0,87,2636,1,2,1.1
0,88,1898,1,2,1.1
0,89,1725,1,2.3,1.1
0,90,4336,1,2.3,2
0,91,2037,-1,0.95,1.1
0,92,2479,-1,0.35,1.85
0,93,3389,1,2.3,1.55
0,94,2339,-1,1.7,2
0,95,3609,-1,1.85,1.85
0,96,7371,1,2.3,1.55
0,97,2520,-1,1.55,2
0,98,1761,1,2,1.4
0,99,2593,1,1.85,1.7
0,100,5772,1,1.55,1.1
0,101,1945,-1,1.1,1.85
0,102,1621,1,1.1,0.35
0,103,2952,1,1.55,1.4
0,104,2725,-1,1.25,2
0,105,2591,-1,1.1,1.55
0,106,3523,1,1.4,1.1
0,107,7082,-1,1.25,1.1
0,108,4066,1,1.55,1.25
0,109,2602,-1,1.25,2
0,110,3239,1,1.4,1.25
0,111,1943,-1,1.55,1.55
0,112,3627,-1,1.85,2
0,113,6245,-1,1.7,1.55
0,114,4574,1,1.85,1.55
0,115,4327,1,1.7,0.65
0,116,6247,-1,1.1,2
0,117,2353,-1,1.1,1.25
0,118,4758,-1,0.95,1.55
0,119,2715,-1,1.1,1.85
0,160,1573,-1,0.35,1.1
0,161,1712,1,1.85,1.85
0,162,2040,-1,1.55,1.7
0,163,2372,1,2,1.85
0,164,4185,-1,2,1.7
0,165,3429,1,1.1,1.25
0,166,2044,-1,1.4,1.55
0,167,2542,1,2,0.95
0,168,1576,1,2,1.25
0,169,2497,-1,1.1,1.1
0,170,2511,1,1.85,1.1
0,171,1564,1,1.55,1.55
0,172,1616,1,1.55,0.95
0,173,2987,1,2,1.7
0,174,3625,-1,1.7,2
0,175,2226,-1,1.1,2
0,176,2179,-1,0.8,1.55
0,177,1847,-1,0.65,1.85
0,178,1569,1,1.25,0.65
0,179,2371,-1,1.1,2
0,180,2482,-1,1.1,1.85
0,181,2747,-1,0.95,1.1
0,182,2918,1,2,1.55
0,183,3706,1,2,1.85
0,184,3625,1,2,1.1
0,185,3938,-1,0.8,0.95
0,186,2329,-1,0.65,0.95
0,187,2028,-1,1.25,1.7
0,188,1665,1,1.85,0.35
0,189,1580,1,2.3,0.95
0,190,4189,-1,1.7,2.3
0,191,2626,-1,1.7,1.85
0,192,3783,1,1.7,1.25
0,193,2920,-1,1.55,2
0,194,4843,-1,1.25,1.1
0,195,5275,-1,1.4,1.7
0,196,5630,-1,1.1,1.4
0,197,1871,1,2,1.25
0,198,4173,1,1.85,1.25
0,199,2828,-1,1.55,1.85
