parcode,trial,rt,choice,item_left,item_right,valid
0,0,3327,1,0.95,2,
0,1,3424,1,2.3,1.7,
0,2,3691,1,1.7,1.25,
0,3,8144,-1,1.55,2.3,
0,4,6559,-1,2,2,
0,5,5595,-1,0.65,1.25,
0,6,2470,1,1.55,1.1,
0,7,6091,1,0.95,0.65,
0,8,4669,1,1.55,1.7,
0,9,4001,1,2,1.1,
0,10,3301,-1,1.1,1.1,
0,11,2867,-1,1.4,2,
0,12,3117,1,1.85,1.1,
0,13,10424,1,1.7,2,
0,14,2754,-1,1.25,1.55,
0,15,5836,1,2,1.7,
0,16,3931,1,1.85,1.7,
0,17,3602,1,1.55,0.8,
0,18,5674,-1,1.7,1.4,
0,19,2567,1,1.7,1.1,
0,20,2097,-1,1.1,1.55,
0,21,3641,-1,0.95,0.8,
0,22,4550,1,1.7,1.55,
0,23,2973,1,1.7,1.4,
0,24,2824,-1,1.25,1.7,
0,25,3643,-1,2,2.3,
0,26,2188,1,1.85,0.65,
0,27,3321,1,1.85,1.1,
0,28,6784,-1,1.85,2,
0,29,2314,-1,1.1,2.3,
0,30,2952,-1,1.1,2,
0,31,8388,-1,1.25,1.4,
0,32,5341,1,1.25,1.85,
0,33,2183,1,1.1,0.95,
0,34,3207,-1,0.95,1.85,
0,35,3224,1,1.1,1.55,
0,36,3476,1,1.7,1.85,
0,37,2295,-1,0.65,1.7,
0,38,3513,-1,1.55,2.3,
0,39,4458,1,1.1,0.95,
0,40,2009,-1,1.1,0.95,
0,41,3371,-1,2,1.7,
0,42,1700,1,1.1,2.3,
0,43,7466,1,1.25,1.4,
0,44,1889,1,2,2.3,
0,45,2227,1,1.7,1.85,
0,46,4259,-1,1.85,0.65,
0,47,3505,-1,1.55,0.8,
0,48,2548,-1,1.55,1.1,
0,49,3226,1,1.1,2,
0,50,4604,-1,1.85,1.1,
0,51,6333,-1,0.95,2,
0,52,5716,-1,0.95,0.8,
0,53,3562,-1,2,1.1,
0,54,2447,-1,1.85,1.1,
0,55,2120,1,1.25,1.85,
0,56,6932,1,2,2,
0,57,4274,1,1.25,1.7,
0,58,6854,-1,1.7,1.4,
0,59,6698,-1,1.1,1.1,
0,60,2913,-1,1.1,0.95,
0,61,4513,-1,1.7,1.55,
0,62,2110,1,1.85,2,
0,63,3385,-1,1.7,1.4,
0,64,2456,1,1.4,2,
0,65,2136,-1,1.85,1.7,
0,66,7010,1,1.1,1.55,
0,67,4784,-1,0.95,0.65,
0,68,2697,1,1.1,1.55,
0,69,4654,1,1.25,1.55,
0,70,1916,1,1.55,2.3,
0,71,2033,-1,1.7,1.25,
0,72,1441,1,0.95,1.85,
0,73,3579,1,0.65,1.25,
0,74,7377,1,1.7,2,
0,75,2921,-1,2.3,1.7,
0,76,6398,-1,1.55,2.3,
0,77,2919,1,0.65,1.7,
0,78,4737,-1,1.55,1.7,
0,79,3459,-1,1.7,1.1,
0,80,2348,1,1.55,1.1,
0,81,2809,-1,1.4,1.7,
0,82,1992,-1,1.1,1.7,
0,83,1534,1,1.85,0.95,
0,84,3023,-1,0.95,2.3,
0,85,3452,-1,2,2,
0,86,3961,1,2,1.55,
0,87,2636,1,2,1.1,
0,88,1898,1,2,1.1,
0,89,1725,1,2.3,1.1,
0,90,4336,1,2.3,2,
0,91,2037,-1,0.95,1.1,
0,92,2479,-1,0.35,1.85,
0,93,3389,1,2.3,1.55,
0,94,2339,-1,1.7,2,
0,95,3609,-1,1.85,1.85,
0,96,7371,1,2.3,1.55,
0,97,2520,-1,1.55,2,
0,98,1761,1,2,1.4,
0,99,2593,1,1.85,1.7,
0,100,5772,1,1.55,1.1,
0,101,1945,-1,1.1,1.85,
0,102,1621,1,1.1,0.35,
0,103,2952,1,1.55,1.4,
0,104,2725,-1,1.25,2,
0,105,2591,-1,1.1,1.55,
0,106,3523,1,1.4,1.1,
0,107,7082,-1,1.25,1.1,
0,108,4066,1,1.55,1.25,
0,109,2602,-1,1.25,2,
0,110,3239,1,1.4,1.25,
0,111,1943,-1,1.55,1.55,
0,112,3627,-1,1.85,2,
0,113,6245,-1,1.7,1.55,
0,114,4574,1,1.85,1.55,
0,115,4327,1,1.7,0.65,
0,116,6247,-1,1.1,2,
0,117,2353,-1,1.1,1.25,
0,118,4758,-1,0.95,1.55,
0,119,2715,-1,1.1,1.85,
0,120,3454,1,1.85,1.85,
0,121,2478,1,1.7,1.55,
0,122,1728,1,1.1,1.85,
0,123,2014,-1,1.85,1.7,
0,124,519,1,0.95,1.1,
0,125,5492,1,1.1,1.25,
0,126,3216,1,1.1,1.7,
0,127,2185,-1,1.4,1.1,
0,128,1467,-1,2.3,2,
0,129,1707,-1,1.7,0.65,
0,130,1472,1,1.1,1.55,
0,131,2425,-1,2,1.1,
0,132,5621,1,2.3,1.55,
0,133,3216,1,0.95,1.55,
0,134,3167,1,0.95,2.3,
0,135,1939,-1,1.1,0.35,
0,136,2066,-1,1.55,1.4,
0,137,1561,1,1.25,2,
0,138,2037,-1,1.85,1.55,
0,139,3620,1,1.85,2,
0,140,1235,1,0.35,1.85,
0,141,3726,1,1.4,1.7,
0,142,1764,1,1.25,1.1,
0,143,4016,-1,2,1.4,
0,144,2365,1,1.1,2,
0,145,1583,1,1.55,1.55,
0,146,5406,-1,1.55,1.25,
0,147,2418,1,1.25,2,
0,148,5198,-1,1.4,1.25,
0,149,4101,1,1.1,1.85,
0,150,3167,1,1.55,2,
0,151,1675,-1,1.85,0.95,
0,152,1655,1,1.7,2,
0,153,1870,-1,1.55,1.1,
0,154,2637,-1,1.55,1.1,
0,155,3613,1,2,2,
0,156,1854,-1,2.3,1.55,
0,157,1999,-1,2,1.55,
0,158,1979,-1,2,1.1,
0,159,1987,-1,2.3,1.1,
0,160,1573,-1,0.35,1.1,
0,161,1712,1,1.85,1.85,
0,162,2040,-1,1.55,1.7,
0,163,2372,1,2,1.85,
0,164,4185,-1,2,1.7,
0,165,3429,1,1.1,1.25,
0,166,2044,-1,1.4,1.55,
0,167,2542,1,2,0.95,
0,168,1576,1,2,1.25,
0,169,2497,-1,1.1,1.1,
0,170,2511,1,1.85,1.1,
0,171,1564,1,1.55,1.55,
0,172,1616,1,1.55,0.95,
0,173,2987,1,2,1.7,
0,174,3625,-1,1.7,2,
0,175,2226,-1,1.1,2,
0,176,2179,-1,0.8,1.55,
0,177,1847,-1,0.65,1.85,
0,178,1569,1,1.25,0.65,
0,179,2371,-1,1.1,2,
0,180,2482,-1,1.1,1.85,
0,181,2747,-1,0.95,1.1,
0,182,2918,1,2,1.55,
0,183,3706,1,2,1.85,
0,184,3625,1,2,1.1,
0,185,3938,-1,0.8,0.95,
0,186,2329,-1,0.65,0.95,
0,187,2028,-1,1.25,1.7,
0,188,1665,1,1.85,0.35,
0,189,1580,1,2.3,0.95,
0,190,4189,-1,1.7,2.3,
0,191,2626,-1,1.7,1.85,
0,192,3783,1,1.7,1.25,
0,193,2920,-1,1.55,2,
0,194,4843,-1,1.25,1.1,
0,195,5275,-1,1.4,1.7,
0,196,5630,-1,1.1,1.4,
0,197,1871,1,2,1.25,
0,198,4173,1,1.85,1.25,
0,199,2828,-1,1.55,1.85,
0,200,2166,-1,1.85,1.1,
0,201,2263,-1,2,1.55,
0,202,1491,1,0.8,1.55,
0,203,1697,-1,1.1,1.25,
0,204,2250,1,1.55,1.7,
0,205,2017,-1,1.7,1.25,
0,206,2098,1,1.7,1.85,
0,207,1744,-1,2,1.25,
0,208,2002,-1,1.85,1.85,
0,209,2099,-1,2,1.1,
0,210,4340,-1,1.4,1.7,
0,211,2085,1,1.55,1.85,
0,212,2755,1,1.55,2,
0,213,2265,-1,2,1.85,
0,214,1866,1,1.25,1.7,
0,215,2166,-1,1.85,0.35,
0,216,4828,1,1.25,1.1,
0,217,2376,-1,2,0.95,
0,218,2106,-1,2,1.85,
0,219,2328,-1,1.85,1.25,
0,220,4574,-1,2,1.7,
0,221,1708,1,1.1,1.4,
0,222,1739,1,1.1,1.85,
0,223,1466,1,0.35,1.1,
0,224,4432,-1,1.7,2.3,
0,225,1759,1,1.1,2,
0,226,1533,1,1.1,2,
0,227,1556,-1,1.25,0.65,
0,228,1545,-1,1.55,1.55,
0,229,1291,1,1.7,2,
0,230,1544,1,1.4,1.55,
0,231,4190,1,0.65,0.95,
0,232,1712,1,0.65,1.85,
0,233,2958,1,1.55,0.95,
0,234,1618,-1,2.3,0.95,
0,235,1474,-1,2,1.7,
0,236,1715,-1,2,1.25,
0,237,1819,1,1.1,1.1,
0,238,1454,1,0.95,1.1,
0,239,3480,-1,0.8,0.95,
1,0,4960,-1,0.2,0.5,
1,1,6438,-1,0.5,0.65,
1,2,5125,-1,0.2,0.65,
1,3,4268,-1,0.2,0.5,
1,4,4726,1,0.5,0.35,
1,5,5392,1,0.5,0.35,
1,6,3471,1,0.2,0,
1,7,4299,1,0.5,0.35,
1,8,4299,1,0.5,0.5,
1,9,4088,-1,0.5,0.65,
1,10,3147,-1,0,0.2,
1,11,3923,-1,0,0.2,
1,12,3889,-1,0.35,0.65,
1,13,4426,-1,0,0.2,
1,14,3035,1,0.65,0,
1,15,4915,1,0.2,0.2,
1,16,5395,1,0.5,0.35,
1,17,5623,1,0.35,0.65,
1,18,6208,1,0.35,0.2,
1,19,2323,1,0.2,0,
1,20,3491,-1,0.35,0.2,
1,21,5468,1,0.65,0.2,
1,22,6446,-1,0.5,0.65,
1,23,4541,1,0.35,0.35,
1,24,3991,-1,0,0.8,
1,25,4235,-1,0.5,0.65,
1,26,5489,1,0.65,0.65,
1,27,6380,-1,0.5,0.8,
1,28,3385,1,0.5,0.05,
1,29,4479,1,0.5,0.5,
1,30,3546,-1,0.2,0.65,
1,31,3266,1,0.8,0.2,
1,32,2267,1,0.2,0.05,
1,33,3808,-1,0.2,0.35,
1,34,4033,-1,0.65,0.35,
1,35,3093,-1,0.2,0.5,
1,36,3486,1,0.05,0.35,
1,37,5401,-1,0.05,0.5,
1,38,2833,-1,0.5,0.05,
1,39,1746,-1,0,0.5,
1,40,3113,1,0.5,0.8,
1,41,4273,1,0.05,0.5,
1,42,2400,-1,0.5,0.2,
1,43,2710,1,0.35,0.5,
1,44,3446,-1,0.5,0.2,
1,45,3993,-1,0.65,0.5,
1,46,2389,-1,0.65,0.05,
1,47,1404,-1,0.2,0,
1,48,3249,1,0.05,0.2,
1,49,1822,-1,0.35,0,
1,50,1994,-1,0.2,0,
1,51,2700,-1,0.65,0.2,
1,52,1886,-1,0.5,0,
1,53,3326,1,0.65,0.65,
1,54,3299,1,0.2,0.8,
1,55,2521,1,0,0.65,
1,56,2952,-1,0.05,0.5,
1,57,2415,-1,0.35,0.2,
1,58,3498,1,0.2,0.2,
1,59,2270,1,0,0.2,
1,60,2513,1,0.35,0.5,
1,61,2738,1,0.65,0.35,
1,62,3314,-1,0.35,0.5,
1,63,3086,1,0.05,0.2,
1,64,2393,1,0.5,0.5,
1,65,2560,1,0.05,0.2,
1,66,3130,-1,0.65,0.35,
1,67,4404,-1,0.65,0.5,
1,68,1777,-1,0.65,0.2,
1,69,2386,-1,0.5,0.35,
1,70,2762,-1,0.5,0.35,
1,71,1868,-1,0.65,0.2,
1,72,2631,-1,0.65,0.65,
1,73,3073,-1,0.65,0.5,
1,74,2059,1,0,0.35,
1,75,1611,1,0.2,0.65,
1,76,1721,-1,0.5,0,
1,77,2535,1,0.2,0,
1,78,2177,1,0.65,0.5,
1,79,2577,1,0,0.65,
1,80,2741,1,0.5,0.2,
1,81,2186,-1,0,0.65,
1,82,2803,-1,0.05,0.2,
1,83,1702,-1,0,0.35,
1,84,2152,-1,0.2,0.2,
1,85,1414,1,0.2,0.65,
1,86,1979,1,0.5,0.35,
1,87,1929,1,0.5,0.35,
1,88,1618,-1,0,0.65,
1,89,1534,-1,0.2,0,
1,90,1384,-1,0.35,0.5,
1,91,1343,1,0.2,0,
1,92,1683,1,0.2,0,
1,93,2062,1,0.65,0.05,
1,94,1539,1,0.65,0.5,
1,95,1601,1,0.65,0.65,
1,96,1858,-1,0.05,0.2,
1,97,1467,1,0.5,0.5,
1,98,1867,-1,0.65,0.65,
1,99,1450,-1,0.2,0.8,
1,100,2378,-1,0.65,0.5,
1,101,2138,1,0.35,0.5,
1,102,1414,-1,0,0.2,
1,103,1971,-1,0.65,0.35,
1,104,1983,1,0.65,0.2,
1,105,2258,1,0.65,0.2,
1,106,1400,1,0.5,0.2,
1,107,1192,1,0.5,0,
1,108,1291,1,0.65,0.2,
1,109,1035,1,0.35,0.2,
1,110,2068,1,0.05,0.5,
1,111,1164,1,0.5,0,
1,112,1482,-1,0.65,0.5,
1,113,1122,1,0.35,0,
1,114,1763,1,0.05,0.2,
1,115,2008,1,0.65,0.35,
1,116,1831,1,0.05,0.5,
1,117,2109,-1,0.35,0.5,
1,118,1709,1,0.65,0.5,
1,119,1236,-1,0.5,0.8,
1,120,2362,1,0.2,0.65,
1,121,1504,1,0,0.2,
1,122,1769,-1,0.5,0.05,
1,123,1998,1,0.35,0.05,
1,124,1194,1,0.35,0.5,
1,125,1135,1,0.05,0.65,
1,126,1716,-1,0.65,0.5,
1,127,1320,-1,0.5,0.65,
1,128,1241,1,0.2,0.5,
1,129,1278,1,0.8,0.5,
1,130,1160,-1,0.35,0.2,
1,131,1596,-1,0.2,0.35,
1,132,1158,-1,0.65,0.2,
1,133,1504,1,0.5,0.5,
1,134,1069,1,0,0.5,
