parcode,trial,fix_item,fix_time
0,40,3,313
0,40,1,552
0,40,2,732
0,40,1,412
0,41,3,249
0,41,1,576
0,41,2,742
0,41,1,1804
0,42,3,290
0,42,1,630
0,42,2,780
0,43,3,264
0,43,1,630
0,43,2,1086
0,43,1,1178
0,43,2,1058
0,43,1,2026
0,43,2,1224
0,44,3,258
0,44,1,864
0,44,2,767
0,45,3,230
0,45,0,124
0,45,1,694
0,45,2,1179
0,46,3,230
0,46,1,682
0,46,2,2086
0,46,1,1261
0,47,3,231
0,47,1,1598
0,47,2,1078
0,47,1,598
0,48,3,232
0,48,1,778
0,48,2,1092
0,48,1,446
0,49,3,186
0,49,1,1140
0,49,2,784
0,49,1,628
0,49,2,488
0,50,3,247
0,50,1,582
0,50,2,1100
0,50,1,1098
0,50,2,914
0,50,1,663
0,51,3,241
0,51,1,998
0,51,2,1592
0,51,1,2140
0,51,2,602
0,51,1,760
0,52,3,212
0,52,1,704
0,52,2,736
0,52,1,1346
0,52,2,1550
0,52,1,1168
0,53,3,246
0,53,1,1194
0,53,2,940
0,53,1,1182
0,54,3,215
0,54,1,866
0,54,2,924
0,54,1,442
0,55,3,227
0,55,1,674
0,55,2,1219
0,56,3,268
0,56,1,684
0,56,2,1284
0,56,1,600
0,56,2,164
0,56,1,170
0,56,2,512
0,56,1,1628
0,56,0,182
0,56,1,712
0,56,2,728
0,57,3,180
0,57,1,632
0,57,2,1422
0,57,1,1144
0,57,2,896
0,58,3,225
0,58,1,970
0,58,2,1070
0,58,1,1330
0,58,2,1638
0,58,1,1621
0,59,3,228
0,59,1,732
0,59,2,1796
0,59,1,1812
0,59,2,352
0,59,1,1778
0,60,3,250
0,60,1,752
0,60,2,1190
0,60,1,721
0,61,3,213
0,61,1,1036
0,61,2,884
0,61,1,1328
0,61,2,602
0,61,1,450
0,62,3,299
0,62,1,676
0,62,2,1135
0,63,3,274
0,63,1,558
0,63,0,374
0,63,2,1222
0,63,1,957
0,64,3,261
0,64,1,754
0,64,2,1441
0,65,3,239
0,65,1,656
0,65,2,846
0,65,1,395
0,66,3,238
0,66,1,634
0,66,2,874
0,66,1,852
0,66,2,1538
0,66,1,1514
0,66,0,428
0,66,2,932
0,67,3,258
0,67,1,684
0,67,2,2624
0,67,1,1218
0,68,3,234
0,68,1,904
0,68,2,1559
0,69,3,214
0,69,1,768
0,69,2,938
0,69,1,662
0,69,2,2072
0,70,3,261
0,70,1,674
0,70,2,981
0,71,3,283
0,71,1,698
0,71,2,662
0,71,1,390
0,72,3,237
0,72,1,556
0,72,2,648
0,73,3,225
0,73,1,734
0,73,2,642
0,73,1,364
0,73,2,162
0,73,1,914
0,73,2,538
0,74,3,229
0,74,1,1066
0,74,2,1254
0,74,1,952
0,74,2,1488
0,74,1,1550
0,74,0,264
0,74,1,574
0,75,3,246
0,75,1,852
0,75,2,1242
0,75,1,581
0,76,3,241
0,76,1,786
0,76,2,2014
0,76,1,2386
0,76,2,484
0,76,1,487
0,77,3,222
0,77,1,798
0,77,2,1899
0,78,3,0
0,78,0,254
0,78,1,766
0,78,2,592
0,78,1,1164
0,78,2,1428
0,78,1,533
0,79,3,213
0,79,1,998
0,79,2,1586
0,79,1,662
0,120,3,983
0,120,1,350
0,120,2,828
0,120,1,668
0,120,2,625
0,121,3,240
0,121,1,650
0,121,2,470
0,121,1,364
0,121,2,754
0,122,3,209
0,122,1,530
0,122,2,989
0,123,3,188
0,123,1,634
0,123,2,754
0,123,1,438
0,124,3,257
0,124,1,262
0,125,3,242
0,125,1,672
0,125,2,1200
0,125,1,1086
0,125,2,1134
0,125,1,672
0,125,2,486
0,126,3,212
0,126,1,902
0,126,2,1138
0,126,1,570
0,126,2,394
0,127,3,226
0,127,1,672
0,127,2,786
0,127,1,501
0,128,3,256
0,128,1,638
0,128,2,516
0,128,1,57
0,129,3,188
0,129,1,476
0,129,2,684
0,129,1,359
0,130,3,0
0,130,2,522
0,130,1,568
0,130,2,382
0,131,3,248
0,131,1,526
0,131,2,1022
0,131,1,629
0,132,3,15
0,132,0,214
0,132,2,218
0,132,1,680
0,132,2,828
0,132,1,756
0,132,2,1206
0,132,1,1132
0,132,2,572
0,133,3,225
0,133,1,668
0,133,2,640
0,133,1,1110
0,133,2,573
0,134,3,243
0,134,1,954
0,134,2,1220
0,134,1,316
0,134,2,434
0,135,3,241
0,135,1,610
0,135,2,674
0,135,1,414
0,136,3,214
0,136,1,658
0,136,2,794
0,136,1,400
0,137,3,229
0,137,1,588
0,137,2,744
0,138,3,204
0,138,1,666
0,138,2,702
0,138,1,465
0,139,3,231
0,139,1,806
0,139,2,1130
0,139,1,932
0,139,2,521
0,140,3,233
0,140,1,500
0,140,2,502
0,141,3,275
0,141,1,1178
0,141,2,776
0,141,1,1054
0,141,2,443
0,142,3,232
0,142,1,486
0,142,2,1046
0,143,3,0
0,143,2,537
0,143,1,1522
0,143,2,1554
0,143,1,403
0,144,3,244
0,144,2,244
0,144,1,1076
0,144,2,490
0,144,0,311
0,145,3,234
0,145,1,612
0,145,2,737
0,146,3,226
0,146,0,178
0,146,1,620
0,146,2,860
0,146,1,1876
0,146,2,684
0,146,1,962
0,147,3,249
0,147,1,888
0,147,2,1281
0,148,3,244
0,148,1,738
0,148,2,436
0,148,1,848
0,148,2,1188
0,148,1,1744
0,149,3,231
0,149,1,606
0,149,2,1256
0,149,1,1300
0,149,0,180
0,149,2,528
0,150,3,232
0,150,1,904
0,150,2,1096
0,150,1,488
0,150,2,447
0,151,3,0
0,151,2,255
0,151,1,514
0,151,2,556
0,151,1,350
0,152,3,28
0,152,0,224
0,152,1,578
0,152,2,825
0,153,3,0
0,153,2,656
0,153,1,1214
0,154,3,0
0,154,2,560
0,154,1,1284
0,154,2,370
0,154,1,423
0,155,3,0
0,155,2,523
0,155,1,940
0,155,2,946
0,155,1,772
0,155,2,432
0,156,3,250
0,156,1,594
0,156,2,702
0,156,1,308
0,157,3,209
0,157,1,568
0,157,2,728
0,157,1,494
0,158,3,0
0,158,2,832
0,158,1,1147
0,159,3,0
0,159,2,257
0,159,1,942
0,159,2,678
0,159,1,110
0,200,3,0
0,200,2,637
0,200,1,694
0,200,2,448
0,200,1,387
0,201,3,9
0,201,0,216
0,201,2,342
0,201,1,622
0,201,2,732
0,201,1,342
0,202,3,227
0,202,1,450
0,202,2,814
0,203,3,0
0,203,2,263
0,203,1,488
0,203,2,552
0,203,1,394
0,204,3,215
0,204,1,448
0,204,2,630
0,204,1,542
0,204,2,415
0,205,3,0
0,205,1,479
0,205,2,712
0,205,1,826
0,206,3,202
0,206,1,568
0,206,2,592
0,206,1,350
0,206,2,386
0,207,3,214
0,207,1,544
0,207,2,590
0,207,1,396
0,208,3,0
0,208,2,36
0,208,0,198
0,208,1,754
0,208,2,762
0,208,1,252
0,209,3,224
0,209,1,560
0,209,2,624
0,209,1,691
0,210,3,206
0,210,1,522
0,210,2,874
0,210,1,948
0,210,0,232
0,210,2,790
0,210,1,768
0,211,3,68
0,211,1,690
0,211,2,1327
0,212,3,29
0,212,0,202
0,212,1,652
0,212,2,956
0,212,1,510
0,212,2,406
0,213,3,198
0,213,1,566
0,213,2,1010
0,213,1,491
0,214,3,241
0,214,1,602
0,214,2,1023
