parcode,trial,rt,choice,item_left,item_right
0,0,3327,1,0.0,5.0
0,1,3424,1,5.0,4.0
0,2,3691,1,4.0,1.0
0,3,8144,-1,3.0,5.0
0,4,6559,-1,5.0,5.0
0,5,5595,-1,0.0,1.0
0,6,2470,1,0.0,1.0
0,7,6091,1,0.0,1.0
0,8,4669,1,3.0,4.0
0,9,4001,1,0.0,4.0
0,10,3301,-1,0.0,4.0
0,11,2867,-1,2.0,5.0
0,12,3117,1,0.0,5.0
0,13,10424,1,4.0,5.0
0,14,2754,-1,1.0,3.0
0,15,5836,1,5.0,4.0
0,16,3931,1,4.0,4.0
0,17,3602,1,0.0,4.0
0,18,5674,-1,4.0,2.0
0,19,2567,1,0.0,2.0
0,20,2097,-1,0.0,3.0
0,21,3641,-1,0.0,3.0
0,22,4550,1,4.0,3.0
0,23,2973,1,4.0,2.0
0,24,2824,-1,1.0,4.0
0,25,3643,-1,5.0,5.0
0,26,2188,1,0.0,5.0
0,27,3321,1,0.0,5.0
0,28,6784,-1,4.0,5.0
0,29,2314,-1,0.0,5.0
0,30,2952,-1,0.0,5.0
0,31,8388,-1,1.0,2.0
0,32,5341,1,1.0,4.0
0,33,2183,1,0.0,4.0
0,34,3207,-1,0.0,4.0
0,35,3224,1,0.0,3.0
0,36,3476,1,4.0,4.0
0,37,2295,-1,0.0,4.0
0,38,3513,-1,3.0,5.0
0,39,4458,1,0.0,5.0
0,80,2348,1,0.0,4.0
0,81,2809,-1,2.0,4.0
0,82,1992,-1,0.0,4.0
0,83,1534,1,0.0,4.0
0,84,3023,-1,0.0,5.0
0,85,3452,-1,5.0,5.0
0,86,3961,1,5.0,3.0
0,87,2636,1,0.0,3.0
0,88,1898,1,0.0,3.0
0,89,1725,1,0.0,3.0
0,90,4336,1,5.0,5.0
0,91,2037,-1,0.0,5.0
0,92,2479,-1,0.0,4.0
0,93,3389,1,5.0,3.0
0,94,2339,-1,4.0,5.0
0,95,3609,-1,4.0,4.0
0,96,7371,1,5.0,3.0
0,97,2520,-1,3.0,5.0
0,98,1761,1,5.0,2.0
0,99,2593,1,4.0,4.0
0,100,5772,1,0.0,4.0
0,101,1945,-1,0.0,4.0
0,102,1621,1,0.0,4.0
0,103,2952,1,3.0,2.0
0,104,2725,-1,1.0,5.0
0,105,2591,-1,0.0,3.0
0,106,3523,1,0.0,3.0
0,107,7082,-1,0.0,3.0
0,108,4066,1,3.0,1.0
0,109,2602,-1,1.0,5.0
0,110,3239,1,2.0,1.0
0,111,1943,-1,3.0,3.0
0,112,3627,-1,4.0,5.0
0,113,6245,-1,4.0,3.0
0,114,4574,1,4.0,3.0
0,115,4327,1,0.0,3.0
0,116,6247,-1,0.0,5.0
0,117,2353,-1,0.0,1.0
0,118,4758,-1,0.0,3.0
0,119,2715,-1,0.0,4.0
0,160,1573,-1,0.0,3.0
0,161,1712,1,4.0,4.0
0,162,2040,-1,3.0,4.0
0,163,2372,1,5.0,4.0
0,164,4185,-1,5.0,4.0
0,165,3429,1,0.0,1.0
0,166,2044,-1,2.0,3.0
0,167,2542,1,0.0,3.0
0,168,1576,1,5.0,1.0
0,169,2497,-1,0.0,1.0
0,170,2511,1,0.0,1.0
0,171,1564,1,3.0,3.0
0,172,1616,1,0.0,3.0
0,173,2987,1,5.0,4.0
0,174,3625,-1,4.0,5.0
0,175,2226,-1,0.0,5.0
0,176,2179,-1,0.0,3.0
0,177,1847,-1,0.0,4.0
0,178,1569,1,0.0,4.0
0,179,2371,-1,0.0,5.0
0,180,2482,-1,0.0,4.0
0,181,2747,-1,0.0,4.0
0,182,2918,1,5.0,3.0
0,183,3706,1,5.0,4.0
0,184,3625,1,0.0,4.0
0,185,3938,-1,0.0,4.0
0,186,2329,-1,0.0,4.0
0,187,2028,-1,1.0,4.0
0,188,1665,1,0.0,4.0
0,189,1580,1,0.0,4.0
0,190,4189,-1,4.0,5.0
0,191,2626,-1,4.0,4.0
0,192,3783,1,4.0,1.0
0,193,2920,-1,3.0,5.0
0,194,4843,-1,0.0,5.0
0,195,5275,-1,2.0,4.0
0,196,5630,-1,0.0,2.0
0,197,1871,1,5.0,1.0
0,198,4173,1,4.0,1.0
0,199,2828,-1,3.0,4.0
1,0,4960,-1,0.0,5.0
1,1,6438,-1,5.0,5.0
1,2,5125,-1,0.0,5.0
1,3,4268,-1,0.0,5.0
1,4,4726,1,5.0,2.0
1,5,5392,1,5.0,2.0
1,6,3471,1,0.0,2.0
1,7,4299,1,5.0,2.0
1,8,4299,1,5.0,5.0
1,9,4088,-1,5.0,5.0
1,10,3147,-1,0.0,5.0
1,11,3923,-1,0.0,5.0
