parcode,trial,rt,choice,item_left,item_right
0,0,2380,1,0,0
0,1,1660,1,0,0
0,2,3000,1,0,0
0,3,2870,1,0,0
0,4,5760,1,0,0
0,5,8990,1,0,0
0,6,1140,-1,0,0
0,7,1370,1,0,0
0,8,770,1,0,0
0,9,500,1,0,0
0,10,3410,1,0,0
0,11,2700,-1,0,0
0,12,3860,1,0,0
0,13,5440,-1,0,0
0,14,2520,-1,0,0
0,15,2040,-1,0,0
0,16,830,-1,0,0
0,17,6440,-1,0,0
0,18,1360,-1,0,0
0,19,820,1,0,0
0,20,2680,-1,0,0
0,21,6110,-1,0,0
0,22,1090,1,0,0
0,23,1260,1,0,0
0,24,640,1,0,0
0,25,5520,1,0,0
0,26,1250,1,0,0
0,27,1400,1,0,0
0,28,810,1,0,0
0,29,3450,-1,0,0
0,30,940,-1,0,0
0,31,350,-1,0,0
0,32,7970,-1,0,0
0,33,2750,1,0,0
0,34,2170,-1,0,0
0,35,1220,1,0,0
0,36,1800,1,0,0
0,37,7620,1,0,0
0,38,5060,-1,0,0
0,39,9210,1,0,0
0,40,460,1,0,0
0,41,2050,1,0,0
0,42,1980,-1,0,0
0,43,1990,-1,0,0
0,44,3710,1,0,0
0,45,1190,1,0,0
0,46,14610,1,0,0
0,47,1860,-1,0,0
0,48,5910,1,0,0
0,49,740,-1,0,0
0,50,2900,-1,0,0
0,51,920,-1,0,0
0,52,3290,-1,0,0
0,53,760,-1,0,0
0,54,1460,-1,0,0
0,55,5360,-1,0,0
0,56,2070,1,0,0
0,57,5340,-1,0,0
0,58,2510,1,0,0
0,59,7300,1,0,0
0,60,2970,-1,0,0
0,61,7520,1,0,0
0,62,9950,-1,0,0
0,63,510,1,0,0
0,64,1060,1,0,0
0,65,4060,1,0,0
0,66,1530,-1,0,0
0,67,560,1,0,0
0,68,2900,1,0,0
0,69,2140,1,0,0
0,70,2660,-1,0,0
0,71,9560,-1,0,0
0,72,790,-1,0,0
0,73,2510,1,0,0
0,74,2910,1,0,0
0,75,930,-1,0,0
0,76,300,1,0,0
0,77,2440,1,0,0
0,78,4920,-1,0,0
0,79,3850,-1,0,0
0,80,1060,-1,0,0
0,81,2090,-1,0,0
0,82,880,1,0,0
0,83,1670,-1,0,0
0,84,1260,1,0,0
0,85,2630,-1,0,0
0,86,8220,1,0,0
0,87,4080,-1,0,0
0,88,830,-1,0,0
0,89,2850,-1,0,0
0,90,1100,-1,0,0
0,91,3010,-1,0,0
0,92,12230,-1,0,0
0,93,1560,-1,0,0
0,94,4530,1,0,0
0,95,1180,-1,0,0
0,96,890,-1,0,0
0,97,2750,-1,0,0
0,98,1350,-1,0,0
0,99,1190,1,0,0
0,100,6400,-1,0,1
0,101,2270,-1,0,1
0,102,680,1,0,1
0,103,1040,1,0,1
0,104,4120,-1,0,1
0,105,1370,1,0,1
0,106,3740,1,0,1
0,107,1920,1,0,1
0,108,2320,1,0,1
0,109,9820,-1,0,1
0,110,3800,-1,0,1
0,111,6580,1,0,1
0,112,3830,-1,0,1
0,113,720,1,0,1
0,114,5220,1,0,1
0,115,1530,-1,0,1
0,116,800,-1,0,1
0,117,720,1,0,1
0,118,950,-1,0,1
0,119,660,1,0,1
0,120,1320,-1,0,1
0,121,1180,1,0,1
0,122,1800,1,0,1
0,123,4220,-1,0,1
0,124,4740,1,0,1
0,125,6990,1,0,1
0,126,3210,1,0,1
0,127,2480,-1,0,1
0,128,2580,1,0,1
0,129,1150,1,0,1
0,130,3100,1,0,1
0,131,8120,-1,0,1
0,132,9330,1,0,1
0,133,2530,1,0,1
0,134,1690,-1,0,1
0,135,1490,-1,0,1
0,136,2970,1,0,1
0,137,3870,1,0,1
0,138,3360,-1,0,1
0,139,1140,1,0,1
0,140,7850,1,0,1
0,141,1030,-1,0,1
0,142,3910,1,0,1
0,143,1990,1,0,1
0,144,4400,-1,0,1
0,145,920,1,0,1
0,146,810,1,0,1
0,147,1110,1,0,1
0,148,410,1,0,1
0,149,2750,1,0,1
0,150,3230,1,0,1
0,151,730,-1,0,1
0,152,5180,1,0,1
0,153,5330,-1,0,1
0,154,3880,1,0,1
0,155,1610,1,0,1
0,156,3070,1,0,1
0,157,800,1,0,1
0,158,2760,1,0,1
0,159,5400,-1,0,1
0,160,8790,-1,0,1
0,161,2250,-1,0,1
0,162,1670,1,0,1
0,163,490,1,0,1
0,164,5190,-1,0,1
0,165,3140,1,0,1
0,166,740,1,0,1
0,167,4720,1,0,1
0,168,4380,1,0,1
0,169,1240,1,0,1
0,170,860,1,0,1
0,171,6770,1,0,1
0,172,8410,-1,0,1
