parcode,trial,fix_item,fix_time
0,0,0,440
0,0,1,310
0,0,0,260
0,0,2,230
0,0,0,210
0,0,1,390
0,0,0,260
0,0,2,390
0,0,0,210
0,0,1,350
0,0,0,210
0,0,2,310
0,0,0,10
0,1,0,260
0,1,1,310
0,1,0,260
0,1,2,230
0,1,0,260
0,1,1,390
0,1,0,210
0,1,2,350
0,1,0,260
0,1,1,310
0,1,0,260
0,1,2,570
0,1,0,30
0,2,0,600
0,2,1,310
0,2,0,210
0,2,2,230
0,2,0,210
0,2,1,310
0,2,0,200
0,3,0,270
0,3,1,310
0,3,0,260
0,3,2,150
0,4,0,370
0,4,1,310
0,4,0,210
0,4,2,230
0,4,0,210
0,4,1,190
0,4,0,210
0,4,2,190
0,4,0,30
0,5,0,600
0,5,1,310
0,5,0,260
0,5,2,230
0,5,0,240
0,6,0,460
0,6,1,310
0,6,0,210
0,6,2,230
0,6,0,260
0,6,1,390
0,6,0,210
0,6,2,310
0,6,0,210
0,6,1,350
0,6,0,210
0,6,2,250
0,6,0,10
0,7,0,400
0,8,0,250
0,8,1,310
0,8,0,260
0,8,2,230
0,8,0,260
0,8,1,340
0,8,0,210
0,8,2,180
0,8,0,260
0,8,1,250
0,8,0,210
0,8,2,340
0,8,0,210
0,8,1,270
0,9,0,380
0,9,1,310
0,9,0,210
0,9,2,230
0,9,0,160
0,10,0,330
0,10,1,310
0,10,0,210
0,10,2,230
0,10,0,260
0,10,1,500
0,11,0,380
0,11,1,310
0,11,0,210
0,11,2,230
0,11,0,260
0,11,1,350
0,11,0,210
0,11,2,340
0,11,0,40
0,12,0,280
0,12,1,310
0,12,0,260
0,12,2,230
0,12,0,260
0,12,1,270
0,13,0,260
0,13,1,310
0,13,0,260
0,13,2,230
0,13,0,260
0,13,1,390
0,13,0,250
0,14,0,390
0,14,1,310
0,14,0,210
0,14,2,230
0,14,0,210
0,14,1,390
0,14,0,260
0,14,2,570
0,14,0,210
0,14,1,50
0,15,0,600
0,15,1,310
0,15,0,210
0,15,2,230
0,15,0,210
0,15,1,180
0,15,0,210
0,15,2,340
0,15,0,140
0,16,0,330
0,16,1,310
0,16,0,260
0,16,2,230
0,16,0,210
0,16,1,180
0,16,0,20
0,17,0,370
0,17,1,310
0,17,0,210
0,17,2,230
0,17,0,210
0,17,1,350
0,17,0,210
0,17,2,180
0,17,0,210
0,18,0,270
0,18,1,310
0,18,0,210
0,18,2,230
0,18,0,120
0,19,0,260
0,19,1,310
0,19,0,260
0,19,2,230
0,19,0,260
0,19,1,190
0,19,0,210
