parcode,trial,fix_item,fix_time
0,0,0,0
0,0,1,750
0,0,0,230
0,0,2,390
0,1,0,200
0,1,2,770
0,1,0,190
0,1,1,560
0,1,0,20
0,2,0,230
0,2,2,520
0,2,0,260
0,2,1,560
0,2,0,230
0,2,2,540
0,3,0,0
0,3,1,600
0,3,0,180
0,3,2,870
0,3,0,420
0,3,1,850
0,3,0,230
0,3,2,1530
0,3,0,260
0,3,1,370
0,3,0,230
0,3,2,1530
0,3,0,190
0,3,1,850
0,3,0,90
0,4,0,250
0,4,1,900
0,4,0,190
0,4,2,870
0,4,0,420
0,4,1,310
0,5,0,230
0,5,1,630
0,5,0,260
0,5,2,420
0,6,0,240
0,6,2,770
0,6,0,420
0,6,1,560
0,6,0,190
0,6,2,1530
0,6,0,260
0,6,1,370
0,6,0,190
0,6,2,1530
0,6,0,260
0,6,1,1510
0,6,0,230
0,6,2,290
0,7,0,250
0,7,1,900
0,7,0,180
0,7,2,870
0,7,0,190
0,7,1,850
0,7,0,180
0,7,2,910
0,8,0,240
0,8,1,600
0,8,0,260
0,8,2,1280
0,8,0,420
0,8,1,1510
0,8,0,420
0,8,2,1530
0,8,0,260
0,8,1,370
0,8,0,420
0,8,2,1530
0,8,0,260
0,8,1,370
0,8,0,230
0,8,2,1530
0,8,0,180
0,8,1,850
0,8,0,260
0,8,2,1530
0,8,0,180
0,8,1,370
0,8,0,180
0,8,2,550
0,9,0,230
0,9,1,450
0,9,0,180
0,9,2,870
0,9,0,260
0,9,1,170
0,10,0,230
0,10,1,750
0,10,0,190
0,10,2,1280
0,10,0,230
0,10,1,1510
0,10,0,190
0,10,2,1390
0,11,0,980
0,11,1,600
0,11,0,420
0,11,2,870
0,11,0,190
0,11,1,1510
0,11,0,260
0,11,2,200
0,12,0,0
0,12,2,770
0,12,0,180
0,12,1,880
0,13,0,200
0,13,1,750
0,13,0,140
0,14,0,180
0,14,1,750
0,14,0,180
0,14,2,870
0,14,0,230
0,14,1,850
0,14,0,230
0,14,2,1530
0,14,0,190
0,14,1,850
0,14,0,230
0,14,2,1530
0,14,0,260
0,14,1,370
0,14,0,180
0,14,2,1530
0,14,0,420
0,14,1,850
0,14,0,230
0,14,2,1530
0,14,0,190
0,14,1,850
0,14,0,230
0,14,2,1530
0,14,0,150
0,15,0,0
0,15,1,600
0,15,0,260
0,15,2,870
0,15,0,230
0,15,1,80
0,16,0,980
0,16,1,560
0,16,0,190
0,16,2,1280
0,16,0,420
0,16,1,1510
0,16,0,420
0,16,2,1530
0,16,0,190
0,16,1,850
0,16,0,90
0,17,0,250
0,17,2,760
0,18,0,200
0,18,1,600
0,18,0,180
0,18,2,1280
0,18,0,420
0,18,1,1510
0,18,0,260
0,18,2,1530
0,18,0,190
0,18,1,410
0,19,0,200
0,19,1,560
0,19,0,230
0,19,2,1280
0,19,0,230
0,19,1,370
0,19,0,420
0,19,2,990
0,20,0,200
0,20,1,900
0,20,0,190
0,20,2,1280
0,20,0,190
0,20,1,370
0,20,0,260
0,20,2,1420
0,21,0,220
0,21,2,520
0,21,0,180
0,21,1,1090
0,21,0,420
0,21,2,40
0,22,0,240
0,22,1,900
0,22,0,420
0,22,2,870
0,22,0,160
0,23,0,250
0,23,1,450
0,23,0,180
0,23,2,1280
0,23,0,420
0,23,1,370
0,24,0,250
0,24,1,600
0,24,0,260
0,24,2,870
0,24,0,190
0,24,1,800
0,25,0,230
0,25,1,630
0,25,0,180
0,25,2,1110
0,26,0,200
0,26,1,450
0,26,0,180
0,26,2,1070
0,27,0,220
0,27,1,630
0,27,0,260
0,27,2,870
0,27,0,180
0,27,1,580
0,28,0,220
0,28,2,520
0,28,0,260
0,28,1,410
0,29,0,210
0,29,1,600
0,29,0,230
0,29,2,610
0,30,0,0
0,30,1,450
0,30,0,180
0,30,2,1280
0,30,0,190
0,30,1,520
0,31,0,250
0,31,1,450
0,31,0,190
0,31,2,690
0,32,0,220
0,32,1,900
0,32,0,230
0,32,2,870
0,32,0,190
0,32,1,1160
0,33,0,0
0,33,1,600
0,33,0,180
0,33,2,870
0,33,0,140
0,34,0,250
0,34,1,450
0,34,0,420
0,34,2,870
0,34,0,420
0,34,1,140
0,35,0,0
0,35,1,450
0,35,0,420
0,35,2,870
0,35,0,230
0,35,1,480
0,36,0,400
0,36,1,600
0,36,0,180
0,36,2,1280
0,36,0,190
0,36,1,850
0,36,0,420
0,36,2,80
0,37,0,260
0,37,1,600
0,37,0,190
0,37,2,1280
0,37,0,260
0,37,1,370
0,37,0,230
0,37,2,1530
0,37,0,420
0,37,1,1510
0,37,0,190
0,37,2,980
0,38,0,310
0,38,2,520
0,38,0,150
0,39,0,220
0,39,1,750
0,39,0,230
0,40,0,240
0,40,1,600
0,40,0,230
0,40,2,870
0,40,0,260
0,40,1,1510
0,40,0,210
0,41,0,220
0,41,1,560
0,41,0,190
0,41,2,870
0,41,0,230
0,41,1,590
0,42,0,350
