parcode,trial,fix_item,fix_time
0,0,0,240
0,0,1,620
0,0,0,190
0,0,2,1000
0,0,0,660
0,0,1,450
0,0,0,170
0,0,2,430
0,0,0,180
0,0,1,1280
0,0,0,360
0,0,2,660
0,0,0,310
0,0,1,790
0,1,0,0
0,1,1,250
0,1,0,220
0,1,2,1770
0,2,0,220
0,2,1,720
0,3,0,0
0,3,2,750
0,3,0,220
0,3,1,1070
0,3,0,170
0,3,2,1820
0,4,0,220
0,4,2,400
0,4,0,130
0,4,1,1870
0,5,0,0
0,5,2,450
0,5,0,320
0,5,1,560
0,5,0,110
0,5,2,510
0,6,0,190
0,6,1,750
0,6,0,210
0,6,2,380
0,7,0,160
0,7,2,600
0,7,0,390
0,7,1,620
0,7,0,180
0,7,2,1350
0,7,0,230
0,7,1,710
0,7,0,40
0,8,0,230
0,8,2,610
0,8,0,320
0,8,1,1010
0,9,0,0
0,9,2,530
0,9,0,100
0,9,1,650
0,9,0,230
0,9,2,440
0,9,0,360
0,9,1,1170
0,9,0,320
0,9,2,860
0,9,0,210
0,9,1,200
0,9,0,100
0,10,0,340
0,10,2,450
0,10,0,60
0,10,1,750
0,10,0,480
0,10,2,1960
0,10,0,160
0,10,1,1630
0,10,0,940
0,10,2,2100
0,11,0,0
0,11,2,530
0,11,0,800
0,11,1,110
0,12,0,0
0,12,1,360
0,12,0,280
0,12,2,2060
0,12,0,490
0,12,1,1620
0,12,0,340
0,12,2,1110
0,12,0,360
0,12,1,310
0,13,0,420
0,13,2,870
0,13,0,580
0,13,1,660
0,13,0,170
0,14,0,440
0,14,2,170
0,14,0,450
0,14,1,1420
0,14,0,260
0,14,2,2020
0,14,0,120
0,14,1,200
0,14,0,90
0,14,2,680
0,14,0,250
0,14,1,610
0,14,0,230
0,14,2,300
0,14,0,270
0,14,1,540
0,14,0,320
0,14,2,850
0,14,0,870
0,15,0,210
0,15,2,260
0,15,0,180
0,15,1,480
0,15,0,490
0,15,2,350
0,16,0,600
0,16,2,490
0,16,0,360
0,16,1,650
0,16,0,270
0,16,2,270
0,16,0,500
0,16,1,1550
0,16,0,240
0,16,2,970
0,16,0,130
0,16,1,750
0,16,0,280
0,16,2,870
0,16,0,270
0,16,1,1030
0,16,0,240
0,16,2,950
0,16,0,440
0,16,1,1010
0,16,0,1020
0,16,2,130
0,16,0,410
0,16,1,610
0,16,0,230
0,16,2,840
0,16,0,160
0,16,1,90
0,17,0,0
0,17,2,470
0,17,0,270
0,17,1,1610
0,17,0,350
0,17,2,770
0,17,0,140
0,17,1,900
0,17,0,130
0,17,2,1380
0,17,0,90
0,18,0,0
0,18,1,520
0,18,0,320
0,18,2,470
0,18,0,310
0,18,1,380
0,18,0,540
0,18,2,2470
0,18,0,130
0,18,1,760
0,18,0,50
0,19,0,490
0,19,1,860
0,19,0,1020
0,19,2,590
0,19,0,460
0,20,0,0
0,20,2,930
0,20,0,320
0,20,1,1320
0,20,0,90
0,20,2,1170
0,20,0,120
0,21,0,0
0,21,1,700
0,21,0,230
0,21,2,1050
0,21,0,1340
0,21,1,690
0,21,0,230
0,21,2,950
0,21,0,240
0,21,1,350
0,21,0,360
0,21,2,1070
0,22,0,0
0,22,2,710
0,22,0,190
0,22,1,1000
0,22,0,140
0,22,2,410
0,22,0,160
0,23,0,260
0,23,1,180
0,23,0,180
0,23,2,560
0,23,0,660
0,23,1,660
0,24,0,0
0,24,1,180
0,24,0,140
0,24,2,540
0,24,0,300
0,24,1,430
0,24,0,490
0,24,2,2690
0,24,0,190
0,24,1,850
0,24,0,250
0,24,2,1340
0,24,0,610
0,24,1,1130
0,24,0,90
0,25,0,0
0,25,1,610
0,25,0,120
0,25,2,1290
0,25,0,420
0,25,1,610
0,25,0,310
0,25,2,180
0,25,0,250
0,25,1,290
0,25,0,170
0,25,2,750
0,25,0,140
0,25,1,1030
0,25,0,280
0,25,2,700
0,25,0,900
0,25,1,130
0,25,0,290
0,25,2,420
0,26,0,480
0,26,1,480
0,26,0,160
0,27,0,200
0,27,2,40
0,27,0,150
0,27,1,730
0,27,0,210
0,27,2,690
0,27,0,130
0,27,1,940
0,27,0,200
0,27,2,590
0,27,0,240
0,27,1,1220
0,27,0,320
0,27,2,200
0,27,0,200
0,27,1,700
0,27,0,240
0,28,0,0
0,28,1,560
0,28,0,120
0,28,2,660
0,28,0,280
0,28,1,1100
0,28,0,310
0,28,2,1030
0,29,0,0
0,29,1,2370
0,29,0,20
0,30,0,340
0,30,1,400
0,30,0,510
0,30,2,1540
0,31,0,170
0,31,1,620
0,31,0,110
0,31,2,630
0,31,0,20
0,32,0,0
0,32,2,450
0,32,0,180
0,32,1,1040
0,32,0,140
0,32,2,200
0,32,0,140
0,32,1,500
0,32,0,170
0,32,2,610
0,33,0,270
0,33,2,940
0,33,0,260
0,33,1,1020
0,33,0,140
0,33,2,500
0,33,0,70
0,33,1,150
0,33,0,230
0,33,2,470
0,33,0,280
0,33,1,660
0,33,0,300
0,33,2,1580
0,33,0,160
0,33,1,540
0,33,0,170
0,33,2,870
0,33,0,220
0,33,1,490
0,33,0,400
0,33,2,700
0,33,0,440
0,33,1,500
0,34,0,320
0,34,2,1310
0,34,0,270
0,34,1,950
0,34,0,320
0,34,2,610
0,34,0,620
0,34,1,350
0,34,0,350
0,34,2,840
0,34,0,230
0,34,1,1960
0,34,0,760
0,34,2,320
0,35,0,290
0,35,1,700
0,35,0,250
0,35,2,790
0,36,0,340
0,36,1,490
0,36,0,210
0,36,2,550
0,37,0,0
0,37,1,550
0,37,0,360
0,37,2,1190
0,38,0,230
0,38,2,600
0,38,0,100
0,38,1,1000
0,38,0,300
0,38,2,340
0,38,0,650
0,38,1,350
0,38,0,130
0,38,2,160
0,38,0,380
0,38,1,460
0,38,0,530
0,38,2,1300
0,38,0,130
0,38,1,630
0,39,0,0
0,39,2,450
0,39,0,540
0,39,1,610
0,39,0,320
0,39,2,150
0,39,0,450
0,39,1,600
0,39,0,450
0,39,2,1010
0,39,0,450
0,39,1,840
0,39,0,210
0,39,2,900
0,39,0,290
0,39,1,1000
0,39,0,400
0,39,2,1520
0,39,0,490
0,39,1,910
0,39,0,80
0,39,2,1010
0,39,0,160
0,39,1,1620
0,39,0,120
0,39,2,870
0,39,0,430
0,39,1,700
0,39,0,180
0,39,2,2500
0,39,0,270
0,39,1,1090
0,39,0,80
0,39,2,1220
0,39,0,490
0,39,1,750
0,39,0,280
0,39,2,270
0,40,0,240
0,40,2,1690
0,40,0,150
0,40,1,1560
0,40,0,780
0,40,2,540
0,40,0,570
0,40,1,570
0,40,0,240
0,40,2,370
0,40,0,380
0,40,1,380
0,40,0,290
0,40,2,190
0,40,0,190
0,40,1,1010
0,40,0,390
0,40,2,240
0,41,0,310
0,41,1,750
0,41,0,1140
0,41,2,970
0,41,0,290
0,41,1,990
0,41,0,160
0,41,2,100
0,42,0,220
0,42,1,320
0,42,0,480
0,42,2,910
0,42,0,280
0,42,1,740
0,42,0,110
0,42,2,460
0,42,0,380
0,42,1,740
0,42,0,170
0,42,2,1600
0,42,0,1620
0,42,1,1130
0,43,0,0
0,43,2,470
0,43,0,210
0,43,1,610
0,43,0,110
0,43,2,400
0,43,0,110
0,43,1,280
0,43,0,170
0,43,2,910
0,43,0,250
0,43,1,270
0,43,0,160
0,43,2,160
0,44,0,230
0,44,2,540
0,44,0,490
0,44,1,750
0,44,0,290
0,44,2,670
0,44,0,210
0,44,1,560
0,44,0,910
0,44,2,680
0,44,0,630
0,45,0,0
0,45,2,170
0,45,0,230
0,45,1,480
0,45,0,400
0,45,2,180
0,45,0,80
0,45,1,480
0,45,0,270
0,45,2,1300
0,45,0,280
0,45,1,690
0,45,0,180
0,45,2,540
0,45,0,280
0,45,1,1390
0,46,0,200
0,46,2,410
0,46,0,700
0,46,1,1140
0,47,0,0
0,47,2,340
0,47,0,230
0,47,1,950
0,48,0,0
0,48,1,610
0,48,0,220
0,48,2,2120
0,48,0,340
0,48,1,380
0,48,0,110
0,48,2,420
0,48,0,200
0,48,1,580
0,49,0,0
0,49,2,470
0,49,0,290
0,50,0,2440
0,51,0,0
0,51,2,880
0,51,0,150
0,51,1,1110
0,51,0,490
0,51,2,280
0,51,0,940
0,51,1,480
0,52,0,0
0,52,1,690
0,52,0,320
0,52,2,660
0,52,0,60
0,53,0,0
0,53,1,980
