parcode,trial,rt,choice,item_left,item_right
0,0,1900,-1,0,0
0,1,2190,1,0,0
0,2,1150,-1,0,0
0,3,440,-1,0,0
0,4,7030,-1,0,0
0,5,3280,-1,0,0
0,6,2540,-1,0,0
0,7,8540,1,0,0
0,8,2150,1,0,0
0,9,960,-1,0,0
0,10,3540,-1,0,0
0,11,5320,-1,0,0
0,12,3680,-1,0,0
0,13,3690,1,0,0
0,14,510,-1,0,0
0,15,1500,-1,0,0
0,16,6430,-1,0,0
0,17,2120,1,0,0
0,18,4100,1,0,0
0,19,2520,1,0,0
0,20,2920,1,0,0
0,21,2070,-1,0,0
0,22,2330,1,0,0
0,23,4590,-1,0,0
0,24,2940,1,0,0
0,25,1320,1,0,0
0,26,950,1,0,0
0,27,1670,1,0,0
0,28,3520,1,0,0
0,29,4480,-1,0,0
0,30,1750,-1,0,0
0,31,8950,-1,0,0
0,32,360,1,0,0
0,33,800,1,0,0
0,34,4950,1,0,0
0,35,2770,1,0,0
0,36,3530,1,0,0
0,37,1890,1,0,0
0,38,3030,-1,0,0
0,39,2160,1,0,0
0,40,3060,1,0,0
0,41,3350,-1,0,0
0,42,1200,-1,0,0
0,43,3230,-1,0,0
0,44,540,-1,0,0
0,45,910,1,0,0
0,46,10270,1,0,0
0,47,2220,1,0,0
0,48,5200,-1,0,0
0,49,1200,1,0,0
0,50,2110,1,0,0
0,51,1060,-1,0,0
0,52,1570,-1,0,0
0,53,2110,1,0,0
0,54,8040,-1,0,0
0,55,3040,-1,0,0
0,56,4670,1,0,0
0,57,2970,1,0,0
0,58,2750,1,0,0
0,59,1560,-1,0,0
0,60,1610,-1,0,0
0,61,1400,1,0,0
0,62,260,-1,0,0
0,63,2560,-1,0,0
0,64,1600,-1,0,0
0,65,1580,-1,0,0
0,66,3140,1,0,0
0,67,2720,1,0,0
0,68,960,1,0,0
0,69,3180,1,0,0
0,70,3590,-1,0,0
0,71,860,1,0,0
0,72,4390,-1,0,0
0,73,5730,1,0,0
0,74,1490,-1,0,0
0,75,1070,-1,0,0
0,76,2010,-1,0,0
0,77,2200,-1,0,0
0,78,1270,1,0,0
0,79,6690,1,0,0
0,80,8490,1,0,0
0,81,1570,-1,0,0
0,82,2650,1,0,0
0,83,370,1,0,0
0,84,2600,1,0,0
0,85,4420,-1,0,0
0,86,7110,1,0,0
0,87,660,-1,0,0
0,88,4460,1,0,0
0,89,2470,1,0,0
0,90,3980,1,0,0
0,91,520,-1,0,0
0,92,5910,1,0,0
0,93,1500,-1,0,0
0,94,1050,1,0,0
0,95,800,1,0,0
0,96,1660,1,0,0
0,97,4060,1,0,0
0,98,1040,-1,0,0
0,99,1200,-1,0,0
0,100,4610,-1,0,0
0,101,6760,-1,0,0
0,102,2090,-1,0,0
0,103,1960,1,0,0
0,104,400,-1,0,0
0,105,600,1,0,0
0,106,2480,1,0,0
0,107,900,-1,0,0
0,108,1040,-1,0,0
0,109,1080,1,0,0
0,110,2500,1,0,0
0,111,2950,1,0,0
0,112,3170,1,0,0
0,113,2310,-1,0,0
0,114,5560,-1,0,0
0,115,6010,1,0,0
0,116,2110,-1,0,0
0,117,3430,-1,0,0
0,118,5170,1,0,0
0,119,4180,1,0,0
0,120,8260,-1,0,0
0,121,2670,-1,0,0
0,122,3000,-1,0,0
0,123,6970,-1,0,0
0,124,5370,-1,0,0
0,125,900,-1,0,0
0,126,5510,-1,0,0
0,127,760,-1,0,0
0,128,1960,1,0,0
0,129,860,-1,0,0
0,130,3770,1,0,0
0,131,720,1,0,0
0,132,840,-1,0,0
0,133,5200,-1,0,0
0,134,700,-1,0,0
0,135,1870,-1,0,0
0,136,820,1,0,0
0,137,4150,1,0,0
0,138,730,1,0,0
0,139,9780,-1,0,0
0,140,1220,-1,0,0
0,141,1740,1,0,0
0,142,2970,-1,0,0
0,143,360,-1,0,0
0,144,2980,-1,0,0
0,145,2490,1,0,0
0,146,5180,-1,0,0
0,147,1020,-1,0,0
0,148,1350,1,0,0
0,149,1000,-1,0,0
0,150,7130,-1,0,0
0,151,1470,-1,0,0
0,152,1020,-1,0,0
0,153,2450,-1,0,0
0,154,1160,1,0,0
0,155,1760,-1,0,0
0,156,3200,-1,0,0
0,157,9060,1,0,0
0,158,2900,-1,0,0
0,159,1610,1,0,0
0,160,6120,1,0,0
0,161,5110,-1,0,0
0,162,4770,-1,0,0
0,163,1920,1,0,0
0,164,14750,1,0,0
0,165,920,-1,0,0
0,166,1110,1,0,0
0,167,740,-1,0,0
0,168,4650,1,0,0
0,169,2710,-1,0,0
0,170,1690,1,0,0
0,171,4200,-1,0,0
0,172,1210,1,0,0
0,173,1930,-1,0,0
0,174,700,-1,0,0
0,175,1850,-1,0,0
0,176,6120,1,0,0
0,177,2630,1,0,0
0,178,4650,1,0,0
0,179,1760,1,0,0
0,180,1980,-1,0,0
0,181,2040,1,0,0
0,182,3890,-1,0,0
0,183,2350,1,0,0
0,184,910,1,0,0
0,185,1820,-1,0,0
0,186,2070,-1,0,0
0,187,3460,-1,0,0
0,188,2570,1,0,0
0,189,4400,-1,0,0
0,190,3770,1,0,0
0,191,840,-1,0,0
0,192,4560,-1,0,0
0,193,570,-1,0,0
0,194,2360,-1,0,0
0,195,6630,-1,0,0
0,196,980,-1,0,0
0,197,1810,-1,0,0
0,198,1490,1,0,0
0,199,2560,1,0,0
0,200,3200,-1,0,1
0,201,2160,-1,0,1
0,202,4330,1,0,1
0,203,1370,1,0,1
0,204,480,1,0,1
0,205,860,1,0,1
0,206,1780,1,0,1
0,207,1280,1,0,1
0,208,4510,1,0,1
0,209,480,-1,0,1
0,210,1740,1,0,1
0,211,3610,1,0,1
0,212,2480,1,0,1
0,213,1790,1,0,1
0,214,2540,1,0,1
0,215,2250,1,0,1
0,216,830,1,0,1
0,217,2500,1,0,1
0,218,11080,1,0,1
0,219,2990,1,0,1
0,220,1710,1,0,1
0,221,780,-1,0,1
0,222,1370,1,0,1
0,223,1560,-1,0,1
0,224,960,1,0,1
0,225,1340,-1,0,1
0,226,3010,-1,0,1
0,227,340,1,0,1
0,228,2280,1,0,1
0,229,1200,1,0,1
0,230,3860,1,0,1
0,231,1690,-1,0,1
0,232,3580,1,0,1
0,233,1650,1,0,1
0,234,2270,-1,0,1
0,235,960,1,0,1
0,236,2550,1,0,1
0,237,3560,1,0,1
0,238,5680,1,0,1
0,239,610,1,0,1
0,240,2230,1,0,1
0,241,620,1,0,1
0,242,600,1,0,1
0,243,1140,1,0,1
0,244,3470,-1,0,1
0,245,1090,1,0,1
0,246,3150,-1,0,1
0,247,1130,1,0,1
0,248,810,-1,0,1
0,249,4490,-1,0,1
0,250,770,1,0,1
0,251,7610,1,0,1
0,252,1000,1,0,1
0,253,3350,1,0,1
0,254,610,1,0,1
0,255,2660,-1,0,1
0,256,2710,-1,0,1
0,257,2000,1,0,1
0,258,2020,1,0,1
0,259,1910,-1,0,1
0,260,2260,1,0,1
0,261,1180,1,0,1
0,262,1820,-1,0,1
0,263,2220,1,0,1
0,264,420,1,0,1
0,265,1860,1,0,1
0,266,690,1,0,1
0,267,1530,1,0,1
0,268,1480,1,0,1
0,269,5480,-1,0,1
0,270,1820,-1,0,1
0,271,1790,1,0,1
0,272,2660,1,0,1
0,273,10680,1,0,1
0,274,6620,1,0,1
0,275,2410,1,0,1
0,276,1430,1,0,1
0,277,1160,1,0,1
0,278,2020,1,0,1
0,279,2350,1,0,1
0,280,620,1,0,1
0,281,2470,1,0,1
0,282,5580,1,0,1
0,283,2400,1,0,1
0,284,4590,1,0,1
0,285,1500,1,0,1
0,286,1230,1,0,1
0,287,6260,1,0,1
0,288,2420,1,0,1
0,289,1560,-1,0,1
0,290,1620,1,0,1
0,291,4890,1,0,1
0,292,1040,1,0,1
0,293,930,-1,0,1
0,294,5030,1,0,1
0,295,7430,1,0,1
0,296,1580,1,0,1
0,297,1600,1,0,1
0,298,370,1,0,1
0,299,1160,-1,0,1
0,300,2990,1,0,1
0,301,11000,-1,0,1
0,302,1010,1,0,1
0,303,1710,-1,0,1
0,304,490,1,0,1
0,305,3380,-1,0,1
0,306,1660,1,0,1
0,307,920,-1,0,1
0,308,1070,1,0,1
0,309,1410,1,0,1
0,310,3070,1,0,1
0,311,1270,1,0,1
0,312,900,-1,0,1
0,313,8330,1,0,1
0,314,970,1,0,1
0,315,520,1,0,1
0,316,3370,-1,0,1
0,317,870,-1,0,1
0,318,8430,-1,0,1
0,319,1090,1,0,1
0,320,410,1,0,1
0,321,870,1,0,1
0,322,2870,1,0,1
0,323,3310,1,0,1
0,324,400,-1,0,1
0,325,5530,1,0,1
0,326,1710,1,0,1
0,327,570,-1,0,1
0,328,4610,1,0,1
0,329,860,1,0,1
0,330,3540,1,0,1
0,331,4050,-1,0,1
0,332,2070,1,0,1
0,333,14830,1,0,1
0,334,4690,-1,0,1
0,335,5210,1,0,1
0,336,1030,1,0,1
0,337,2690,1,0,1
0,338,1710,1,0,1
0,339,980,1,0,1
0,340,2030,-1,0,1
0,341,7190,1,0,1
0,342,7440,-1,0,1
0,343,7940,-1,0,1
0,344,3250,1,0,1
0,345,2960,-1,0,1
0,346,1810,1,0,1
0,347,9810,1,0,1
0,348,1870,1,0,1
0,349,1410,1,0,1
0,350,960,-1,0,1
0,351,7620,1,0,1
0,352,930,1,0,1
0,353,3560,1,0,1
0,354,940,1,0,1
0,355,5020,1,0,1
0,356,340,1,0,1
0,357,2440,1,0,1
0,358,4180,1,0,1
0,359,7300,1,0,1
0,360,360,-1,0,1
0,361,610,1,0,1
0,362,3920,1,0,1
0,363,1500,1,0,1
0,364,2440,-1,0,1
0,365,1050,1,0,1
0,366,2580,1,0,1
0,367,3980,1,0,1
0,368,5840,1,0,1
0,369,1850,1,0,1
0,370,1980,1,0,1
0,371,4230,-1,0,1
0,372,2120,1,0,1
0,373,1430,1,0,1
0,374,2310,1,0,1
0,375,430,-1,0,1
0,376,3560,-1,0,1
0,377,920,1,0,1
0,378,3700,1,0,1
0,379,760,1,0,1
0,380,1290,1,0,1
0,381,2350,1,0,1
0,382,1300,-1,0,1
0,383,2930,-1,0,1
0,384,4760,1,0,1
0,385,850,1,0,1
0,386,2580,1,0,1
0,387,1420,-1,0,1
0,388,3450,-1,0,1
0,389,400,1,0,1
0,390,5000,-1,0,1
0,391,2270,1,0,1
0,392,890,1,0,1
0,393,3050,1,0,1
0,394,1080,1,0,1
0,395,7670,1,0,1
0,396,1150,1,0,1
0,397,1310,-1,0,1
0,398,2160,-1,0,1
0,399,4360,1,0,1
0,400,2650,1,0,1
0,401,2690,1,0,1
0,402,1660,-1,0,1
0,403,11630,-1,0,1
0,404,3670,-1,0,1
0,405,1220,1,0,1
0,406,1730,-1,0,1
0,407,1250,-1,0,1
0,408,890,1,0,1
0,409,5100,1,0,1
0,410,2880,1,0,1
0,411,1280,1,0,1
0,412,1210,1,0,1
0,413,4070,1,0,1
0,414,1860,-1,0,1
0,415,1810,1,0,1
0,416,12240,-1,0,1
0,417,460,1,0,1
0,418,1050,1,0,1
0,419,3660,1,0,1
0,420,4050,1,0,1
0,421,14610,-1,0,1
0,422,5850,-1,0,1
0,423,990,-1,0,1
0,424,1900,1,0,1
0,425,810,1,0,1
0,426,1580,-1,0,1
0,427,7300,1,0,1
0,428,570,1,0,1
0,429,1830,1,0,1
0,430,2640,-1,0,1
0,431,2020,-1,0,1
0,432,490,1,0,1
0,433,2010,1,0,1
0,434,1890,1,0,1
0,435,1380,-1,0,1
0,436,1170,-1,0,1
0,437,3220,-1,0,1
0,438,1000,-1,0,1
0,439,3730,-1,0,1
0,440,4340,1,0,1
0,441,1820,1,0,1
0,442,1420,1,0,1
0,443,6120,1,0,1
0,444,2130,-1,0,1
0,445,2260,-1,0,1
0,446,1150,1,0,1
0,447,2990,1,0,1
0,448,5320,1,0,1
0,449,2420,-1,0,1
0,450,500,-1,0,1
0,451,3230,1,0,1
0,452,2610,1,0,1
0,453,2200,1,0,1
0,454,1990,1,0,1
0,455,3930,1,0,1
0,456,1210,-1,0,1
0,457,1670,-1,0,1
0,458,820,1,0,1
0,459,2320,-1,0,1
0,460,900,1,0,1
0,461,2260,-1,0,1
0,462,3700,-1,0,1
0,463,1680,-1,0,1
0,464,8070,-1,0,1
0,465,2120,-1,0,1
0,466,3710,-1,0,1
0,467,540,-1,0,1
0,468,4020,1,0,1
0,469,3160,-1,0,1
0,470,3740,1,0,1
0,471,2530,1,0,1
0,472,1060,1,0,1
0,473,1180,1,0,1
0,474,4080,1,0,1
0,475,6030,1,0,1
0,476,1820,-1,0,1
0,477,1500,1,0,1
0,478,1810,-1,0,1
0,479,7820,1,0,1
0,480,1890,1,0,1
0,481,13340,1,0,1
0,482,7270,1,0,1
0,483,5990,-1,0,1
0,484,640,1,0,1
0,485,2480,-1,0,1
0,486,2120,-1,0,1
0,487,3190,-1,0,1
0,488,2940,1,0,1
0,489,4180,-1,0,1
0,490,5710,-1,0,1
0,491,2300,1,0,1
0,492,3500,1,0,1
0,493,830,-1,0,1
0,494,1130,-1,0,1
0,495,5000,-1,0,1
0,496,6010,1,0,1
0,497,1610,1,0,1
0,498,580,1,0,1
0,499,1020,-1,0,1
0,500,1900,-1,0,1
0,501,1580,1,0,1
0,502,1270,-1,0,1
0,503,4260,1,0,1
0,504,3130,1,0,1
0,505,770,1,0,1
0,506,2530,-1,0,1
0,507,690,-1,0,1
0,508,1780,1,0,1
0,509,3420,1,0,1
0,510,1360,1,0,1
0,511,1750,1,0,1
0,512,820,1,0,1
0,513,5520,1,0,1
0,514,1430,1,0,1
0,515,5210,1,0,1
0,516,4440,-1,0,1
0,517,2280,1,0,1
0,518,1540,-1,0,1
0,519,4380,-1,0,1
0,520,1750,1,0,1
0,521,2130,1,0,1
0,522,3270,1,0,1
0,523,1380,1,0,1
0,524,550,-1,0,1
0,525,1180,-1,0,1
0,526,2220,1,0,1
0,527,1570,1,0,1
0,528,1140,1,0,1
0,529,1220,-1,0,1
0,530,2750,-1,0,1
0,531,5070,-1,0,1
0,532,2660,1,0,1
0,533,4740,1,0,1
0,534,970,1,0,1
0,535,820,1,0,1
0,536,1220,1,0,1
0,537,1670,1,0,1
0,538,3160,1,0,1
0,539,1210,1,0,1
0,540,760,-1,0,1
0,541,3290,1,0,1
0,542,1180,-1,0,1
0,543,2010,-1,0,1
0,544,680,1,0,1
0,545,1100,1,0,1
0,546,1340,1,0,1
0,547,780,1,0,1
0,548,1820,-1,0,1
0,549,1750,1,0,1
0,550,1570,1,0,1
0,551,2190,1,0,1
0,552,4780,1,0,1
0,553,4530,1,0,1
0,554,4130,1,0,1
0,555,6420,-1,0,1
0,556,3310,1,0,1
0,557,1920,-1,0,1
0,558,1450,1,0,1
0,559,1300,-1,0,1
0,560,9760,-1,0,1
0,561,3030,1,0,1
0,562,4650,1,0,1
0,563,2000,1,0,1
0,564,1150,1,0,1
0,565,2930,1,0,1
0,566,1570,-1,0,1
0,567,4500,1,0,1
0,568,2540,1,0,1
0,569,3680,1,0,1
0,570,780,-1,0,1
0,571,2900,1,0,1
0,572,7590,-1,0,1
0,573,1160,1,0,1
0,574,4270,1,0,1
0,575,2040,1,0,1
0,576,600,1,0,1
0,577,850,-1,0,1
0,578,3640,1,0,1
0,579,2840,-1,0,1
0,580,2070,-1,0,1
0,581,420,1,0,1
0,582,2750,1,0,1
0,583,4390,1,0,1
0,584,980,-1,0,1
0,585,13860,-1,0,1
0,586,2320,1,0,1
0,587,850,1,0,1
0,588,2240,1,0,1
0,589,620,1,0,1
0,590,4980,1,0,1
0,591,9530,1,0,1
0,592,2380,1,0,1
0,593,1190,-1,0,1
0,594,5680,1,0,1
0,595,2840,1,0,1
0,596,950,-1,0,1
0,597,5350,1,0,1
0,598,470,-1,0,1
0,599,940,1,0,1
0,600,7730,1,0,2
0,601,1860,1,0,2
0,602,780,1,0,2
0,603,1470,1,0,2
0,604,1960,1,0,2
0,605,1860,1,0,2
0,606,7010,1,0,2
0,607,3570,-1,0,2
0,608,780,1,0,2
0,609,3970,1,0,2
0,610,1500,1,0,2
0,611,2870,1,0,2
0,612,420,1,0,2
0,613,820,1,0,2
0,614,390,1,0,2
0,615,1120,1,0,2
0,616,910,1,0,2
0,617,1010,1,0,2
0,618,2000,1,0,2
0,619,2900,1,0,2
0,620,870,1,0,2
0,621,3010,1,0,2
0,622,2050,1,0,2
0,623,1910,1,0,2
0,624,850,1,0,2
0,625,4620,1,0,2
0,626,7570,1,0,2
0,627,390,1,0,2
0,628,1800,1,0,2
0,629,1320,-1,0,2
0,630,2900,1,0,2
0,631,750,1,0,2
0,632,810,1,0,2
0,633,1740,-1,0,2
0,634,2140,1,0,2
0,635,1110,1,0,2
0,636,2520,1,0,2
0,637,510,1,0,2
0,638,540,1,0,2
0,639,830,1,0,2
0,640,1060,1,0,2
0,641,3500,1,0,2
0,642,3320,1,0,2
0,643,1140,-1,0,2
0,644,2250,1,0,2
0,645,3810,1,0,2
0,646,2420,1,0,2
0,647,2270,1,0,2
0,648,260,1,0,2
0,649,1490,-1,0,2
0,650,2620,1,0,2
0,651,2190,1,0,2
0,652,1060,1,0,2
0,653,470,-1,0,2
0,654,6660,1,0,2
0,655,8930,-1,0,2
0,656,710,1,0,2
0,657,320,-1,0,2
0,658,530,1,0,2
0,659,6660,1,0,2
0,660,600,-1,0,2
0,661,2220,1,0,2
0,662,580,1,0,2
0,663,4330,1,0,2
0,664,2920,1,0,2
0,665,2540,-1,0,2
0,666,660,1,0,2
0,667,2370,-1,0,2
0,668,2420,1,0,2
0,669,1480,1,0,2
0,670,390,-1,0,2
0,671,4100,-1,0,2
0,672,540,1,0,2
0,673,5830,1,0,2
0,674,3370,-1,0,2
0,675,1500,1,0,2
0,676,2710,1,0,2
0,677,4720,1,0,2
0,678,1260,-1,0,2
0,679,2230,1,0,2
0,680,2760,1,0,2
0,681,-3200,-1,0,2
0,682,2110,1,0,2
0,683,1150,1,0,2
0,684,570,1,0,2
0,685,3680,-1,0,2
0,686,1130,1,0,2
0,687,1930,1,0,2
0,688,1050,1,0,2
0,689,1940,1,0,2
0,690,2420,-1,0,2
0,691,6000,1,0,2
0,692,1390,1,0,2
0,693,2810,-1,0,2
0,694,1850,1,0,2
0,695,3330,1,0,2
0,696,2450,1,0,2
0,697,2880,-1,0,2
0,698,4740,1,0,2
0,699,9040,1,0,2
0,700,1470,1,0,2
0,701,1970,1,0,2
0,702,4240,1,0,2
0,703,480,1,0,2
0,704,940,1,0,2
0,705,3220,1,0,2
0,706,3420,1,0,2
0,707,1900,1,0,2
0,708,3430,1,0,2
0,709,1790,1,0,2
0,710,3830,1,0,2
0,711,1970,-1,0,2
0,712,1560,1,0,2
0,713,630,1,0,2
0,714,630,1,0,2
0,715,1400,1,0,2
0,716,4920,1,0,2
0,717,1140,1,0,2
0,718,1150,1,0,2
0,719,1320,-1,0,2
0,720,470,1,0,2
0,721,4960,1,0,2
0,722,1590,1,0,2
0,723,1330,1,0,2
0,724,3790,1,0,2
0,725,4710,1,0,2
0,726,830,1,0,2
0,727,850,1,0,2
0,728,2520,1,0,2
0,729,1040,1,0,2
0,730,1940,1,0,2
0,731,5110,1,0,2
0,732,600,1,0,2
0,733,1550,1,0,2
0,734,3170,1,0,2
0,735,710,-1,0,2
0,736,1150,1,0,2
0,737,1010,-1,0,2
0,738,2010,1,0,2
0,739,1430,1,0,2
0,740,3400,1,0,2
0,741,3430,1,0,2
0,742,4540,1,0,2
0,743,3100,-1,0,2
0,744,2790,1,0,2
0,745,1890,1,0,2
0,746,2620,1,0,2
0,747,1020,1,0,2
0,748,1560,1,0,2
0,749,840,1,0,2
0,750,1070,1,0,2
0,751,1460,-1,0,2
0,752,1940,-1,0,2
0,753,620,1,0,2
0,754,2890,1,0,2
0,755,880,1,0,2
0,756,7500,1,0,2
0,757,910,1,0,2
0,758,3400,1,0,2
0,759,2180,1,0,2
0,760,1090,1,0,2
0,761,650,-1,0,2
0,762,3800,1,0,2
0,763,2550,1,0,2
0,764,10460,1,0,2
0,765,430,1,0,2
0,766,4840,1,0,2
0,767,990,1,0,2
0,768,3780,1,0,2
0,769,2760,1,0,2
0,770,820,1,0,2
0,771,1300,1,0,2
0,772,6440,1,0,2
0,773,2330,1,0,2
0,774,1930,1,0,2
0,775,1680,1,0,2
0,776,820,1,0,2
0,777,1220,1,0,2
0,778,4070,1,0,2
0,779,2720,1,0,2
0,780,4360,-1,0,2
0,781,3400,-1,0,2
0,782,1330,1,0,2
0,783,990,1,0,2
0,784,2450,1,0,2
0,785,450,1,0,2
0,786,2620,-1,0,2
0,787,1620,1,0,2
0,788,3340,1,0,2
0,789,1630,1,0,2
0,790,540,1,0,2
0,791,3410,1,0,2
0,792,3720,1,0,2
0,793,1880,1,0,2
0,794,3960,1,0,2
0,795,850,1,0,2
0,796,3390,1,0,2
0,797,5760,1,0,2
0,798,1990,-1,0,2
0,799,1680,1,0,2
0,800,650,-1,0,2
0,801,2930,1,0,2
0,802,7980,1,0,2
0,803,640,1,0,2
0,804,2620,1,0,2
0,805,1150,-1,0,2
0,806,10050,1,0,2
0,807,3830,1,0,2
0,808,1780,1,0,2
0,809,420,1,0,2
0,810,4090,1,0,2
0,811,2960,1,0,2
0,812,1970,1,0,2
0,813,4690,1,0,2
0,814,4450,-1,0,2
0,815,3100,1,0,2
0,816,3130,-1,0,2
0,817,1790,1,0,2
0,818,3280,-1,0,2
0,819,2390,1,0,2
0,820,3170,1,0,2
0,821,3620,1,0,2
0,822,5980,1,0,2
0,823,1290,1,0,2
0,824,980,1,0,2
0,825,980,1,0,2
0,826,2810,1,0,2
0,827,960,-1,0,2
0,828,2260,1,0,2
0,829,6500,-1,0,2
0,830,5290,1,0,2
0,831,1370,1,0,2
0,832,1280,1,0,2
0,833,390,1,0,2
0,834,1520,1,0,2
0,835,8330,1,0,2
0,836,5400,1,0,2
0,837,1280,-1,0,2
0,838,1440,1,0,2
0,839,1430,1,0,2
0,840,3540,1,0,2
0,841,1050,1,0,2
0,842,7210,1,0,2
0,843,3230,1,0,2
0,844,1020,1,0,2
0,845,1290,1,0,2
0,846,1960,1,0,2
