parcode,trial,fix_item,fix_time
0,0,0,230
0,0,1,550
0,0,0,300
0,0,2,540
0,0,0,150
0,0,1,130
0,1,0,0
0,1,1,680
0,1,0,530
0,1,2,980
0,2,0,0
0,2,1,760
0,2,0,240
0,2,2,150
0,3,0,440
0,4,0,0
0,4,1,660
0,4,0,800
0,4,2,610
0,4,0,320
0,4,1,580
0,4,0,220
0,4,2,590
0,4,0,90
0,4,1,690
0,4,0,280
0,4,2,970
0,4,0,800
0,4,1,420
0,5,0,0
0,5,1,750
0,5,0,580
0,5,2,1070
0,5,0,500
0,5,1,380
0,6,0,260
0,6,1,520
0,6,0,350
0,6,2,1350
0,6,0,60
0,7,0,250
0,7,1,550
0,7,0,130
0,7,2,710
0,7,0,330
0,7,1,850
0,7,0,190
0,7,2,590
0,7,0,790
0,7,1,560
0,7,0,320
0,7,2,180
0,7,0,350
0,7,1,2200
0,7,0,390
0,7,2,150
0,8,0,0
0,8,2,530
0,8,0,290
0,8,1,660
0,8,0,320
0,8,2,350
0,9,0,0
0,9,1,650
0,9,0,310
0,10,0,0
0,10,2,490
0,10,0,340
0,10,1,1040
0,10,0,240
0,10,2,1430
0,11,0,680
0,11,2,1860
0,11,0,160
0,11,1,640
0,11,0,140
0,11,2,620
0,11,0,320
0,11,1,840
0,11,0,60
0,12,0,600
0,12,1,980
0,12,0,230
0,12,2,750
0,12,0,1020
0,12,1,100
0,13,0,0
0,13,2,680
0,13,0,530
0,13,1,1060
0,13,0,350
0,13,2,1070
0,14,0,0
0,14,1,440
0,14,0,70
0,15,0,230
0,15,2,1240
0,15,0,30
0,16,0,200
0,16,1,620
0,16,0,250
0,16,2,650
0,16,0,230
0,16,1,630
0,16,0,400
0,16,2,2690
0,16,0,430
0,16,1,330
0,17,0,0
0,17,2,2010
0,17,0,110
0,18,0,0
0,18,1,300
0,18,0,140
0,18,2,1100
0,18,0,660
0,18,1,470
0,18,0,280
0,18,2,970
0,18,0,180
0,19,0,0
0,19,1,810
0,19,0,90
0,19,2,810
0,19,0,90
0,19,1,670
0,19,0,50
0,20,0,0
0,20,1,480
0,20,0,140
0,20,2,900
0,20,0,180
0,20,1,1220
0,21,0,270
0,21,1,390
0,21,0,140
0,21,2,620
0,21,0,540
0,21,1,110
0,22,0,0
0,22,2,980
0,22,0,320
0,22,1,1030
0,23,0,0
0,23,2,610
0,23,0,1020
0,23,1,720
0,23,0,200
0,23,2,1280
0,23,0,150
0,23,1,610
0,24,0,0
0,24,2,540
0,24,0,590
0,24,1,620
0,24,0,120
0,24,2,630
0,24,0,130
0,24,1,310
0,25,0,240
0,25,2,580
0,25,0,60
0,25,1,440
0,26,0,340
0,26,2,580
0,26,0,30
0,27,0,220
0,27,1,1450
0,28,0,0
0,28,1,470
0,28,0,280
0,28,2,840
0,28,0,520
0,28,1,1410
0,29,0,0
0,29,1,540
0,29,0,120
0,29,2,1030
0,29,0,230
0,29,1,2310
0,29,0,250
0,30,0,230
0,30,1,450
0,30,0,410
0,30,2,660
0,31,0,490
0,31,2,610
0,31,0,250
0,31,1,1200
0,31,0,140
0,31,2,510
0,31,0,170
0,31,1,1110
0,31,0,180
0,31,2,590
0,31,0,120
0,31,1,1150
0,31,0,310
0,31,2,480
0,31,0,620
0,31,1,970
0,31,0,50
0,32,0,0
0,32,1,360
0,33,0,390
0,33,1,410
0,34,0,190
0,34,2,930
0,34,0,100
0,34,1,1110
0,34,0,710
0,34,2,560
0,34,0,160
0,34,1,380
0,34,0,230
0,34,2,580
0,35,0,0
0,35,2,690
0,35,0,310
0,35,1,1450
0,35,0,320
0,36,0,0
0,36,2,780
0,36,0,280
0,36,1,950
0,36,0,890
0,36,2,630
0,37,0,20
0,37,1,10
0,37,0,170
0,37,2,910
0,37,0,300
0,37,1,480
0,38,0,630
0,38,2,910
0,38,0,370
0,38,1,1060
0,38,0,60
0,39,0,160
0,39,1,610
0,39,0,80
0,39,2,1310
0,40,0,0
0,40,1,420
0,40,0,160
0,40,2,1130
0,40,0,250
0,40,1,550
0,40,0,550
0,41,0,0
0,41,1,490
0,41,0,70
0,41,2,950
0,41,0,220
0,41,1,610
0,41,0,290
0,41,2,720
0,42,0,0
0,42,2,280
0,42,0,80
0,42,1,840
0,43,0,0
0,43,2,540
0,43,0,390
0,43,1,1610
0,43,0,100
0,43,2,590
0,44,0,260
0,44,2,280
0,45,0,0
0,45,2,130
0,45,0,150
0,45,1,550
0,45,0,80
0,46,0,0
0,46,1,870
0,46,0,650
0,46,2,670
0,46,0,160
0,46,1,840
0,46,0,270
0,46,2,510
0,46,0,440
0,46,1,940
0,46,0,150
0,46,2,630
0,46,0,620
0,46,1,2430
0,46,0,170
0,46,2,920
0,47,0,0
