parcode,trial,rt,choice,item_left,item_right
0,0,1210,1,0,0
0,1,3030,-1,0,0
0,2,6110,1,0,0
0,3,5220,1,0,0
0,4,8510,-1,0,0
0,5,7870,1,0,0
0,6,3670,1,0,0
0,7,2260,-1,0,0
0,8,4770,-1,0,0
0,9,2740,-1,0,0
0,10,4700,1,0,0
0,11,2330,-1,0,0
0,12,4410,1,0,0
0,13,1410,1,0,0
0,14,2980,1,0,0
0,15,4150,-1,0,0
0,16,1380,-1,0,0
0,17,2850,-1,0,0
0,18,4280,1,0,0
0,19,900,-1,0,0
0,20,1300,-1,0,0
0,21,7240,1,0,0
0,22,2050,1,0,0
0,23,2300,-1,0,0
0,24,3100,1,0,0
0,25,450,1,0,0
0,26,1910,-1,0,0
0,27,2030,-1,0,0
0,28,8670,1,0,0
0,29,1550,-1,0,0
0,30,8770,-1,0,0
0,31,2580,-1,0,0
0,32,680,-1,0,0
0,33,4910,-1,0,0
0,34,1660,-1,0,0
0,35,4310,-1,0,0
0,36,1570,-1,0,0
0,37,3070,-1,0,0
0,38,3350,-1,0,0
0,39,2030,-1,0,0
0,40,1910,-1,0,0
0,41,1200,-1,0,0
0,42,2670,-1,0,0
0,43,2630,-1,0,0
0,44,5680,-1,0,0
0,45,2360,-1,0,0
0,46,1880,1,0,0
0,47,610,1,0,0
0,48,3400,-1,0,0
0,49,3150,-1,0,0
0,50,3130,-1,0,0
0,51,1890,-1,0,0
0,52,2190,1,0,0
0,53,1300,1,0,0
0,54,3040,-1,0,0
0,55,880,1,0,0
0,56,4130,1,0,0
0,57,1230,-1,0,0
0,58,2050,-1,0,0
0,59,2260,-1,0,0
0,60,4490,1,0,0
0,61,1520,-1,0,0
0,62,910,-1,0,0
0,63,5100,1,0,0
0,64,3140,1,0,0
0,65,1850,-1,0,0
0,66,9660,1,0,0
0,67,2090,1,0,0
0,68,510,1,0,0
0,69,3550,1,0,0
0,70,550,-1,0,0
0,71,990,-1,0,0
0,72,1130,1,0,0
0,73,4200,-1,0,0
0,74,2240,1,0,0
0,75,770,-1,0,0
0,76,670,1,0,0
0,77,2810,1,0,0
0,78,9680,1,0,0
0,79,1570,-1,0,0
0,80,4030,1,0,0
0,81,2170,-1,0,0
0,82,1740,1,0,0
0,83,2200,1,0,0
0,84,920,1,0,0
0,85,600,-1,0,0
0,86,2200,1,0,0
0,87,2770,1,0,0
0,88,940,1,0,0
0,89,5430,1,0,0
0,90,4150,-1,0,0
0,91,1050,-1,0,0
0,92,2450,-1,0,0
0,93,1080,-1,0,0
0,94,5330,1,0,0
0,95,910,1,0,0
0,96,670,-1,0,0
0,97,920,-1,0,0
0,98,2350,-1,0,0
0,99,3790,-1,0,0
0,100,870,-1,0,0
0,101,810,1,0,0
0,102,1240,1,0,0
0,103,1610,1,0,0
0,104,3870,-1,0,0
0,105,2900,1,0,0
0,106,2570,-1,0,0
0,107,1840,1,0,0
0,108,2300,-1,0,0
0,109,1690,1,0,0
0,110,3880,1,0,0
0,111,2050,-1,0,0
0,112,4010,-1,0,0
0,113,790,1,0,0
0,114,6230,1,0,0
0,115,1950,1,0,0
0,116,7050,-1,0,0
0,117,1980,-1,0,0
0,118,7530,1,0,0
0,119,1440,-1,0,0
0,120,3970,1,0,0
0,121,2770,1,0,0
0,122,3090,1,0,0
0,123,2870,-1,0,0
0,124,2580,1,0,0
0,125,5480,1,0,0
0,126,400,1,0,0
0,127,1930,1,0,0
0,128,860,1,0,0
0,129,6500,1,0,0
0,130,2040,1,0,0
0,131,1290,-1,0,0
0,132,7630,1,0,0
0,133,3080,1,0,0
0,134,8330,1,0,0
0,135,5020,1,0,0
0,136,2400,-1,0,0
0,137,7350,1,0,0
0,138,7700,1,0,0
0,139,3170,-1,0,0
0,140,6140,1,0,0
0,141,7250,-1,0,0
0,142,2190,1,0,0
0,143,1600,-1,0,0
0,144,4250,1,0,0
0,145,910,1,0,0
0,146,1370,1,0,0
0,147,2220,1,0,0
0,148,410,1,0,0
0,149,3210,-1,0,0
0,150,1880,-1,0,0
0,151,3270,1,0,0
0,152,1050,1,0,0
0,153,1050,1,0,0
0,154,1140,-1,0,0
0,155,4700,1,0,0
0,156,3050,1,0,0
0,157,1900,1,0,0
0,158,1390,1,0,0
0,159,1060,1,0,0
0,160,1000,1,0,0
0,161,2400,1,0,0
0,162,4950,-1,0,0
0,163,1960,-1,0,0
0,164,2080,1,0,0
0,165,2180,-1,0,0
0,166,6910,-1,0,0
0,167,2550,-1,0,0
0,168,630,-1,0,0
0,169,1340,1,0,0
0,170,5690,-1,0,0
0,171,4130,-1,0,0
0,172,3020,1,0,0
0,173,7600,-1,0,0
0,174,5970,1,0,0
0,175,750,1,0,0
0,176,2660,1,0,0
0,177,2510,-1,0,0
0,178,2140,-1,0,0
0,179,8330,-1,0,0
0,180,3070,1,0,0
0,181,3270,-1,0,0
0,182,1980,-1,0,0
0,183,4190,1,0,0
0,184,3760,1,0,0
0,185,7380,1,0,0
0,186,1680,-1,0,0
0,187,560,1,0,0
0,188,3880,-1,0,0
0,189,1480,-1,0,0
0,190,450,-1,0,0
0,191,1460,-1,0,0
0,192,1140,1,0,0
0,193,1620,-1,0,0
0,194,11150,1,0,0
0,195,2630,1,0,0
0,196,4990,1,0,0
0,197,8840,-1,0,0
0,198,1800,1,0,0
0,199,1220,1,0,0
0,200,3380,1,0,0
0,201,880,-1,0,0
0,202,2380,1,0,0
0,203,1920,-1,0,0
0,204,2470,1,0,0
0,205,12060,-1,0,0
0,206,3910,-1,0,0
0,207,1270,-1,0,0
0,208,770,1,0,0
0,209,1350,-1,0,0
0,210,6640,1,0,0
0,211,1010,1,0,0
0,212,4530,1,0,0
0,213,5530,1,0,0
0,214,5990,-1,0,0
0,215,7950,-1,0,0
0,216,1980,1,0,0
0,217,1110,-1,0,0
0,218,3230,-1,0,0
0,219,9120,1,0,0
0,220,940,1,0,0
0,221,920,1,0,0
0,222,1950,1,0,0
0,223,1080,1,0,0
0,224,2820,-1,0,0
0,225,1400,-1,0,0
0,226,6490,-1,0,0
0,227,3030,-1,0,0
0,228,700,-1,0,0
0,229,9450,1,0,0
0,230,1590,1,0,0
0,231,1170,1,0,0
0,232,2270,1,0,0
0,233,1620,-1,0,0
0,234,4650,-1,0,0
0,235,8890,1,0,0
0,236,1630,1,0,0
0,237,1820,-1,0,0
0,238,900,-1,0,0
0,239,10100,1,0,0
0,240,2350,1,0,0
0,241,980,-1,0,0
0,242,2740,-1,0,0
0,243,1140,-1,0,0
0,244,2740,1,0,0
0,245,5640,-1,0,0
0,246,3430,1,0,0
0,247,2100,-1,0,0
0,248,1770,-1,0,0
0,249,3180,1,0,0
0,250,4020,-1,0,0
0,251,1470,1,0,0
0,252,1940,-1,0,0
0,253,850,1,0,0
0,254,880,1,0,0
0,255,1050,1,0,0
0,256,2270,-1,0,0
0,257,1260,-1,0,0
0,258,5290,1,0,0
0,259,1760,-1,0,0
0,260,4030,-1,0,0
0,261,3100,-1,0,0
0,262,1880,1,0,0
