parcode,trial,rt,choice,item_left,item_right
0,0,550,1,0,0
0,1,3050,-1,0,0
0,2,2480,1,0,0
0,3,660,1,0,0
0,4,1670,1,0,0
0,5,830,1,0,0
0,6,1750,1,0,0
0,7,5390,-1,0,0
0,8,2490,-1,0,0
0,9,840,1,0,0
0,10,1740,1,0,0
0,11,2800,-1,0,0
0,12,1760,1,0,0
0,13,2850,-1,0,0
0,14,1540,1,0,0
0,15,1100,1,0,0
0,16,2680,-1,0,0
0,17,2970,1,0,0
0,18,3930,-1,0,0
0,19,2440,-1,0,0
0,20,3260,1,0,0
0,21,2400,1,0,0
0,22,2660,1,0,0
0,23,5930,1,0,0
0,24,690,1,0,0
0,25,2010,-1,0,0
0,26,2970,1,0,0
0,27,1980,1,0,0
0,28,1590,-1,0,0
0,29,4840,1,0,0
0,30,1770,-1,0,0
0,31,2280,1,0,0
0,32,2850,-1,0,0
0,33,1170,1,0,0
0,34,1550,-1,0,0
0,35,1220,1,0,0
0,36,2010,1,0,0
0,37,2020,1,0,0
0,38,4330,-1,0,0
0,39,590,1,0,0
0,40,13420,1,0,0
0,41,2190,1,0,0
0,42,5480,1,0,0
0,43,1100,1,0,0
0,44,4610,1,0,0
0,45,16950,1,0,0
0,46,1660,1,0,0
0,47,920,-1,0,0
0,48,530,-1,0,0
0,49,580,-1,0,0
0,50,300,-1,0,0
0,51,5950,-1,0,0
0,52,2020,-1,0,0
0,53,6640,-1,0,0
0,54,790,1,0,0
0,55,3070,-1,0,0
0,56,2080,-1,0,0
0,57,2200,1,0,0
0,58,1870,-1,0,0
0,59,490,-1,0,0
0,60,4930,-1,0,0
0,61,2680,-1,0,0
0,62,2990,1,0,0
0,63,3290,-1,0,0
0,64,1480,1,0,0
0,65,14760,1,0,0
0,66,4360,-1,0,0
0,67,5310,-1,0,0
0,68,2110,-1,0,0
0,69,1380,-1,0,0
0,70,520,-1,0,0
0,71,920,-1,0,0
0,72,1360,1,0,0
0,73,5220,1,0,0
0,74,3700,-1,0,0
0,75,4350,1,0,0
0,76,3270,1,0,0
0,77,1490,-1,0,0
0,78,1930,-1,0,0
0,79,3150,1,0,0
0,80,8250,-1,0,0
0,81,580,1,0,0
0,82,8040,-1,0,0
0,83,3170,1,0,0
0,84,630,1,0,0
0,85,2870,1,0,0
0,86,3160,1,0,0
0,87,2820,-1,0,0
0,88,3800,1,0,0
0,89,440,-1,0,0
0,90,3190,1,0,0
0,91,2450,-1,0,0
0,92,650,-1,0,0
0,93,2300,-1,0,0
0,94,2340,1,0,0
0,95,1680,-1,0,0
0,96,700,-1,0,0
0,97,11130,-1,0,0
0,98,950,1,0,0
0,99,3280,-1,0,0
0,100,2980,1,0,1
0,101,2370,-1,0,1
0,102,2050,1,0,1
0,103,530,1,0,1
0,104,1230,1,0,1
0,105,510,1,0,1
0,106,2840,-1,0,1
0,107,3530,-1,0,1
0,108,7810,1,0,1
0,109,570,1,0,1
0,110,1850,1,0,1
0,111,4190,1,0,1
0,112,3110,1,0,1
0,113,2800,1,0,1
0,114,530,1,0,1
0,115,610,1,0,1
0,116,330,-1,0,1
0,117,630,1,0,1
0,118,7980,1,0,1
0,119,3030,1,0,1
0,120,2680,-1,0,1
0,121,1720,1,0,1
0,122,1700,1,0,1
0,123,11080,1,0,1
0,124,810,-1,0,1
0,125,5000,1,0,1
0,126,3530,1,0,1
0,127,3870,-1,0,1
0,128,970,1,0,1
0,129,7580,1,0,1
0,130,1040,1,0,1
0,131,5120,-1,0,1
0,132,2750,-1,0,1
0,133,2010,1,0,1
0,134,2540,-1,0,1
0,135,1540,1,0,1
0,136,1540,-1,0,1
0,137,3650,1,0,1
0,138,3550,1,0,1
0,139,1980,1,0,1
0,140,4100,1,0,1
0,141,570,-1,0,1
0,142,1680,1,0,1
0,143,3870,1,0,1
0,144,9110,-1,0,1
0,145,1540,1,0,1
0,146,3850,-1,0,1
0,147,2140,1,0,1
0,148,5770,-1,0,1
0,149,1050,1,0,1
0,150,4530,-1,0,1
0,151,1430,-1,0,1
0,152,2330,1,0,1
0,153,2990,-1,0,1
0,154,5570,-1,0,1
0,155,3830,1,0,1
0,156,2090,1,0,1
0,157,2740,1,0,1
0,158,5520,1,0,1
0,159,640,1,0,1
0,160,1810,-1,0,1
0,161,3690,1,0,1
0,162,1100,1,0,1
0,163,1300,1,0,1
0,164,2270,-1,0,1
0,165,1960,1,0,1
0,166,810,1,0,1
0,167,2610,1,0,1
0,168,2360,-1,0,1
0,169,4080,1,0,1
0,170,2090,1,0,1
0,171,1530,-1,0,1
0,172,430,1,0,1
0,173,3620,1,0,1
0,174,1300,-1,0,1
0,175,450,-1,0,1
0,176,8150,1,0,1
0,177,4260,-1,0,1
0,178,3920,-1,0,1
0,179,1610,1,0,1
0,180,2740,-1,0,1
0,181,3260,1,0,1
0,182,980,1,0,1
0,183,330,-1,0,1
0,184,5910,-1,0,1
0,185,4420,-1,0,1
0,186,450,-1,0,1
0,187,4370,1,0,1
0,188,2580,1,0,1
0,189,3390,1,0,1
0,190,2250,-1,0,1
0,191,1390,-1,0,1
0,192,1940,1,0,1
0,193,4080,1,0,1
0,194,2390,1,0,1
0,195,3050,-1,0,1
0,196,1060,-1,0,1
0,197,3050,-1,0,1
0,198,4550,1,0,1
0,199,6790,1,0,1
0,200,630,-1,1,0
0,201,920,-1,1,0
0,202,7270,-1,1,0
0,203,2890,-1,1,0
0,204,870,1,1,0
0,205,1620,1,1,0
0,206,1660,1,1,0
0,207,1020,-1,1,0
0,208,2320,-1,1,0
0,209,520,-1,1,0
0,210,700,-1,1,0
0,211,8230,-1,1,0
0,212,1220,-1,1,0
0,213,2170,-1,1,0
0,214,6290,-1,1,0
0,215,490,-1,1,0
0,216,3620,1,1,0
0,217,790,-1,1,0
0,218,4640,-1,1,0
0,219,7690,-1,1,0
0,220,1480,-1,1,0
0,221,2000,1,1,0
0,222,2560,-1,1,0
0,223,4930,-1,1,0
0,224,3780,-1,1,0
0,225,2720,1,1,0
0,226,6800,1,1,0
0,227,5380,1,1,0
0,228,2080,-1,1,0
0,229,1970,1,1,0
0,230,5050,-1,1,0
0,231,2190,1,1,0
0,232,1100,-1,1,0
0,233,2310,-1,1,0
0,234,4500,-1,1,0
0,235,2930,-1,1,0
0,236,1200,-1,1,0
0,237,1850,1,1,0
0,238,4830,-1,1,0
0,239,1160,1,1,0
0,240,2420,-1,1,0
0,241,1360,1,1,0
0,242,12070,-1,1,0
0,243,980,-1,1,0
0,244,3390,-1,1,0
0,245,700,1,1,0
0,246,1470,-1,1,0
0,247,500,1,1,0
0,248,3200,-1,1,0
0,249,4090,-1,1,0
0,250,1410,-1,1,0
0,251,1330,-1,1,0
0,252,1490,1,1,0
0,253,1640,1,1,0
0,254,1590,1,1,0
0,255,3240,-1,1,0
0,256,1830,1,1,0
0,257,11820,1,1,0
0,258,1380,1,1,0
0,259,3620,1,1,0
0,260,2100,1,1,0
0,261,470,-1,1,0
0,262,2220,-1,1,0
0,263,810,1,1,0
0,264,3170,-1,1,0
0,265,6720,-1,1,0
0,266,1350,-1,1,0
0,267,1340,-1,1,0
0,268,6160,-1,1,0
0,269,3680,-1,1,0
0,270,1250,-1,1,0
0,271,4370,-1,1,0
0,272,2110,1,1,0
0,273,3250,-1,1,0
0,274,5870,-1,1,0
0,275,4600,-1,1,0
0,276,690,-1,1,0
0,277,10590,-1,1,0
0,278,3530,-1,1,0
0,279,1080,1,1,0
0,280,6980,-1,1,0
0,281,710,1,1,0
0,282,1170,1,1,0
0,283,1790,1,1,0
0,284,2210,1,1,0
0,285,1580,1,1,0
0,286,5760,-1,1,0
0,287,2420,-1,1,0
0,288,1360,-1,1,0
0,289,2530,1,1,0
0,290,930,1,1,0
0,291,2600,-1,1,0
0,292,1190,-1,1,0
0,293,1090,1,1,0
0,294,4650,-1,1,0
0,295,4120,-1,1,0
0,296,1640,-1,1,0
0,297,1080,-1,1,0
0,298,950,1,1,0
0,299,12520,1,1,0
0,300,2460,1,0,2
0,301,5170,1,0,2
0,302,3100,1,0,2
0,303,1710,1,0,2
0,304,1460,1,0,2
0,305,1780,-1,0,2
0,306,7690,1,0,2
0,307,1800,1,0,2
0,308,1300,1,0,2
0,309,2530,1,0,2
0,310,1150,-1,0,2
0,311,350,-1,0,2
0,312,1350,1,0,2
0,313,2300,1,0,2
0,314,3820,1,0,2
0,315,590,-1,0,2
0,316,3160,-1,0,2
0,317,2100,1,0,2
0,318,2750,-1,0,2
0,319,5220,1,0,2
0,320,4420,1,0,2
0,321,4510,-1,0,2
0,322,5180,1,0,2
0,323,1540,1,0,2
0,324,1490,1,0,2
0,325,2820,-1,0,2
0,326,4450,1,0,2
0,327,2890,1,0,2
0,328,3010,1,0,2
0,329,1170,1,0,2
