parcode,trial,fix_item,fix_time
0,0,0,240
0,0,1,310
0,0,0,210
0,0,2,230
0,0,0,210
0,0,1,250
0,0,0,260
0,0,2,290
0,0,0,260
0,0,1,570
0,0,0,260
0,0,2,340
0,0,0,210
0,0,1,290
0,0,0,260
0,0,2,290
0,0,0,210
0,0,1,310
0,0,0,210
0,0,2,180
0,0,0,210
0,0,1,390
0,0,0,210
0,0,2,250
0,0,0,260
0,1,0,230
0,1,1,310
0,1,0,260
0,1,2,230
0,1,0,210
0,1,1,290
0,1,0,210
0,1,2,190
0,2,0,240
0,2,1,310
0,2,0,210
0,2,2,230
0,2,0,210
0,2,1,180
0,2,0,210
0,2,2,190
0,2,0,210
0,2,1,230
0,3,0,260
0,3,1,310
0,3,0,210
0,3,2,220
0,4,0,260
0,4,1,310
0,4,0,210
0,4,2,230
0,4,0,210
0,4,1,390
0,4,0,210
0,4,2,350
0,4,0,210
0,4,1,340
0,4,0,260
0,4,2,250
0,4,0,260
0,4,1,250
0,4,0,260
0,4,2,350
0,4,0,260
0,4,1,180
0,4,0,260
0,4,2,290
0,4,0,210
0,4,1,290
0,4,0,210
0,4,2,290
0,4,0,260
0,4,1,290
0,4,0,260
0,4,2,190
0,4,0,260
0,4,1,570
0,4,0,210
0,4,2,570
0,4,0,260
0,4,1,390
0,4,0,210
0,4,2,250
0,4,0,260
0,4,1,310
0,4,0,210
0,4,2,190
0,4,0,210
0,4,1,180
0,4,0,210
0,4,2,110
0,5,0,440
0,5,1,310
0,5,0,260
0,5,2,230
0,5,0,260
0,5,1,350
0,5,0,260
0,5,2,350
0,5,0,210
0,5,1,570
0,5,0,260
0,5,2,250
0,5,0,210
0,6,0,260
0,6,1,310
0,6,0,70
0,7,0,260
0,7,1,310
0,7,0,260
0,7,2,230
0,7,0,210
0,7,1,570
0,7,0,210
0,7,2,350
0,7,0,260
0,7,1,570
0,7,0,260
0,7,2,250
0,7,0,260
0,7,1,570
0,7,0,160
0,8,0,680
0,8,1,310
0,8,0,260
0,8,2,230
0,8,0,260
0,8,1,250
0,8,0,260
0,8,2,570
0,8,0,260
0,8,1,350
0,8,0,260
0,8,2,190
0,8,0,160
0,9,0,330
0,9,1,310
0,9,0,260
0,9,2,230
0,9,0,260
0,9,1,350
0,9,0,260
0,9,2,340
0,9,0,260
0,9,1,570
0,9,0,260
0,9,2,290
0,9,0,260
0,9,1,390
0,9,0,260
0,9,2,190
0,9,0,260
0,9,1,250
0,9,0,40
0,10,0,260
0,10,1,310
0,10,0,210
0,10,2,230
0,10,0,260
0,10,1,60
0,11,0,390
0,11,1,310
0,11,0,260
0,11,2,230
0,11,0,260
0,11,1,350
